variant,holdout_critical_rmse_db,bias_2k4k_db,bias_8k12k_db,rmse_8k12k_db,gain_db,eq_at_10k_db,eq_at_15k_db,eq_at_18k_db
v21_no_taper,4.297622181504963,0.12652479162203,0.3283514904672147,3.301475384109179,-12.903711407362225,-2.86136921895926,-1.8972711676585123,-0.8067057068198946
v21_aac_prior,4.2976223418489905,0.12652846275542018,0.34111848641704334,3.303315212381168,-12.903711407362225,-2.578621498387302,-0.6362504511539852,-0.06453645654559158
v21_soft_8_15,4.297621355626731,0.12653225694356052,0.3549641945530051,3.3052100925304324,-12.903711407362225,-1.845639981856303,-0.001264178998868531,0.0
v21_hard_10k,4.297617574826196,0.12653596909520082,0.3977462143517252,3.3112022671747416,-12.903711407362225,-0.0018431033890202065,0.0,0.0
v21_aac_then_soft,4.297622315926791,0.1265308110502421,0.3465822110796495,3.3040520307817824,-12.903711407362225,-2.5780633020834247,-0.15045145248635305,0.0
