pair,presence_median_db,pair_weight
A_12,19.646275613559247,0.7660152282935602
A_open,-0.26318729935484086,0.7110386434629359
B_12,25.437063197837325,0.694183534574429
B_open,9.06907858259951,0.777334595930983
C_12,9.10124541204398,0.6177818928429386
C_24,9.01421016075481,0.6327426607136114
C_chromatic,12.580005298065291,0.7610065135385558
C_open,3.5659745515215335,0.17875888418463992
D_12,-0.8146153240602079,0.3017770072759029
D_open,-2.057248512027357,0.178168632089947
E_12,30.12948173885455,0.6622434367530909
E_open,-1.8261155517990897,0.39228968956548205
G_12,12.598520804452107,0.6822080488759108
G_open,-0.07976048595664537,0.606215816178808
