pair,band,bias_eq,rmse_eq,bias_raw,rmse_raw
A_12,500-1k,-0.5079855088195676,6.6807045108190515,10.428069203026702,12.367824885560392
A_12,1k-2k,-0.589012423231561,7.101516887681488,8.74686260548195,11.302187356005385
A_12,2k-3k,0.07267360974759823,2.1253506058661498,9.687197512327117,9.929270544736584
A_12,3k-4k,-2.1072298457040968,3.0824376801098596,7.954727483934418,8.263569801928549
A_12,4k-6k,-0.5447412926512523,1.1262377047618581,9.505870807705959,9.556050689126709
A_12,6k-8k,-0.025410166471133575,0.24736461417460132,9.916970861132892,9.919423276817566
B_12,500-1k,1.6617176710001564,7.19916371146726,12.735364654686027,14.499577523041323
B_12,1k-2k,2.8528085252256488,3.8899131893500987,15.389590648969007,15.636207641082494
B_12,2k-3k,2.229623479018802,3.228085723520123,15.553979824011934,15.684730640206912
B_12,3k-4k,3.5850714362737937,3.7347838351137366,17.55925813196807,17.584799477766392
B_12,4k-6k,3.8828891448401857,4.117094370649587,18.085386931259382,18.133322652255504
B_12,6k-8k,4.170818843236762,4.194000842430759,18.134090094148338,18.137132295464053
C_12,500-1k,4.540677996193371,4.751692942201299,15.170479191769052,15.21833200697779
C_12,1k-2k,6.28489560231636,6.8229822872173145,15.180154890305134,15.372590195869677
C_12,2k-3k,7.150224683576054,8.319678978467525,14.950331136729513,15.591268462120608
C_12,3k-4k,7.543950755702602,9.348601309055946,15.589461105820202,16.473437064543052
C_12,4k-6k,2.878151326266711,4.455727069171691,12.262289890262707,12.687252036961672
C_12,6k-8k,2.010022046437853,2.042411025159711,11.815524716859741,11.81994609272548
D_12,500-1k,-0.12679732597940352,4.0940854736869055,10.362109206647157,11.120559183128975
D_12,1k-2k,-0.7843787570790136,7.231934949296121,7.94691728331623,10.698741822171279
D_12,2k-3k,-1.5661897299645204,4.934264383413242,6.911221074825587,8.297751745163216
D_12,3k-4k,-2.8277151237542384,3.0675148547052626,7.087554601005519,7.178029033014191
D_12,4k-6k,-3.5256324527879395,3.6587342911477094,6.616983797109477,6.686465709014782
D_12,6k-8k,-2.693389840021552,2.702622396287763,7.314900430584875,7.317696142757881
E_12,500-1k,4.147838153127759,9.14176812346142,14.824026672771991,16.869520861537463
E_12,1k-2k,2.016704954247842,5.625510733143554,12.28389772356167,13.32626950394145
E_12,2k-3k,0.714824292895432,2.454258086042663,12.748719474354012,12.927798364071455
E_12,3k-4k,1.76141524028904,2.098877073241816,13.886810109609979,13.929898866770118
E_12,4k-6k,2.0198502296313254,2.260708985558279,14.471334367743777,14.506536131907321
E_12,6k-8k,2.400565902253492,2.4083693276366844,14.679953239564922,14.681137192947524
G_12,500-1k,0.9224660147039003,2.641004896503013,11.451468100706343,11.739224342956188
G_12,1k-2k,1.1349477750280523,5.800496809316106,10.002121196276486,11.52599955058284
G_12,2k-3k,1.8730503297850911,6.031931156040902,9.805733507142989,11.410372246956705
G_12,3k-4k,5.15746736360937,6.848929363779251,14.044788666104804,14.679933175867973
G_12,4k-6k,3.9409282436028863,4.131829463737064,13.68453347533939,13.740016971773718
G_12,6k-8k,4.254574823825072,4.267398184708796,13.954861736196262,13.958610673865126
C_24,500-1k,-3.462804589815944,3.7639440501803736,7.198169609692948,7.294682620399487
C_24,1k-2k,-3.8718535865678905,4.219705175145135,5.29146319010134,5.502815381186201
C_24,2k-3k,-4.648720196306858,6.258667785838519,4.170850756507527,6.171670064054939
C_24,3k-4k,-0.6874007475619864,2.827351748436781,8.13636850103959,8.575070232872044
C_24,4k-6k,-3.420335931485781,4.166078062965796,6.54382571497146,6.960015922243199
C_24,6k-8k,-3.115233314918459,3.1181748054662806,7.023269309661432,7.024175660829374
C_chromatic,500-1k,-0.2925313838258087,2.600927379733374,10.408847237250495,10.63867790282343
C_chromatic,1k-2k,-0.14735959278490107,3.5586107760478756,8.761324889231668,9.477417455787325
C_chromatic,2k-3k,-2.0968291134444357,4.897135726878857,5.973548011319219,7.468918832459308
C_chromatic,3k-4k,-1.3404622765738237,3.907677736967852,6.89301323586684,7.813829074227622
C_chromatic,4k-6k,0.14695148123711202,1.407630078294079,8.71341962285609,8.819302642505207
C_chromatic,6k-8k,0.6270752348761571,0.6393603248205332,9.13271867514748,9.133394279341909
