pair,w_base,w_presence,presence_median_db
A_12,0.7660152282935602,0.7660152282935602,19.646275613559247
A_open,0.7110386434629359,0.7110386434629359,-0.26318729935484086
B_12,0.694183534574429,0.5309930374228617,25.437063197837325
B_open,0.777334595930983,0.777334595930983,9.06907858259951
C_12,0.6177818928429386,0.6177818928429386,9.10124541204398
C_24,0.6327426607136114,0.6327426607136114,9.01421016075481
C_chromatic,0.7610065135385558,0.7610065135385558,12.580005298065291
C_open,0.17875888418463992,0.17875888418463992,3.5659745515215335
D_12,0.3017770072759029,0.3017770072759029,-0.8146153240602079
D_open,0.178168632089947,0.17808363265457058,-2.057248512027357
E_12,0.6622434367530909,0.366913318344988,30.12948173885455
E_open,0.39228968956548205,0.39228968956548205,-1.8261155517990897
G_12,0.6822080488759108,0.6822080488759108,12.598520804452107
G_open,0.606215816178808,0.606215816178808,-0.07976048595664537
