variant,band,bias_median,rmse_median,bias_mad
operative,1k-2k,-0.09864806248094238,5.592780030325597,2.209103453977724
operative,2k-4k,-0.040176871074417364,4.536799430914636,3.9429104115082385
operative,4k-6k,0.7818114448528615,3.8774857931558477,3.5938914497281553
v17_operative,1k-2k,0.49379409112157563,5.71300377122983,2.0764433552065977
v17_operative,2k-4k,0.11042082430699329,4.269219581594518,3.770143975993393
v17_operative,4k-6k,1.0834008554342187,3.8879143308986484,3.40570919296477
