frequency_hz,eq_detail_db,eq_faithful_db,pipeline_version,smoothing
20.0,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.033765982017503,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.067588971112087,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.101469063528747,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.13540635567497,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.16940094412101,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.203452925600157,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.237562397009018,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.271729455407794,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.30595419802054,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.34023672223547,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.374577125605207,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.408975505847074,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.443431960843377,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.47794658864167,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.51251948745504,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.547150755662393,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.581840491808723,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.6165887946054,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.65139576293044,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.686261495828813,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.72118609251269,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.75616965236174,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.791212274923435,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.82631405991329,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.861475107215185,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.896695516881625,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.931975389134035,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
20.967314824363047,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.002713923128784,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.03817278616114,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.07369151436007,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.109270208795884,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.144908970709523,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.180607901512857,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.21636710278897,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.252186676292443,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.288066723949655,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.32400734785907,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.360008650291512,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.396070733690483,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.432193700672432,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.46837765402706,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.504622696717597,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.540928931881123,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.577296462828844,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.61372539304635,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.650215826193993,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.686767866107107,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.723381616796342,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.760057182447948,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.796794667424063,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.833594176263034,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.87045581367969,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.907379684565655,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.944365893989634,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
21.98141454719773,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.018525749613726,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.055699606839394,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.092936224654792,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.130235709018567,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.167598166068256,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.20502370212059,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
22.24251242367179,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
