frequency_hz,eq_copy_db,source_variant,smoothing,pipeline_version
20.0,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.033765982017503,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.067588971112087,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.101469063528747,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.13540635567497,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.16940094412101,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.203452925600157,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.237562397009018,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.271729455407794,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.30595419802054,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.34023672223547,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.374577125605207,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.408975505847074,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.443431960843377,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.47794658864167,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.51251948745504,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.547150755662393,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.581840491808723,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.6165887946054,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.65139576293044,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.686261495828813,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.72118609251269,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.75616965236174,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.791212274923435,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.82631405991329,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.861475107215185,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.896695516881625,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.931975389134035,-1.3463090044622958,v15_faithful,none,V16.0-operative
20.967314824363047,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.002713923128784,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.03817278616114,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.07369151436007,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.109270208795884,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.144908970709523,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.180607901512857,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.21636710278897,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.252186676292443,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.288066723949655,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.32400734785907,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.360008650291512,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.396070733690483,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.432193700672432,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.46837765402706,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.504622696717597,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.540928931881123,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.577296462828844,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.61372539304635,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.650215826193993,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.686767866107107,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.723381616796342,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.760057182447948,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.796794667424063,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.833594176263034,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.87045581367969,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.907379684565655,-1.3463090044622958,v15_faithful,none,V16.0-operative
21.944365893989634,-1.3463090044622958,v15_faithful,none,V16.0-operative
