frequency_hz,v16_detail_db,v16_faithful_db,v15_faithful_db,v12_db,v41_db
98,-1.364401476563473,-1.2127030961874476,-1.3631919874657306,-0.20801309160011805,-0.76
515,3.5119988002172775,1.451137936456418,1.82433574723414,0.04203383914881,3.49
958,4.259973214691675,1.727888469811945,1.8542433145090682,2.082997365274984,3.49
1360,7.302500897749764,2.853623712543438,2.5224585786710634,3.5456606419564314,4.08
2630,18.326798918690308,6.93261398029144,4.804518294027001,2.327469442125705,6.61
4120,9.179345328028681,3.5480561517466374,3.3624712493805373,1.4169764014222397,6.34
5190,13.760125136486264,5.242944680875943,4.062767430960281,1.0831689323148908,4.33
