frequency_hz,eq_faithful_db,eq_faithful_raw_db,eq_smooth_diagnostic_db,pair_mad_db,n_pairs,attack_sustain_disagreement_db,pipeline_version,eq_observed_detail_db,presence_scale
25.0,-1.3463661090787882,-1.0952622745833296,-1.3002326424836712,2.7210574382010506,13,0.01722398464016539,V15.0-faithful,-1.4834795452839171,0.42
25.215369952966757,-1.347739213161525,-1.0966959107232657,-1.2956451809954637,2.72318294714212,13,0.04365280548314687,V15.0-faithful,-1.4849131814238532,0.42
25.43259527459916,-1.349097714383012,-1.09805454474002,-1.2909854961425555,2.72519725793536,13,0.0700696717260777,V15.0-faithful,-1.4862718154406076,0.42
25.651691948523673,-1.3503833465094974,-1.0993400982089752,-1.2862548606511595,2.727103219508433,13,0.09648333849235624,V15.0-faithful,-1.4875573689095627,0.42
25.872676096062516,-1.3515979589060239,-1.1005544363870206,-1.2814547195285897,2.7289035972912026,13,0.12290256743626515,V15.0-faithful,-1.488771707087608,0.42
26.09556397741985,-1.3527433470498809,-1.1016993697160755,-1.2765866914755473,2.7306010754448597,13,0.14933613085483521,V15.0-faithful,-1.489916640416663,0.42
26.32037199287816,-1.3538212539519956,-1.1027766552855294,-1.2716525690093157,2.732198259030132,13,0.17579281582401374,V15.0-faithful,-1.490993925986117,0.42
26.54711668400512,-1.354833371540133,-1.103787998254822,-1.2666543171504725,2.7336976761164054,13,0.20228142836157192,V15.0-faithful,-1.4920052689554095,0.42
26.775814734870597,-1.3557813420048632,-1.1047350532371771,-1.261594070529193,2.7351017798332453,13,0.2288107976189353,V15.0-faithful,-1.4929523239377647,0.42
27.00648297327442,-1.3546291937920116,-1.1056194256455771,-1.256474128774027,2.736412950365939,13,0.2553897801044056,V15.0-faithful,-1.4938366963461647,0.42
27.23913837198449,-1.1353370193331878,-0.8794566959215866,-1.2512969500567388,2.634145301885868,13,0.2820272639402197,V15.0-faithful,-1.2676739666221741,0.42
27.473798049985657,-1.1177407393419176,-0.8664494807348454,-1.2460648978150695,2.6148325848966114,13,0.3087321731557142,V15.0-faithful,-1.2546667514354328,0.42
27.710479273739395,-1.1117826505051647,-0.8607342319928708,-1.240780577134413,2.606330940584925,13,0.3355134720192865,V15.0-faithful,-1.2489515026934583,0.42
27.949199458454267,-1.1061082270833202,-0.8550596297292958,-1.2354468042345619,2.5978895619683393,13,0.3623801694115194,V15.0-faithful,-1.2432769004298834,0.42
28.18997616936729,-1.1004736673428532,-0.8494250097312744,-1.2300660846920926,2.589507464284572,13,0.3893413232421188,V15.0-faithful,-1.2376422804318619,0.42
28.432827123036525,-1.0948783172544079,-0.8438297123073579,-1.2246420763279005,2.5811836694746484,13,0.393060230559255,V15.0-faithful,-1.2320469830079455,0.42
28.67777018864453,-1.0893215271479528,-0.8382730822014955,-1.2191778715780381,2.572917206055611,13,0.39304728918265863,V15.0-faithful,-1.2264903529020832,0.42
28.924823389313318,-1.0838026516293666,-0.8327544685071542,-1.213676607159728,2.564707108993061,13,0.3930343465097319,V15.0-faithful,-1.2209717392077417,0.42
29.174004903430454,-1.078321049497584,-0.827273224582065,-1.2081414394188823,2.556552419574852,13,0.39302140253987117,V15.0-faithful,-1.2154904952826526,0.42
29.425333065986596,-1.0728760836618305,-0.8218287079630321,-1.2025755177357915,2.5484521852846598,13,0.39300845727247724,V15.0-faithful,-1.2100459786636195,0.42
29.6788263699247,-1.0674671210590754,-0.8164202802809745,-1.19698195620716,2.5404054596760757,13,0.3929955107069527,V15.0-faithful,-1.204637550981562,0.42
29.934503467500676,-1.06209447648782,-0.8110473071764146,-1.1913638038791887,2.53241130224747,13,0.3929825628426985,V15.0-faithful,-1.1992645778770021,0.42
30.192383171655823,-1.0549208062485727,-0.8057091582151286,-1.1857240138633653,2.5244687783166246,13,0.39296961367910443,V15.0-faithful,-1.193926428915716,0.42
30.45248445740117,-0.981836797839762,-0.7287461442899782,-1.1800654117225218,2.4103352328129786,13,0.39295666321557166,V15.0-faithful,-1.1169634149905656,0.42
30.714826463213633,-0.9601370157685382,-0.7089148360995225,-1.1743906635678243,2.3809051574538573,13,0.39294371145149987,V15.0-faithful,-1.09713210680011,0.42
30.979428492444203,-0.9448922230689644,-0.6931558628042102,-1.168702244355774,2.3575127290321487,13,0.39293075838627756,V15.0-faithful,-1.0813731335047976,0.42
31.246310014738402,-0.9430081957646957,-0.6919020423856933,-1.163002406916109,2.3556256434871203,13,0.3929178040193051,V15.0-faithful,-1.0801193130862807,0.42
31.51549066746875,-0.9429038031722415,-0.691857071067383,-1.1572931522747776,2.3555308008392,13,0.39290484834996686,V15.0-faithful,-1.0800743417679706,0.42
31.786990257179824,-0.9428588781097023,-0.6918121461962022,-1.1515762018588953,2.3554360302746074,13,0.392891891377663,V15.0-faithful,-1.0800294168967897,0.42
32.06082876104558,-0.9428139993215604,-0.691767267731093,-1.1458529721812214,2.3553413317321006,13,0.3928789331017837,V15.0-faithful,-1.0799845384316806,0.42
32.337026328339235,-0.9427691667671485,-0.6917224356310393,-1.1401245525985138,2.3552467051505137,13,0.3928659735217138,V15.0-faithful,-1.079939706331627,0.42
32.615603281915995,-0.9427243804058255,-0.6916776498550502,-1.134391350266751,2.3551521504687,13,0.39285301263684613,V15.0-faithful,-1.0798949205556378,0.42
32.896580119708354,-0.9426796402848738,-0.6916329103621794,-1.1286540204222721,2.355057667625606,13,0.392840050446571,V15.0-faithful,-1.079850181062767,0.42
33.179977516234295,-0.9426349477339526,-0.6915882171115032,-1.1229125639183801,2.3549632565601817,13,0.392827086950271,V15.0-faithful,-1.0798054878120906,0.42
33.465816324118684,-0.9425903012516672,-0.6915435700621283,-1.1171666055386211,2.354868917211437,13,0.39281412214733,V15.0-faithful,-1.0797608407627157,0.42
33.754117575627454,-0.9425457007975284,-0.691498969173217,-1.1114153934568127,2.354774649518482,13,0.3928011560371424,V15.0-faithful,-1.0797162398738045,0.42
34.04490248421534,-0.9425011463310534,-0.6914544144039351,-1.1056578056450388,2.354680453420414,13,0.39278818861908404,V15.0-faithful,-1.0796716851045227,0.42
34.33819244608668,-0.9424566378118099,-0.6914099057135027,-1.0998923620564027,2.3545863288563886,13,0.3927752198925436,V15.0-faithful,-1.0796271764140903,0.42
34.63400904176976,-0.9424121751993862,-0.6913654430611588,-1.0941172424582717,2.354492275765637,13,0.392762249856898,V15.0-faithful,-1.0795827137617464,0.42
34.9323740377048,-0.9423677584534136,-0.691321026406187,-1.088330310016619,2.3543982940874315,13,0.3927492785115312,V15.0-faithful,-1.0795382971067746,0.42
35.233309387845516,-0.9423233875335497,-0.6912766557078976,-1.0825291404170712,2.35430438376107,13,0.39273630585582553,V15.0-faithful,-1.0794939264084853,0.42
35.53683723527445,-0.9406275271985575,-0.6912323309256343,-1.0767110561857538,2.354210544725922,13,0.392723331889158,V15.0-faithful,-1.0794496016262218,0.42
35.84297991383237,-0.8959005049939495,-0.6436831334133251,-1.0708731657548938,2.311143058618655,14,0.27700519707405813,V15.0-faithful,-1.0319004041139126,0.42
36.151759949761605,-0.8953729483843827,-0.6443337586753255,-1.065012406708083,2.3108410363577825,14,0.18731592209642978,V15.0-faithful,-1.032551029375913,0.42
36.46320006336342,-0.8953433183021373,-0.6442965218583054,-1.0591255925414786,2.310539636848754,14,0.1855473829120493,V15.0-faithful,-1.032513792558893,0.42
36.77732317066997,-0.8953194662845708,-0.6442727364266827,-1.0532094621931234,2.3102388587820486,14,0.18555087513817048,V15.0-faithful,-1.0324900071272702,0.42
37.0941523851304,-0.8952956783580467,-0.6442489499081374,-1.0472607315257494,2.3099387008510504,14,0.18552835277136592,V15.0-faithful,-1.032466220608725,0.42
37.413711019311485,-0.8952718452302906,-0.6442251172748654,-1.041276145900955,2.3096391617519663,14,0.18550506507191677,V15.0-faithful,-1.032442387975453,0.42
37.73602258661313,-0.8952479637769489,-0.6442012362368106,-1.0352545753660165,2.3093402401838743,14,0.1854811132362414,V15.0-faithful,-1.0324185069373981,0.42
38.06111080299838,-0.8952240311940591,-0.6441773039546674,-1.0291929232317427,2.3090419348486693,14,0.18545647249873887,V15.0-faithful,-1.032394574655255,0.42
38.38899958873854,-0.895200044544908,-0.644153317467355,-1.0230847877692861,2.3087442444511024,14,0.18543111553460845,V15.0-faithful,-1.0323705881679426,0.42
38.71971307017325,-0.8951760007765553,-0.6441292736959228,-1.0169281603903297,2.308447167698738,14,0.18540501390398878,V15.0-faithful,-1.0323465443965103,0.42
39.05327558148562,-0.8951518967156482,-0.6441051694389035,-1.0107219413624886,2.308150703301976,14,0.18537813802737846,V15.0-faithful,-1.032322440139491,0.42
39.38971166649293,-0.8951277290636136,-0.6440810013673588,-1.004464156622096,2.307854849974025,14,0.18535045713958498,V15.0-faithful,-1.0322982720679463,0.42
39.729046080452385,-0.8951034943916604,-0.6440567660197284,-0.998153194783785,2.3075596064308943,14,0.18532193924180496,V15.0-faithful,-1.0322740367203158,0.42
40.071303791882826,-0.8950791891355742,-0.6440324597964637,-0.9917878394620736,2.3072649713914077,14,0.1852925510517378,V15.0-faithful,-1.0322497304970513,0.42
40.41650998440181,-0.8950548081442485,-0.6440080789544569,-0.9853672962399018,2.3069709435771872,14,0.18526225795165963,V15.0-faithful,-1.0322253496550444,0.42
40.76469005857865,-0.8950303476210216,-0.6439836196012245,-0.978891214023003,2.3066775217126274,14,0.18523102393440094,V15.0-faithful,-1.032200890301812,0.42
41.115869633803456,-0.895005804668609,-0.6439590776888668,-0.9723597006704252,2.306384704524941,14,0.18519881154710183,V15.0-faithful,-1.0321763483894544,0.42
41.47007455017226,-0.8949811751078022,-0.6439344490077752,-0.9657733329869294,2.306092490744067,14,0.18516558183267395,V15.0-faithful,-1.0321517197083627,0.42
41.82733087038819,-0.8949564545937536,-0.6439097291800874,-0.9591331614630403,2.305800879102779,14,0.18513129426887398,V15.0-faithful,-1.032126999880675,0.42
42.187664881679396,-0.8949316386093351,-0.6438849136528642,-0.952440710708885,2.3055098683365625,14,0.18509590670488918,V15.0-faithful,-1.0321021843534517,0.42
42.55110309773319,-0.8949067224582469,-0.6438599976910041,-0.9456979678482613,2.3052194571836906,14,0.185059375295333,V15.0-faithful,-1.0320772683915918,0.42
42.91767226064688,-0.8948817012578332,-0.6438349763698525,-0.9389073939543875,2.3049296443851777,14,0.18502165443153706,V15.0-faithful,-1.03205224707044,0.42
43.2873993428956,-0.8948565699316228,-0.6438098445675235,-0.9320718673687651,2.3046404286847992,14,0.18498269667004152,V15.0-faithful,-1.032027115268111,0.42
43.660311549316916,-0.888170882472293,-0.643784596956891,-0.9251948762034756,2.16744366505882,14,0.20385216585459687,V15.0-faithful,-1.0320018676574785,0.42
44.03643631911252,-0.676412513113777,-0.4213678538205547,-0.9182812517247223,1.8376746229407575,14,0.23176099981180076,V15.0-faithful,-0.8095851245211423,0.42
44.415801327867364,-0.671300192324231,-0.4202534296421683,-0.9113361857214741,2.0985647824524984,14,0.23528539841273732,V15.0-faithful,-0.8084707003427558,0.42
44.7984344895859,-0.6701956930362502,-0.41914884285978304,-0.9043624110931707,2.1648827475872303,14,0.23881376254254033,V15.0-faithful,-0.8073661135603706,0.42
45.18436395874615,-0.6691009030990172,-0.41805393088978116,-0.8973647877041647,2.2020141714207555,14,0.2423471415425572,V15.0-faithful,-0.8062712015903687,0.42
45.57361813237128,-0.668015595739225,-0.4169685322944247,-0.8903484805988553,2.2087231867636827,14,0.24588658065547514,V15.0-faithful,-0.8051858029950123,0.42
45.96622565211902,-0.6669396120305693,-0.4158924867455923,-0.8833189327594195,2.2081400663089688,14,0.2494331214624787,V15.0-faithful,-0.8041097574461799,0.42
46.36221540638928,-0.6658727941001469,-0.41482563498819297,-0.8762818384204631,2.20547694880228,14,0.25298780231380363,V15.0-faithful,-0.8030429056887805,0.42
46.76161653244962,-0.6648149850925767,-0.41376781880325036,-0.8692468351269175,2.2022379648981234,14,0.2577516963672333,V15.0-faithful,-0.8019850895038378,0.42
47.16445841857934,-0.6637872188050941,-0.4127188809706223,-0.8622171278438031,2.1988574315430216,14,0.26313876739951725,V15.0-faithful,-0.8009361516712099,0.42
47.57077070623183,-0.6631759888749966,-0.41212051385625537,-0.855199175711802,2.1961110445184664,14,0.2685812259091546,V15.0-faithful,-0.8003377845568429,0.42
47.98058329221556,-0.6627680897938061,-0.41172129791132356,-0.8481996250186822,2.1633647434929406,14,0.2740810773588942,V15.0-faithful,-0.7999385686119111,0.42
48.39392633089403,-0.6623705310232632,-0.41132375682879757,-0.841225295584197,2.1583213710524802,14,0.27964035281579447,V15.0-faithful,-0.799541027529385,0.42
48.810830236404506,-0.6619745931680223,-0.4109278401641906,-0.8342831700564239,2.157417578175309,14,0.28526110988452313,V15.0-faithful,-0.7991451108647781,0.42
49.23132568489581,-0.6615802282135335,-0.41053349721731586,-0.8273803861608966,2.1565190207352267,14,0.2909454336529597,V15.0-faithful,-0.7987507679179033,0.42
49.655443616785675,-0.6611874303100763,-0.41014067701028045,-0.8205240755466974,2.1556255952264998,14,0.296695437650308,V15.0-faithful,-0.798357947710868,0.42
50.083215239037315,-0.6607960982583589,-0.4097493282648139,-0.8137174519339091,2.154737197955527,14,0.30251326481836827,V15.0-faithful,-0.7979665989654015,0.42
50.514672027455525,-0.6604061808842291,-0.409359399378889,-0.8069731571095169,2.153853725003742,14,0.3084010884961743,V15.0-faithful,-0.7975766700794765,0.42
50.94984572900288,-0.6600176266705298,-0.40897083840261683,-0.8002988215799778,2.15297507218945,14,0.3143611134186181,V15.0-faithful,-0.7971881091032044,0.42
51.38876836413565,-0.6596303837329027,-0.40858359301338054,-0.7936995106425959,2.152101135028544,14,0.3203955767293488,V15.0-faithful,-0.7968008637139681,0.42
51.83147222915978,-0.6592443997948365,-0.4081976104901802,-0.7871845595401388,2.151231808694101,14,0.32650674900846083,V15.0-faithful,-0.7964148811907678,0.42
52.277989898607444,-0.6588596221619216,-0.40781283768715104,-0.7807626874301101,2.1503669879747407,14,0.33064816476727393,V15.0-faithful,-0.7960301083877386,0.42
52.728354227633844,-0.6584759976952843,-0.4074292210062251,-0.7744421247732294,2.149506567231743,14,0.33209200265744737,V15.0-faithful,-0.7956464917068127,0.42
53.18259835443463,-0.6580934727841697,-0.40704670636890283,-0.7682315217096232,2.148650440354897,14,0.3493286766944775,V15.0-faithful,-0.7952639770694904,0.42
53.64075570268443,-0.6577119933176298,-0.4066652391870898,-0.7621396594656109,2.1477985007169007,14,0.35701099462325336,V15.0-faithful,-0.7948825098876773,0.42
