frequency_hz,v15_observed_detail_db,v15_faithful_db,v15_fit_db,v12_db,v41_db
98,-1.5003625282873518,-1.3631919874657306,-0.5379283668677619,-0.20801309160011805,-0.76
515,4.0170600152679015,1.82433574723414,0.5509444750447251,0.04203383914881,3.49
958,4.0882685087796355,1.8542433145090682,2.630645133629111,2.082997365274984,3.49
1360,5.679257232974861,2.5224585786710634,4.389647452733793,3.5456606419564314,4.08
2630,11.11273274572709,4.804518294027,4.021742960113724,2.327469442125705,6.61
4120,7.679287401330752,3.3624712493805373,2.1788320846220777,1.4169764014222397,6.34
5190,9.346659262234903,4.062767430960281,1.5504667928610858,1.0831689323148908,4.33
