variant,band,rmse_median_db,bias_median_db,improvement_median_db,n_pairs
cafe_raw_baseline,120-250,13.47728852270605,13.404497750487977,0.0,8
cafe_raw_baseline,1k-2k,11.414093453294113,9.381723042754077,0.0,8
cafe_raw_baseline,25-60,11.669180710410131,11.544801373889548,0.0,8
cafe_raw_baseline,250-500,12.640882433410972,12.45710542010346,0.0,8
cafe_raw_baseline,2k-4k,11.140827155441102,10.37311179237733,0.0,8
cafe_raw_baseline,4k-8k,11.000181543787665,10.875152068613483,0.0,8
cafe_raw_baseline,500-1k,12.05352461425829,10.939768651866522,0.0,8
cafe_raw_baseline,60-120,12.756210771740616,12.719939976524147,0.0,8
cafe_raw_baseline,8k-12k,10.753340792242284,10.751149593536397,0.0,8
v12_energy_neutral,120-250,2.4145571978664098,0.8034651862893453,11.731077216081696,8
v12_energy_neutral,1k-2k,5.772790116326611,0.5648019735166738,5.819825524994101,8
v12_energy_neutral,25-60,2.2207546178618953,0.35069344762527316,9.991494966095186,8
v12_energy_neutral,250-500,2.8003999102415706,0.8158521197575299,9.639182392836982,8
v12_energy_neutral,2k-4k,5.629044998403041,-0.9464941820229429,6.505591685302994,8
v12_energy_neutral,4k-8k,2.9759318823485215,-0.32021231633750313,8.59367812332687,8
v12_energy_neutral,500-1k,4.2351303012490265,-0.026116466224004098,7.658139885938644,8
v12_energy_neutral,60-120,2.5511297152280066,0.5174412956683899,11.40374827320612,8
v12_energy_neutral,8k-12k,2.5926377147393804,-0.46070721670074005,9.413118609106101,8
v15_faithful_calibrated,120-250,2.4223904625482136,1.967829444737628,10.945439752978245,8
v15_faithful_calibrated,1k-2k,5.889265477022386,1.2137827602401492,5.714574574455538,8
v15_faithful_calibrated,25-60,2.728619128939785,-0.9447139838409657,9.481807638559763,8
v15_faithful_calibrated,250-500,4.134335036681321,3.5103967046123197,8.372300375739531,8
v15_faithful_calibrated,2k-4k,4.059380324804549,0.500372519985048,6.512728333952993,8
v15_faithful_calibrated,4k-8k,3.0845417807347975,2.26434249052372,8.69222512186586,8
v15_faithful_calibrated,500-1k,4.624568464445785,0.9574481451496473,7.4107733619549245,8
v15_faithful_calibrated,60-120,2.4749539194126595,0.9527190910417125,11.651384619371703,8
v15_faithful_calibrated,8k-12k,2.545298121791433,2.33337634082281,9.196676119103252,8
v15_faithful_lowlam_fit,120-250,2.446911404839006,0.9793685066018452,11.782830392369373,8
v15_faithful_lowlam_fit,1k-2k,6.126045911508495,1.6760599573088868,5.586019631431208,8
v15_faithful_lowlam_fit,25-60,2.1968760240102316,0.5997626614924607,10.02833884328023,8
v15_faithful_lowlam_fit,250-500,2.8995273419352374,1.2712050688170575,9.493431488404251,8
v15_faithful_lowlam_fit,2k-4k,5.181765170830165,-0.4202618727840579,6.527436025595012,8
v15_faithful_lowlam_fit,4k-8k,2.814784431790083,0.018271974133323376,8.86647850906672,8
v15_faithful_lowlam_fit,500-1k,4.386111115184091,0.506755149278138,7.4722133090467535,8
v15_faithful_lowlam_fit,60-120,2.2807040907750458,0.36594929345648514,11.620725657271501,8
v15_faithful_lowlam_fit,8k-12k,2.1351957226678895,-0.16312474695051943,9.742368940461612,8
v15_observed_detail,120-250,2.309074498230908,1.971773205927407,10.851679914522334,8
v15_observed_detail,1k-2k,8.344365375993059,5.461315833060039,3.033810434111098,8
v15_observed_detail,25-60,2.7016445518833176,-0.9700762710898496,9.515219373967884,8
v15_observed_detail,250-500,4.183467772468388,3.556845785369793,8.325851021029454,8
v15_observed_detail,2k-4k,5.372863771368067,3.511545171531772,3.0231987560304803,8
v15_observed_detail,4k-8k,3.4870830343215653,3.3161984891213074,6.89660859739622,8
v15_observed_detail,500-1k,5.720971777230787,2.679616433103428,6.5981270908784335,8
v15_observed_detail,60-120,2.5140734272268914,0.9743159996110484,11.548918696443614,8
v15_observed_detail,8k-12k,4.677842204126831,4.650229094165027,6.487256496365162,8
