frequency_hz,eq_observed_detail_db,eq_faithful_db,eq_faithful_fit_db,pipeline_version
20.0,-1.4834795452839171,-1.3463090044622958,1.4800750225879973,V15.0-faithful
20.033765982017503,-1.4834795452839171,-1.3463090044622958,1.4801716833633827,V15.0-faithful
20.067588971112087,-1.4834795452839171,-1.3463090044622958,1.4802683441387683,V15.0-faithful
20.101469063528747,-1.4834795452839171,-1.3463090044622958,1.4803650049141537,V15.0-faithful
20.13540635567497,-1.4834795452839171,-1.3463090044622958,1.4804616656895393,V15.0-faithful
20.16940094412101,-1.4834795452839171,-1.3463090044622958,1.4805583264649247,V15.0-faithful
20.203452925600157,-1.4834795452839171,-1.3463090044622958,1.4806549872403103,V15.0-faithful
20.237562397009018,-1.4834795452839171,-1.3463090044622958,1.4807516480156957,V15.0-faithful
20.271729455407794,-1.4834795452839171,-1.3463090044622958,1.4808483087910813,V15.0-faithful
20.30595419802054,-1.4834795452839171,-1.3463090044622958,1.4809449695664667,V15.0-faithful
20.34023672223547,-1.4834795452839171,-1.3463090044622958,1.4810416303418523,V15.0-faithful
20.374577125605207,-1.4834795452839171,-1.3463090044622958,1.4811382911172377,V15.0-faithful
20.408975505847074,-1.4834795452839171,-1.3463090044622958,1.4812349518926233,V15.0-faithful
20.443431960843377,-1.4834795452839171,-1.3463090044622958,1.4813316126680087,V15.0-faithful
20.47794658864167,-1.4834795452839171,-1.3463090044622958,1.4814282734433943,V15.0-faithful
20.51251948745504,-1.4834795452839171,-1.3463090044622958,1.4815249342187797,V15.0-faithful
20.547150755662393,-1.4834795452839171,-1.3463090044622958,1.4816215949941653,V15.0-faithful
20.581840491808723,-1.4834795452839171,-1.3463090044622958,1.481718255769551,V15.0-faithful
20.6165887946054,-1.4834795452839171,-1.3463090044622958,1.4818149165449364,V15.0-faithful
20.65139576293044,-1.4834795452839171,-1.3463090044622958,1.481911577320322,V15.0-faithful
20.686261495828813,-1.4834795452839171,-1.3463090044622958,1.4820082380957074,V15.0-faithful
20.72118609251269,-1.4834795452839171,-1.3463090044622958,1.482104898871093,V15.0-faithful
20.75616965236174,-1.4834795452839171,-1.3463090044622958,1.4822015596464784,V15.0-faithful
20.791212274923435,-1.4834795452839171,-1.3463090044622958,1.482298220421864,V15.0-faithful
20.82631405991329,-1.4834795452839171,-1.3463090044622958,1.4823948811972494,V15.0-faithful
20.861475107215185,-1.4834795452839171,-1.3463090044622958,1.482491541972635,V15.0-faithful
20.896695516881625,-1.4834795452839171,-1.3463090044622958,1.4825882027480204,V15.0-faithful
20.931975389134035,-1.4834795452839171,-1.3463090044622958,1.482684863523406,V15.0-faithful
20.967314824363047,-1.4834795452839171,-1.3463090044622958,1.4827815242987914,V15.0-faithful
21.002713923128784,-1.4834795452839171,-1.3463090044622958,1.482878185074177,V15.0-faithful
21.03817278616114,-1.4834795452839171,-1.3463090044622958,1.4829748458495624,V15.0-faithful
21.07369151436007,-1.4834795452839171,-1.3463090044622958,1.483071506624948,V15.0-faithful
21.109270208795884,-1.4834795452839171,-1.3463090044622958,1.4831681674003334,V15.0-faithful
21.144908970709523,-1.4834795452839171,-1.3463090044622958,1.483264828175719,V15.0-faithful
21.180607901512857,-1.4834795452839171,-1.3463090044622958,1.4833614889511044,V15.0-faithful
21.21636710278897,-1.4834795452839171,-1.3463090044622958,1.48345814972649,V15.0-faithful
21.252186676292443,-1.4834795452839171,-1.3463090044622958,1.4835548105018757,V15.0-faithful
21.288066723949655,-1.4834795452839171,-1.3463090044622958,1.483651471277261,V15.0-faithful
21.32400734785907,-1.4834795452839171,-1.3463090044622958,1.4837481320526467,V15.0-faithful
21.360008650291512,-1.4834795452839171,-1.3463090044622958,1.483844792828032,V15.0-faithful
21.396070733690483,-1.4834795452839171,-1.3463090044622958,1.4839414536034177,V15.0-faithful
21.432193700672432,-1.4834795452839171,-1.3463090044622958,1.484038114378803,V15.0-faithful
21.46837765402706,-1.4834795452839171,-1.3463090044622958,1.4841347751541887,V15.0-faithful
21.504622696717597,-1.4834795452839171,-1.3463090044622958,1.484231435929574,V15.0-faithful
21.540928931881123,-1.4834795452839171,-1.3463090044622958,1.4843280967049597,V15.0-faithful
21.577296462828844,-1.4834795452839171,-1.3463090044622958,1.484424757480345,V15.0-faithful
21.61372539304635,-1.4834795452839171,-1.3463090044622958,1.4845214182557307,V15.0-faithful
21.650215826193993,-1.4834795452839171,-1.3463090044622958,1.484618079031116,V15.0-faithful
21.686767866107107,-1.4834795452839171,-1.3463090044622958,1.4847147398065017,V15.0-faithful
21.723381616796342,-1.4834795452839171,-1.3463090044622958,1.484811400581887,V15.0-faithful
21.760057182447948,-1.4834795452839171,-1.3463090044622958,1.4849080613572727,V15.0-faithful
21.796794667424063,-1.4834795452839171,-1.3463090044622958,1.485004722132658,V15.0-faithful
21.833594176263034,-1.4834795452839171,-1.3463090044622958,1.4851013829080437,V15.0-faithful
21.87045581367969,-1.4834795452839171,-1.3463090044622958,1.4851980436834293,V15.0-faithful
21.907379684565655,-1.4834795452839171,-1.3463090044622958,1.4852947044588147,V15.0-faithful
21.944365893989634,-1.4834795452839171,-1.3463090044622958,1.4853913652342003,V15.0-faithful
21.98141454719773,-1.4834795452839171,-1.3463090044622958,1.4854880260095857,V15.0-faithful
22.018525749613726,-1.4834795452839171,-1.3463090044622958,1.4855686690117778,V15.0-faithful
22.055699606839394,-1.4834795452839171,-1.3463090044622958,1.4856332290608303,V15.0-faithful
22.092936224654792,-1.4834795452839171,-1.3463090044622958,1.485697789109883,V15.0-faithful
22.130235709018567,-1.4834795452839171,-1.3463090044622958,1.4857623491589358,V15.0-faithful
22.167598166068256,-1.4834795452839171,-1.3463090044622958,1.4858269092079885,V15.0-faithful
22.20502370212059,-1.4834795452839171,-1.3463090044622958,1.4858914692570413,V15.0-faithful
22.24251242367179,-1.4834795452839171,-1.3463090044622958,1.485956029306094,V15.0-faithful
22.28006443739788,-1.4834795452839171,-1.3463090044622958,1.4860205893551468,V15.0-faithful
22.317679850154974,-1.4834795452839171,-1.3463090044622958,1.4860851494041996,V15.0-faithful
22.35535876897961,-1.4834795452839171,-1.3463090044622958,1.4861497094532523,V15.0-faithful
22.39310130108902,-1.4834795452839171,-1.3463090044622958,1.486214269502305,V15.0-faithful
22.43090755388145,-1.4834795452839171,-1.3463090044622958,1.4862788295513576,V15.0-faithful
22.46877763493648,-1.4834795452839171,-1.3463090044622958,1.4863433896004103,V15.0-faithful
22.506711652015305,-1.4834795452839171,-1.3463090044622958,1.486407949649463,V15.0-faithful
22.544709713061057,-1.4834795452839171,-1.3463090044622958,1.4864725096985159,V15.0-faithful
22.582771926199108,-1.4834795452839171,-1.3463090044622958,1.4865370697475686,V15.0-faithful
22.620898399737378,-1.4834795452839171,-1.3463090044622958,1.4866016297966214,V15.0-faithful
22.65908924216664,-1.4834795452839171,-1.3463090044622958,1.4866661898456741,V15.0-faithful
22.697344562160836,-1.4834795452839171,-1.3463090044622958,1.4867307498947269,V15.0-faithful
22.735664468577387,-1.4834795452839171,-1.3463090044622958,1.4867953099437796,V15.0-faithful
22.774049070457483,-1.4834795452839171,-1.3463090044622958,1.4868598699928324,V15.0-faithful
22.81249847702642,-1.4834795452839171,-1.3463090044622958,1.4869244300418851,V15.0-faithful
22.851012797693897,-1.4834795452839171,-1.3463090044622958,1.4869889900909377,V15.0-faithful
22.88959214205433,-1.4834795452839171,-1.3463090044622958,1.4870535501399904,V15.0-faithful
22.928236619887155,-1.4834795452839171,-1.3463090044622958,1.4871181101890432,V15.0-faithful
22.96694634115716,-1.4834795452839171,-1.3463090044622958,1.487182670238096,V15.0-faithful
23.005721416014783,-1.4834795452839171,-1.3463090044622958,1.4872472302871487,V15.0-faithful
23.044561954796425,-1.4834795452839171,-1.3463090044622958,1.4873117903362014,V15.0-faithful
23.083468068024768,-1.4834795452839171,-1.3463090044622958,1.4873763503852542,V15.0-faithful
23.122439866409092,-1.4834795452839171,-1.3463090044622958,1.487440910434307,V15.0-faithful
23.16147746084559,-1.4834795452839171,-1.3463090044622958,1.4875054704833597,V15.0-faithful
23.20058096241767,-1.4834795452839171,-1.3463090044622958,1.4875700305324124,V15.0-faithful
23.239750482396303,-1.4834795452839171,-1.3463090044622958,1.487634590581465,V15.0-faithful
23.27898613224029,-1.4834795452839171,-1.3463090044622958,1.4876991506305177,V15.0-faithful
23.318288023596637,-1.4834795452839171,-1.3463090044622958,1.4877637106795705,V15.0-faithful
23.357656268300822,-1.4834795452839171,-1.3463090044622958,1.4878282707286232,V15.0-faithful
23.397090978377143,-1.4834795452839171,-1.3463090044622958,1.487892830777676,V15.0-faithful
23.43659226603903,-1.4834795452839171,-1.3463090044622958,1.4879573908267287,V15.0-faithful
23.476160243689357,-1.4834795452839171,-1.3463090044622958,1.4880219508757815,V15.0-faithful
23.515795023920777,-1.4834795452839171,-1.3463090044622958,1.4880865109248342,V15.0-faithful
23.555496719516025,-1.4834795452839171,-1.3463090044622958,1.488151070973887,V15.0-faithful
23.595265443448252,-1.4834795452839171,-1.3463090044622958,1.4882156310229397,V15.0-faithful
23.63510130888133,-1.4834795452839171,-1.3463090044622958,1.4882801910719925,V15.0-faithful
23.675004429170208,-1.4834795452839171,-1.3463090044622958,1.488344751121045,V15.0-faithful
23.71497491786119,-1.4834795452839171,-1.3463090044622958,1.4884093111700978,V15.0-faithful
23.75501288869229,-1.4834795452839171,-1.3463090044622958,1.4884738712191505,V15.0-faithful
23.795118455593546,-1.4834795452839171,-1.3463090044622958,1.4885384312682033,V15.0-faithful
23.835291732687338,-1.4834795452839171,-1.3463090044622958,1.488602991317256,V15.0-faithful
23.87553283428873,-1.4834795452839171,-1.3463090044622958,1.4886675513663088,V15.0-faithful
23.915841874905773,-1.4834795452839171,-1.3463090044622958,1.4887321114153615,V15.0-faithful
23.956218969239846,-1.4834795452839171,-1.3463090044622958,1.4887966714644143,V15.0-faithful
23.99666423218598,-1.4834795452839171,-1.3463090044622958,1.488861231513467,V15.0-faithful
24.037177778833183,-1.4834795452839171,-1.3463090044622958,1.4889257915625198,V15.0-faithful
24.07775972446476,-1.4834795452839171,-1.3463090044622958,1.4889903516115723,V15.0-faithful
