frequency_hz,before_db,operative_db,aac_prior
2500,3.0141141043645603,3.0141141043645603,1.0
4000,3.1284574556291584,3.1284574556291584,1.0
6000,4.115494744195721,4.115494744195721,1.0
8000,4.534821731189125,4.529586068618128,0.92
10000,4.535609811972347,0.0029216077561513556,0.72
12000,4.5354768228187305,0.0,0.45
15000,3.7694031843448523,0.0,0.2
17000,3.733385580214286,0.0,0.08
18000,3.715200537501221,0.0,0.08
