setup,region,old_rmse,new_rmse,delta_new_minus_old,median_measurement_uncertainty,change_exceeds_uncertainty
Bajo,Subgraves,0.2479915491959986,0.25483708309296454,0.006845533896965933,0.088322557000651,False
Bajo,Graves,0.37417490558072947,0.5180004429837959,0.14382553740306642,0.0854382410466128,True
Bajo,Medios,0.40545339689623294,0.574848952746941,0.1693955558507081,0.0837519515612825,True
Bajo,Presencia,0.5605792860446029,0.5162026256951514,-0.044376660349451535,0.11821298465099335,False
Bajo,Brillo,0.6993166970351601,0.47937696500740823,-0.21993973202775186,0.1345589709259158,True
Híbrido,Subgraves,0.2533091057795668,0.062238293574971425,-0.19107081220459535,0.088350102304048,True
Híbrido,Graves,0.3107794169580019,0.5871925706153155,0.2764131536573136,0.0855126218998353,True
Híbrido,Medios,0.5793420537466605,0.7084924565652252,0.1291504028185647,0.08312025713045515,True
Híbrido,Presencia,0.735249588604043,0.6185908001777827,-0.11665878842626032,0.17018724544927627,False
Híbrido,Brillo,0.7985008126125183,0.7230722634446209,-0.07542854916789732,0.1655107682780324,False
Guitarra,Subgraves,0.08569120603333315,0.30080436065419897,0.21511315462086583,0.0883988466376854,True
Guitarra,Graves,0.21594589955645563,0.39759435915023034,0.1816484595937747,0.0859086040703356,True
Guitarra,Medios,0.40661343117487214,0.6193231380885246,0.21270970691365243,0.0834383031580304,True
Guitarra,Presencia,0.6002022036339767,0.5043923088117696,-0.09580989482220714,0.14423111834837815,False
Guitarra,Brillo,0.8896226891214155,0.5671137984755694,-0.3225088906458461,0.1750357910085287,True
