setup,band_hz,delta_db,worst_change,global_change,sub_change
Bajo,30,-0.5,0.15469785274072279,0.054726074697523774,-0.13301126809413089
Bajo,30,0.5,0.0,0.0,0.0
Bajo,148,-0.5,0.2759560470543436,0.09073107255525958,-0.1674627277214346
Bajo,148,0.5,0.10765704938805509,0.031396265144472024,0.2504312500042074
Bajo,735,-0.5,0.13979061689429306,0.05075347561563259,-0.026584318993593314
Bajo,735,0.5,0.25428104129317763,0.0624185072418989,0.028393497015125724
Bajo,3637,-0.5,0.27361936495054595,0.03709531746343098,-0.0033006558791258134
Bajo,3637,0.5,0.0,0.0,0.0
Bajo,18000,-0.5,0.17957133514680046,0.03479005155470982,-5.1529039315934e-05
Bajo,18000,0.5,0.1883736114819683,0.006079905374971717,5.123849393234847e-05
Híbrido,30,-0.5,0.04487645836782228,0.07517639154322686,0.269371632499154
Híbrido,30,0.5,3.911623720675994e-05,-0.005475603727707501,0.3502908622676894
Híbrido,148,-0.5,0.1815549953461968,0.12381732441916793,0.15137176676951256
Híbrido,148,0.5,0.01554283977800519,-0.018261901440491668,0.24762211523436256
Híbrido,735,-0.5,0.06957878960775976,0.07543020243178067,-0.029463605368183182
Híbrido,735,0.5,0.1555008710220851,0.027382516167537174,0.03552016298693905
Híbrido,3637,-0.5,0.23064256601261757,0.018601794050249865,-0.0024963302714926666
Híbrido,3637,0.5,0.21620496795049726,0.05081488416409308,0.002613414548003498
Híbrido,18000,-0.5,0.13017680013205102,0.016193605860671867,-6.145805019653477e-05
Híbrido,18000,0.5,0.2846138654473065,0.011573816611856858,6.203478607899604e-05
Guitarra,30,-0.5,0.019983605316614916,0.02119361913433976,-0.20612879367935646
Guitarra,30,0.5,0.04443737012160365,0.057337634062945175,0.3629391709876164
Guitarra,148,-0.5,0.05371402326237429,0.0767385432039332,-0.2471549719855584
Guitarra,148,0.5,0.048152643505080195,0.053437458671964644,0.2589183450752762
Guitarra,735,-0.5,0.047721892357839635,0.05840126746641444,-0.03302531583748569
Guitarra,735,0.5,0.1903927177806931,0.06168139742622242,0.03390482057932204
Guitarra,3637,-0.5,0.20858016722633033,0.02526682188676993,-0.0030730335984873736
Guitarra,3637,0.5,0.17038457529806628,0.06007682021275845,0.0032063827576919723
Guitarra,18000,-0.5,0.11069578609069619,0.022289264951754484,-6.085654783355432e-05
Guitarra,18000,0.5,0.23948919653649015,0.011612552933865927,6.095534591316065e-05
