setup,ideal_gains_db,ideal_predicted_worst,same_gains_calibrated_worst,same_gains_calibrated_global
Bajo,"[9.5, 8.0, -4.5, 15.5, -4.5]",1.9877948907918734,1.7166759179631073,1.133493962841466
Híbrido,"[-1.0, 3.0, 4.0, 8.0, 1.5]",0.4589013858122032,1.080788992869014,0.5997502703430818
Guitarra,"[-8.0, 4.0, 3.0, 8.5, 1.0]",1.1068960175169813,1.3251677356549931,0.8207693974408735
