setup,gains_db,worst,avg,global,uniform,mae,p50,p90,p95,max_reliable,max_total,bias,slope_mean,e30,ae30,r2540,r2060,r8k,r15500
Bajo,"[15.0, 3.5, -3.5, 16.0, -3.5]",0.69931669703516,0.45750316695054477,0.4369960707234142,0.4933171083473248,0.4065916849544547,0.34955891597375377,0.729840407210386,0.8810712009355243,1.3980151619831815,1.7412523795564478,0.03122497232220369,0.5336654737113454,0.1947547018006368,0.1947547018006368,0.22656156570116895,0.24806580704155315,0.4135248275052345,0.45561668386702137
Bajo,"[16.0, 1.0, 2.0, 10.5, 0.0]",0.9063000869742229,0.5231775844554766,0.6594958228918523,0.69111017212418,0.5339628625127798,0.5243608841125926,1.1007428776085024,1.1593563783082477,1.4857008616095246,1.9991193942554641,0.2145549585423009,0.5486350756060163,-0.003258272024909914,0.003258272024909914,0.009679444290014041,0.010197476084595118,0.6557263015455962,0.660025723120225
Bajo,"[16.0, 2.0, -2.5, 16.0, -4.0]",0.574848952746941,0.4686532139052522,0.4994893295607489,0.5165304569138806,0.4474234665431514,0.4440387749610366,0.7635915100359182,0.8299388727405791,1.0735921261687569,1.403485503483779,0.0189969274932038,0.5574156727597787,0.29224323174263667,0.29224323174263667,0.2858037207150756,0.25481717855417985,0.49780144226156703,0.49916473696033203
Bajo,"[15.0, 3.0, -2.5, 15.5, -3.5]",0.5984698380018322,0.4289990846417734,0.47576004557371965,0.5073722124231614,0.40687997991256547,0.3740808876362607,0.8469484490071846,0.8960980747307118,1.1959589674191111,1.545784891124823,0.05026894607479342,0.5281756452442711,0.000812728611133906,0.000812728611133906,0.0629006765917533,0.10114088924713285,0.4706700935460198,0.4828132509788459
Bajo,"[15.5, 2.5, -2.0, 15.0, -3.0]",0.6383996262881843,0.44297810151387,0.4682947396757022,0.511791282747114,0.4121697538967882,0.34696637682161224,0.8426442095907445,0.887707576030299,1.3408299456866235,1.7052801756486442,0.10480100636094433,0.5187423886200047,0.16276353550831146,0.16276353550831146,0.17388994739885819,0.1695991527585188,0.45204010127287164,0.47886649679275395
Bajo,"[15.0, 3.0, -2.0, 14.0, -2.0]",0.77528976965214,0.4473555603595152,0.4468563799927631,0.529077723555841,0.39861777178239655,0.30370005764119945,0.8965973267125463,0.9985382770246449,1.579283100643167,1.9863723295827977,-0.00674099401858612,0.5037141548439436,0.014445286906434873,0.014445286906434873,0.07174429110009567,0.11557873946565511,0.4273608642778498,0.48048231112045514
Bajo,"[16.0, 1.0, 2.0, 10.0, 0.5]",0.9197410144535453,0.5118972666992594,0.6083736518418,0.6641678812258756,0.505912550576221,0.4733185541094542,1.0922342941645227,1.1496434137546734,1.6005718203127675,2.1386578919044616,0.1321904323073904,0.5555917417585429,-0.004685408354461629,0.004685408354461629,0.010725216466965965,0.011688738330043707,0.6071397098906658,0.6237955538948051
Bajo,"[15.0, 3.0, -2.0, 14.5, -2.5]",0.7075899689719317,0.43745472415039693,0.45981146201514456,0.5193385822362929,0.3993062070586071,0.30269207517315344,0.8029295691888126,0.8939273365625298,1.4609084230630014,1.8463387153505595,0.07839760158011647,0.5112003280174806,0.016427366630296092,0.016427366630296092,0.07328982351097259,0.11819737227011683,0.43924095154220544,0.4787388655683663
Bajo,"[15.5, 2.5, -2.5, 15.5, -3.5]",0.5927466442882992,0.44409467091166066,0.4657995490687634,0.4988280452884352,0.41484229517967064,0.4229221062217725,0.7471726900022986,0.7961316788557671,1.1948102332409167,1.5449358317269457,-0.00887235871706617,0.5286811511460643,0.14507916687137623,0.14507916687137623,0.15317409545262525,0.14135058692583147,0.46037694887443137,0.47367284274651256
Bajo,"[15.5, 2.0, -2.0, 15.5, -3.5]",0.6392849445360012,0.46683855244470146,0.5264578364979348,0.5493884588615497,0.459483297173796,0.4526402411015251,0.8808633188851583,0.9377295606457352,1.2200762035843908,1.5639509584059041,-0.0009003731322315884,0.5259058923501337,-0.06516945552701792,0.06516945552701792,0.07023165131417337,0.09384122162936571,0.5176029985379412,0.5267279549660895
Bajo,"[15.5, 2.5, -2.0, 14.5, -2.5]",0.7062657337457598,0.45111288594376087,0.44409901589853645,0.5077125686087807,0.4048775443028745,0.3606364799402879,0.7859823470699746,0.8922555769965914,1.4597596888848088,1.845489655952683,0.01925629678825689,0.5117058339192739,0.16069380489053842,0.16069380489053842,0.1714300423717785,0.16604773569094824,0.42385339093763647,0.46587700863290504
Bajo,"[15.5, 2.0, -0.5, 13.5, -2.0]",0.7585839589606352,0.4339331661643221,0.5351291183056311,0.5737526461040254,0.42603565963112155,0.27557810176783804,1.025372827751297,1.0777541698200792,1.4008911786124099,1.8096934520313699,0.1579152409201873,0.4934956422967394,-0.013381333492358038,0.013381333492358038,0.03160710670714617,0.043590292287865325,0.5225882039472995,0.5413349775829943
Bajo,"[14.5, 4.0, -3.5, 15.5, -3.0]",0.7713333473336764,0.4577768702596578,0.43716463752243134,0.5127403355538499,0.4049775367024088,0.31895799379544343,0.8355398371212356,0.974312903467008,1.5193438655648563,1.8827669448092301,0.005198690895744765,0.5483091629233587,0.049389527416106915,0.049389527416106915,0.1273226374689103,0.2038303829357964,0.41370529739418144,0.4681438767182431
Bajo,"[14.5, 4.0, -3.5, 16.0, -3.5]",0.7008492901984527,0.44432158560551754,0.444293506816581,0.4986217303620203,0.40147504736511874,0.3368794742530792,0.7583511424353613,0.8828279014516586,1.399222423351775,1.74214476609637,0.09134637601281206,0.5327841484583967,0.05164883633301898,0.05164883633301898,0.1294772649082391,0.2072349596926814,0.4203231005372616,0.4614172793673513
Bajo,"[15.0, 3.0, -2.5, 15.0, -3.0]",0.6805621404781259,0.43786400168456013,0.45304419075265273,0.5035401884230327,0.4014075542003913,0.3746712069608016,0.8317005618710309,0.9085886833917199,1.3154636770654164,1.686191018245518,-0.03567618312868813,0.5216195337277811,-0.0013492947416029466,0.0013492947416029466,0.06170430382045929,0.09890127057630373,0.4470082118798903,0.47117945323604954
Bajo,"[15.0, 3.0, -3.0, 16.0, -4.0]",0.6446439116471928,0.43498735222775997,0.47877048078366186,0.5011490018943289,0.4145426099839281,0.4387633784533662,0.7630815249553188,0.81344932514988,1.0493713311393638,1.3852375000992563,-0.06260701391461942,0.537545622822153,-0.0167616327066078,0.0167616327066078,0.056261463103986276,0.08789184360749722,0.4824982959973176,0.48383084447210756
Bajo,"[15.5, 2.0, -1.0, 14.0, -2.5]",0.6470437932960263,0.43774029883580967,0.5012246259652731,0.536182819738743,0.4223508188314239,0.3627092288275797,0.8896561139715203,0.9413697295102273,1.2562348250228137,1.6496435525888886,0.04199103746285897,0.5048743052741409,-0.031559409867297106,0.031559409867297106,0.03915887822290674,0.04985827802118471,0.49830498406580104,0.5092943478148598
Bajo,"[15.5, 2.0, -0.5, 12.5, -1.0]",0.7794660121484047,0.44145587933184033,0.46374599886745554,0.5499690595211021,0.3981396178165873,0.2752636501267265,0.9535151409404385,1.0429901460056616,1.6350434438438803,2.089087697118954,-0.010703272771206043,0.47662841827216224,-0.016946564950487186,0.016946564950487186,0.032080790062137175,0.04299062781793671,0.4478556171680138,0.49808134724329073
Bajo,"[16.0, 1.0, 1.5, 11.0, 0.0]",0.8072996358535413,0.47341549367285163,0.5680249366273126,0.6298283046448022,0.4636948946454824,0.3920964035259029,1.0016148166475547,1.048048881911977,1.7162861829543683,2.2133962089598054,0.19614259658757682,0.5178331382652617,-0.022865124316021834,0.022865124316021834,0.029617239402970924,0.03987491798545839,0.5409461854049995,0.5800945970028336
Bajo,"[15.5, 2.0, -0.5, 13.0, -1.5]",0.7125040855235847,0.435052104083017,0.48329376469359286,0.5456053348033716,0.40409663645222027,0.24503660407313,0.8491789574596578,0.9005996840734374,1.5182080603119292,1.9494431991878223,0.0733961780074667,0.48525243435087295,-0.015201363191302164,0.015201363191302164,0.031778570551697014,0.04315599279809229,0.465991681342738,0.5023704997112524
Híbrido,"[0.0, 0.0, 8.0, 4.0, 5.0]",1.07306778275853,0.5233424036620111,0.46639193346610164,0.6105198847390636,0.4273477961516927,0.34164667757008615,0.9477106650880345,1.284071828866361,2.2766497007868196,2.7479892493644194,0.006347810431075175,0.7865294259845851,0.1451097721610668,0.1451097721610668,0.14737869033420609,0.2226509787995643,0.44530523741138983,0.5413805844004124
Híbrido,"[-1.5, 3.0, 3.5, 9.5, 0.5]",0.7188711259673133,0.5382447887207975,0.5607700248373838,0.6013087770454842,0.5043488740836771,0.4634229138913497,0.9616146380337056,0.9914213562726516,1.4815707603660613,1.7282466245520132,0.0027013429659069337,0.7586634474633291,0.18328311115639373,0.18328311115639373,0.19559855048873678,0.22210480762071877,0.5744440939128331,0.5848193080577675
Híbrido,"[-1.5, 2.5, 5.0, 8.0, 1.5]",0.7564779340842741,0.4909475183875937,0.564010353300305,0.6124525304593326,0.46130439821775004,0.32643702974393385,1.0423362427587317,1.1517856849280312,1.5408233516127705,1.8414502970153848,0.08018654805820445,0.7230260187052392,0.01790794388982775,0.01790794388982775,0.031425542843505995,0.07837931945628497,0.5807228632666199,0.5930780633666914
Híbrido,"[-1.0, 1.5, 6.5, 5.0, 4.5]",1.1205372998986705,0.5079311777201952,0.466376557139002,0.6257929963574245,0.41812110370850575,0.2871076770947383,1.0284469905999967,1.3236813781900905,2.3197923763642443,2.7600465687618048,-0.034917130153783275,0.6937314189472863,0.0008890401488672595,0.0008890401488672595,0.02239183099241912,0.07960834151843864,0.45409101820802455,0.5567594308163992
Híbrido,"[-1.0, 1.5, 6.5, 5.5, 4.0]",1.0565248454843734,0.49349497206616955,0.46969172634840706,0.6008365026970344,0.41192172817831707,0.2949266811091995,0.9149756562302849,1.2323337212760157,2.205764283676956,2.618170071823016,0.04313237751632107,0.7037633844107932,0.001904317201927519,0.001904317201927519,0.022175635615966582,0.07985578577885818,0.4457582058972519,0.5381821142110643
Híbrido,"[-2.0, 4.0, 2.0, 11.0, -0.5]",0.7018185380577912,0.5566874972548779,0.5817303416432221,0.6083610386493284,0.5215987053754255,0.49101867341146743,0.9260552505267633,0.9809540403974036,1.4262906909738806,1.6207935875414217,0.0018204262205825305,0.7820504870573244,0.21042404077213428,0.21042404077213428,0.23864796187407492,0.27636924772758914,0.5887090278738583,0.5952257083229303
Híbrido,"[-0.5, 1.0, 7.0, 5.0, 4.0]",0.8925229881899756,0.512072694405898,0.4786187154887367,0.6049020459053676,0.4438019278511039,0.2938415433163435,1.0687227845940583,1.151012221579419,1.9789641663594093,2.4102662959849646,0.0015931733025964458,0.744589053232256,0.17310584386516004,0.17310584386516004,0.17100129264910882,0.21573496786755506,0.5060699282190312,0.5581271613296929
Híbrido,"[-3.0, 5.5, 0.5, 12.0, -1.0]",0.7072540231586516,0.5573175089355165,0.5593535275263654,0.5971791565656348,0.507698610387,0.46050436348531854,0.9071947257297766,0.9482279138946996,1.4892781841693825,1.6569335014493074,-0.004082831789888806,0.7838840005162544,0.09968367016450319,0.09968367016450319,0.18015661562763563,0.2794309034869075,0.5674771316786381,0.5816834953543117
Híbrido,"[-1.5, 2.5, 4.0, 9.5, 0.5]",0.8157447541422196,0.5212139587419136,0.6118475542760908,0.6316652842513906,0.5012260712696207,0.5159129112987841,1.0582767853168775,1.196696647444756,1.5103823808840335,1.750010687761808,0.01554894680541962,0.7693110156832195,-0.024849776538748092,0.024849776538748092,0.020303888534772795,0.04093931756936771,0.6076699349899292,0.61573800222518
Híbrido,"[-2.0, 3.5, 2.5, 10.5, 0.0]",0.7230722634446209,0.5399172768755832,0.593607850930531,0.620079775453908,0.5006207856067846,0.5029597828872872,0.9527588363521904,0.9803152067932046,1.5687570693717312,1.7808525967102788,-0.07014006844173085,0.7644961839641239,-0.0015136748813815437,0.0015136748813815437,0.03551157551705016,0.062400094018638275,0.5861004357776979,0.6017914443945017
Híbrido,"[-1.5, 2.5, 5.5, 6.0, 3.5]",0.961548034877402,0.5078093384865174,0.4824887839176754,0.6227395153440709,0.44281032494181877,0.263116285645264,1.1602274999577435,1.236508044988519,2.0280851759317393,2.4282859078839145,-0.03278967483904349,0.6750787198490561,0.03748061426049221,0.03748061426049221,0.053990134127018294,0.10762190733576946,0.5196977094683338,0.575705850570253
Híbrido,"[-1.5, 3.0, 4.0, 8.5, 1.5]",0.7985008126125184,0.5354361955401581,0.5181130009814603,0.5895565195477616,0.484475523092897,0.3942728627511425,0.9083601125633115,0.9913895240483346,1.7401363269168257,2.0305217296100118,0.04460701366538398,0.7338144685345724,0.20328470662320264,0.20328470662320264,0.2188011167612181,0.2535431974168505,0.5254768785208963,0.5595409222944601
Híbrido,"[-3.0, 5.0, 2.0, 10.5, 0.0]",0.7393562615882379,0.5244478332490513,0.5529663119448134,0.6011170044564561,0.48455835614642645,0.37107870989776703,1.006821544584484,1.0727695053342763,1.5441310348751003,1.7622519834466752,0.05901854641299137,0.7527088774894519,-0.07574753306519666,0.07574753306519666,0.10648824270846058,0.19444586317011303,0.5665142992003014,0.5826725097476625
Híbrido,"[-1.0, 2.0, 5.5, 6.5, 3.0]",0.8738049454931951,0.5266645876331032,0.4868168233896189,0.6003897865491776,0.4632020004539495,0.35728364862804796,1.0591417874213576,1.126922064528363,1.9130672540964007,2.2862911419227316,-0.02177250389951029,0.722400994947906,0.1834634105418984,0.1834634105418984,0.1870097146682237,0.2197737737449765,0.5113357613346322,0.559155862309581
Híbrido,"[-2.0, 3.5, 2.0, 11.5, -1.0]",0.8163037400086264,0.5516717175372925,0.6641701373361284,0.6621467710493333,0.5346466476310512,0.5577748540854497,1.0731508534265506,1.1240087169941126,1.3094207133192288,1.480322514552837,-0.10754806617851659,0.78731118787006,-0.01992600256370647,0.01992600256370647,0.028011943686315068,0.0365908472021533,0.6616755723323632,0.6551367331603094
Híbrido,"[-2.5, 4.5, 1.5, 11.5, -1.0]",0.7325286727837197,0.5371824701003649,0.5866293978965256,0.6111270761645579,0.5077743339417602,0.5062890950437877,0.9657558221004497,1.0075477146426255,1.2838563833398897,1.4610452479680323,-0.04820370032637605,0.7852789468254865,0.048257129100381047,0.048257129100381047,0.10582038792265082,0.16970354548164465,0.6049024424365381,0.6029563732461558
Híbrido,"[-1.5, 2.5, 4.0, 9.0, 1.0]",0.7357043747833306,0.5273085041747302,0.5720363770618412,0.612108893189495,0.49188657809560915,0.5095031369414915,0.9096845744070277,0.9613075482642187,1.6247233599608926,1.8897262132242716,-0.066139211364955,0.7599406685157419,-0.026173102477613064,0.026173102477613064,0.021809000299932813,0.04135569699586758,0.5703138654108764,0.5898573976580964
Híbrido,"[-0.5, 0.5, 8.0, 3.5, 5.5]",1.1378500667526517,0.5014100348640748,0.4631602608299787,0.6341795261077768,0.4090500401256459,0.21497162800419645,1.0318884846882121,1.3777790297498749,2.3925304096902504,2.892154734964663,-0.004135231487569719,0.7147800032308844,-0.0036586454215377096,0.0036586454215377096,0.054647655839279954,0.12640248864392647,0.45076353864902896,0.558084831499694
Híbrido,"[-0.5, 0.5, 8.0, 4.0, 5.0]",1.0741755232158152,0.492948082274029,0.4747727803380303,0.6143007429781399,0.40912291051647703,0.22054043500330067,0.9279106363002594,1.2851686729777265,2.2777840282297817,2.7488275300400034,0.07260318980781537,0.7246406134182223,-0.00272020006548912,0.00272020006548912,0.054111005365082405,0.12596513286940317,0.4508046266339585,0.5456596702450374
Híbrido,"[-1.5, 2.0, 6.0, 6.0, 3.5]",0.9626380935697838,0.5093074593858702,0.4840150223731862,0.6019820573639928,0.43978107083131235,0.3095298237735786,0.9854099179375866,1.0884159216682807,2.059552478670449,2.4521556664671724,-0.017751460015536326,0.6735669257362338,-0.16793303238100687,0.16793303238100687,0.16061415299312962,0.1316150864402245,0.48375352232410035,0.5508051407311663
Híbrido,"[-1.5, 2.5, 4.5, 8.5, 1.0]",0.8181231569966867,0.5043544762355415,0.5586388959250472,0.6087714060673322,0.4750391509778221,0.43640823280399577,1.0241703072086978,1.0754891915324907,1.3955390488054462,1.6777493185330927,-0.04456404503394731,0.742174194446314,-0.00442321189046746,0.00442321189046746,0.0077789448238813445,0.04983845581492931,0.5900265431403495,0.5952013559680283
Híbrido,"[-2.0, 3.5, 2.0, 11.0, -0.5]",0.7528647300693027,0.5704364052997454,0.6534988386886598,0.6643401873829653,0.5351781951136693,0.5429847318963432,1.0828669968952904,1.20100632583459,1.424965611689668,1.6198141914455153,-0.19079318921646743,0.7778781333916531,-0.021470009411600266,0.021470009411600266,0.028030739069812852,0.03465920731987147,0.6539252225323654,0.6536130271965291
Híbrido,"[-0.5, 0.5, 7.5, 4.5, 4.5]",0.9793204037075519,0.5150937156163877,0.47308813022508367,0.6065189369937397,0.4448582473857776,0.3282795625462156,1.0126999877510887,1.1358693178119859,2.127192110300488,2.5784887032492367,-0.058723303322603754,0.7567556507348923,-0.029170909930089195,0.029170909930089195,0.07330152287421661,0.14226241384474209,0.4773591521321718,0.5490331032433051
Híbrido,"[-2.0, 3.5, 2.0, 10.5, 0.0]",0.7926510530523807,0.6027450474261341,0.6690380533623117,0.6924815624207531,0.5459166227071777,0.5126934822578093,1.1526313968020696,1.2695783391368272,1.5401557844785856,1.7593135793262693,-0.27360145948320386,0.7681544110122763,-0.022953940429416342,0.022953940429416342,0.028162944752014914,0.03293648865045509,0.6750377092876341,0.6786411247218161
Guitarra,"[-9.5, 4.0, 3.5, 9.0, 1.0]",0.7726053212577703,0.4292840568216139,0.4251744476944496,0.5125538098098507,0.3806438225063099,0.31254690236468896,0.9243672940806584,1.067769809090739,1.510968731078643,1.89791588166079,-0.09180039576901206,0.5579307827713665,0.03326406068292842,0.03326406068292842,0.04278204025526317,0.09181341223769815,0.44897883061429883,0.4832919773693177
Guitarra,"[-10.0, 5.0, 2.5, 10.0, 0.5]",0.7957713317689992,0.44126655741676785,0.4203765987300846,0.5039790125826823,0.38417226829520873,0.2624420814740729,0.8267329385921124,1.0012617257153311,1.6001236089347834,1.8329819964767253,0.031366371539659536,0.5505646010908386,0.08234241491281091,0.08234241491281091,0.11113464191089896,0.1683735121961057,0.42049574388122335,0.47366507977191125
Guitarra,"[-9.0, 3.5, 3.5, 10.0, 0.0]",0.599286706529095,0.4541814584892859,0.47322892209675704,0.5279476864727661,0.42639683835824116,0.38678970306080096,0.876692957094766,0.9225834558833245,1.2807765846577777,2.1628590466961652,0.00012851006782781422,0.6369162385385148,0.17906713443380218,0.17906713443380218,0.17889325655803617,0.21399257524654813,0.485111441099806,0.49756069367953487
Guitarra,"[-10.5, 5.5, 2.0, 10.5, 0.0]",0.713843496561668,0.42328444111430585,0.42710910420492953,0.5085166356899032,0.379197018688417,0.24701307252089766,0.8745257254133578,1.0241426100953215,1.4580188116754123,1.9874136002097273,-0.016622187465257093,0.5569938142300941,-0.07933183948748956,0.07933183948748956,0.07558229433600112,0.10590203102352899,0.44399777535385326,0.47812339137316334
Guitarra,"[-11.0, 6.5, 0.0, 13.0, -2.0]",0.6298793829498766,0.43556849689010335,0.4572844883056638,0.5181517137810132,0.4174532047923222,0.37092898667335916,0.8203764643473335,0.8877718138145012,1.1442143986203384,2.363204901550123,-0.03909713761831085,0.6036401174653026,-0.061369531787605514,0.061369531787605514,0.08687651390518059,0.15554872182829532,0.47423850229871567,0.4827102015869585
Guitarra,"[-10.5, 5.5, 2.0, 11.0, -0.5]",0.643790129122717,0.41936191276635226,0.4634533529675038,0.5243318459654136,0.38831913218392,0.20509470486003423,0.9150332485779669,0.9651290242972799,1.342828638886493,2.1195103218674056,0.06618608280147933,0.5667114072232764,-0.07784790846967349,0.07784790846967349,0.07482604628726883,0.10756107400694842,0.4733299476632804,0.4939910039611114
Guitarra,"[-10.0, 5.5, 0.5, 13.0, -2.0]",0.6193231380885246,0.4778455930360586,0.49914586334446504,0.5412380830337552,0.460195327058624,0.40149697981823174,0.8250806882459201,0.8865495133370955,1.1686099459154775,2.3431304601897818,0.015366271625657827,0.6146081261335282,0.2411802680438151,0.2411802680438151,0.264974455031883,0.3009184735762699,0.5004415432297487,0.5083485209262303
Guitarra,"[-9.5, 4.0, 4.0, 8.5, 1.5]",0.8012549576348833,0.421828391609578,0.41797039846605644,0.5063154921484472,0.36154093961523237,0.15737189070010693,0.8527866369135477,1.045334726992644,1.6551933185525467,1.923937012564572,0.03179343310083959,0.5280987039017375,0.054588982088602744,0.054588982088602744,0.0666802827378063,0.11833447499106087,0.423022639549865,0.4764048692757043
Guitarra,"[-10.0, 5.0, 1.5, 12.0, -1.5]",0.6143192741802795,0.4370505339649588,0.48667346163604985,0.5384107503866788,0.4276731798168829,0.39769952990249635,0.8723073090742283,0.9363400733794641,1.0817853273679923,2.408384872299168,-0.043018083852162624,0.5968831394785739,0.0458384324675456,0.0458384324675456,0.06873780211977439,0.1085399790798219,0.5038847429677766,0.5039768790067122
Guitarra,"[-10.0, 5.0, 0.5, 13.0, -2.0]",0.6730371613508989,0.4959257243592193,0.5758844065483982,0.5985417102799275,0.47994644847904455,0.4785805381311157,0.9644660492433441,1.0282693678588877,1.1671842557896746,2.3442877354856986,-0.1781723888222435,0.615991875417604,0.007841486047053703,0.007841486047053703,0.02622426999426731,0.053763501590711464,0.5698742349690619,0.5702614688886966
Guitarra,"[-9.5, 4.0, 2.5, 10.5, 0.0]",0.7288024856480538,0.485372426102422,0.4990149447931081,0.5484418712493014,0.4445523329524549,0.42962580810621054,0.7880729738565713,0.9299872509087823,1.4825644731973586,1.9671768124169269,-0.15186150312388788,0.6136332390696849,-0.006542776099647707,0.006542776099647707,0.017380412102483162,0.0722017361692009,0.49117038698482657,0.5213567015650699
