setup,preset,region,rmse,mae,bias,p95,max,median_uncertainty
Bajo,refined_previous,Subgraves,0.2479915491959986,0.2177067107639467,0.21431019405267393,0.34279557776719116,0.3459965169545658,0.088322557000651
Bajo,refined_previous,Graves,0.37417490558072947,0.3266110356387257,-0.2237285145945929,0.5737866860071493,0.582872735330163,0.0854382410466128
Bajo,refined_previous,Medios,0.40545339689623294,0.36129113003500435,0.1977076079085907,0.6053363651830979,0.6071086698047612,0.0837519515612825
Bajo,refined_previous,Presencia,0.5605792860446029,0.5248442576270057,-0.5248442576270057,0.7710104825626555,0.8047162629039288,0.11821298465099335
Bajo,refined_previous,Brillo,0.6993166970351601,0.5895228375754624,0.5646561702198752,1.2412824379233607,1.3980151619831815,0.1345589709259158
Bajo,point_30hz_previous,Subgraves,0.05370601987440252,0.049894646658447325,0.011915166343070192,0.07284879624709859,0.09711075526471902,0.088322557000651
Bajo,point_30hz_previous,Graves,0.05677287744910551,0.05038522127797592,-0.030906450679671474,0.0876904884806592,0.08891345739339407,0.0854382410466128
Bajo,point_30hz_previous,Medios,0.5264689523530867,0.47169103855547023,0.4621991664997359,0.7683269073811068,0.7824327990345701,0.0837519515612825
Bajo,point_30hz_previous,Presencia,0.7053415302892687,0.6691378621042365,-0.6691378621042365,0.9350973464390028,0.9676195432721375,0.11821298465099335
Bajo,point_30hz_previous,Brillo,0.8726170269959884,0.725732121526327,0.688993494851555,1.594456012368182,1.7784453275237784,0.1345589709259158
Bajo,new_balanced,Subgraves,0.25483708309296454,0.2506898585888059,0.2506898585888059,0.3018458392997097,0.30379297150671114,0.088322557000651
Bajo,new_balanced,Graves,0.5180004429837959,0.44205609414922836,-0.43346379747060876,0.7407443901249066,0.7514708273948898,0.0854382410466128
Bajo,new_balanced,Medios,0.574848952746941,0.5175036224633643,0.30412007459771506,0.844424170613578,0.8493630378813712,0.0837519515612825
Bajo,new_balanced,Presencia,0.5162026256951514,0.47438519999323836,-0.4406688530598557,0.6915082630923691,0.7027748213970799,0.11821298465099335
