setup,variant,region,rmse,mae,bias,p95,max,slope_error,correlation
Bajo,balanced_recommended,Subgraves,0.2479915491959986,0.2177067107639467,0.21431019405267393,0.34279557776719116,0.3459965169545658,0.25296164756791506,0.9212703938650728
Bajo,balanced_recommended,Graves,0.37417490558072947,0.3266110356387257,-0.2237285145945929,0.5737866860071493,0.582872735330163,-0.4908282309599894,0.9990483547424226
Bajo,balanced_recommended,Medios,0.40545339689623294,0.36129113003500435,0.1977076079085907,0.6053363651830979,0.6071086698047612,0.29743991129558167,0.9237460910266246
Bajo,balanced_recommended,Presencia,0.5605792860446029,0.5248442576270057,-0.5248442576270057,0.7710104825626555,0.8047162629039288,-0.05002853739209229,0.8999212005782169
Bajo,balanced_recommended,Brillo,0.6993166970351601,0.5895228375754624,0.5646561702198752,1.2412824379233607,1.3980151619831815,1.5770690413411483,0.9982289890965581
Bajo,subgrave_alternative,Subgraves,0.04316544054705314,0.03402039865260528,-0.01350587242161531,0.07905664320511008,0.10484921777560707,0.0778255388648675,0.9856689320293099
Bajo,subgrave_alternative,Graves,0.1752690125758347,0.15693357579234873,-0.15693357579234873,0.24329867347671125,0.2451318012542636,-0.10194092666704455,0.9994238871059961
Bajo,subgrave_alternative,Medios,0.5714670902972487,0.4922074181272297,0.48531434736700485,0.846672438339378,0.8560569256594857,0.18038911154899628,0.9311613180199368
Bajo,subgrave_alternative,Presencia,0.6728548914713638,0.6296768229467034,-0.6285792275247336,0.8899200310355289,0.8967378691924814,-0.18987870623346664,0.8163050723624685
Bajo,subgrave_alternative,Brillo,0.7125040855235847,0.5865393372193934,0.5177193964190753,1.342860148030921,1.5182080603119275,1.8762278884399906,0.9984292609169146
Bajo,global_rmse_audit,Subgraves,0.2479915491959986,0.2177067107639467,0.21431019405267393,0.34279557776719116,0.3459965169545658,0.25296164756791506,0.9212703938650728
Bajo,global_rmse_audit,Graves,0.37417490558072947,0.3266110356387257,-0.2237285145945929,0.5737866860071493,0.582872735330163,-0.4908282309599894,0.9990483547424226
Bajo,global_rmse_audit,Medios,0.40545339689623294,0.36129113003500435,0.1977076079085907,0.6053363651830979,0.6071086698047612,0.29743991129558167,0.9237460910266246
Bajo,global_rmse_audit,Presencia,0.5605792860446029,0.5248442576270057,-0.5248442576270057,0.7710104825626555,0.8047162629039288,-0.05002853739209229,0.8999212005782169
Bajo,global_rmse_audit,Brillo,0.6993166970351601,0.5895228375754624,0.5646561702198752,1.2412824379233607,1.3980151619831815,1.5770690413411483,0.9982289890965581
Bajo,minimax_regional_audit,Subgraves,0.25483708309296454,0.2506898585888059,0.2506898585888059,0.3018458392997097,0.30379297150671114,-0.05645007712707582,0.9767455277769662
Bajo,minimax_regional_audit,Graves,0.5180004429837959,0.44205609414922836,-0.43346379747060876,0.7407443901249066,0.7514708273948898,-0.45620365488348397,0.9985309967843563
Bajo,minimax_regional_audit,Medios,0.574848952746941,0.5175036224633643,0.30412007459771506,0.844424170613578,0.8493630378813712,0.49812023779354675,0.9061509405425607
Bajo,minimax_regional_audit,Presencia,0.5162026256951514,0.47438519999323836,-0.4406688530598557,0.6915082630923691,0.7027748213970799,-0.34465670881790544,0.8064807611059416
Bajo,minimax_regional_audit,Brillo,0.47937696500740823,0.39550392062219186,0.29896156424559545,0.9204989497059346,1.0735921261687569,1.4316476851768811,0.9986937586805347
Híbrido,balanced_recommended,Subgraves,0.2533091057795667,0.24951948003931657,0.24951948003931657,0.332539711974764,0.3385115732955706,0.06642551670551185,0.9979471340621623
Híbrido,balanced_recommended,Graves,0.3107794169580019,0.2664375798094478,-0.09427962716447857,0.5348694449995024,0.5620305092246909,-0.4927458998642938,0.9998095460047202
Híbrido,balanced_recommended,Medios,0.5793420537466605,0.5182690939027459,0.27331248415047127,0.8845548806851804,0.8998598886260307,0.4716772251563723,0.9564169418668376
Híbrido,balanced_recommended,Presencia,0.735249588604043,0.6769933299383251,-0.6721592628092241,0.982327380561861,1.0068657516340718,-0.3329343081094602,0.8460096218505393
Híbrido,balanced_recommended,Brillo,0.7985008126125183,0.6458659555267586,0.5219936004156288,1.4725577097295854,1.740136326916824,2.3052893928372242,0.9979986558354831
Híbrido,subgrave_alternative,Subgraves,0.032894628540671336,0.029350138853237326,0.008628323156692812,0.05668185739730803,0.06154387014930318,0.04752635941650804,0.9988247490161577
Híbrido,subgrave_alternative,Graves,0.7872039105034373,0.6518159154765423,-0.651471759779958,1.274683795603989,1.3013627575981053,-0.7378921577028701,0.999324750907624
Híbrido,subgrave_alternative,Medios,0.6995664603033988,0.5830125506319794,-0.18112684112897312,1.2882562919541076,1.30149409814614,0.6978875769093906,0.9605404279696772
Híbrido,subgrave_alternative,Presencia,0.7926510530523807,0.7458584542687139,-0.7458584542687139,1.0367064534390602,1.082475712976894,-0.25126774466173557,0.8589198462261259
Híbrido,subgrave_alternative,Brillo,0.7014091847307825,0.5677365010584966,0.43180436494402447,1.2870922056286487,1.5401557844785856,2.106198216370878,0.9977233243306646
Híbrido,global_rmse_audit,Subgraves,0.12623639090815186,0.09597268417513431,0.012848105107057112,0.30305002963685207,0.35377085731304136,-0.22789434439038597,0.9823970745380505
Híbrido,global_rmse_audit,Graves,0.0875688211030219,0.059609902727322764,-0.04850235773881872,0.18644507200052085,0.21505606970661262,-0.0935417674465747,0.9994691560146843
Híbrido,global_rmse_audit,Medios,0.3172098256713005,0.27219140371101874,0.15770654622637217,0.5300330167339489,0.5347349119437599,0.16338707279777867,0.9663004004350925
Híbrido,global_rmse_audit,Presencia,0.8381850698852475,0.8048325931520397,-0.8048325931520397,1.087278794668584,1.1283258958484463,-0.14921466715352463,0.8813926866585515
Híbrido,global_rmse_audit,Brillo,1.1378500667526517,0.9279021956931622,0.8385551339189773,2.0821193544482246,2.3925304096902487,2.9398621643661587,0.9979232644769218
Híbrido,minimax_regional_audit,Subgraves,0.062238293574971425,0.05140552637850307,0.04121282868166944,0.12124990821699005,0.12643715000151268,0.08612047988410812,0.9986845576514649
Híbrido,minimax_regional_audit,Graves,0.5871925706153155,0.47164258264749803,-0.45756909035388843,0.9696534870254016,0.9870135798119737,-0.6137954717449785,0.9995010005789379
Híbrido,minimax_regional_audit,Medios,0.7084924565652252,0.6498510166465319,0.17722358775399805,0.9611452390232462,0.986560312126489,0.7026409385755772,0.9581800976584864
Híbrido,minimax_regional_audit,Presencia,0.6185908001777828,0.5619132377385311,-0.5343115670625525,0.8485949815402078,0.8644046555190936,-0.3755353103452528,0.8451607501543704
Híbrido,minimax_regional_audit,Brillo,0.7230722634446209,0.5889660220077647,0.4844322023106801,1.3174823599142624,1.5687570693717312,2.0443887192707026,0.997860480696823
Guitarra,balanced_recommended,Subgraves,0.10598801270108141,0.09436293431388226,0.01198896204135421,0.1803523531074553,0.19294670587228763,0.2123416058414359,0.998811364919012
Guitarra,balanced_recommended,Graves,0.1523014978046571,0.13217083241818994,-0.017072456488051363,0.2545994331392098,0.2839410460555696,-0.2538381785065825,0.9999940212016577
Guitarra,balanced_recommended,Medios,0.4374717571612606,0.3723804950184054,0.24147832093153873,0.7161922092840509,0.7291256491505216,0.3094994826782808,0.9887914835534592
Guitarra,balanced_recommended,Presencia,0.713843496561668,0.6639092406629463,-0.6639092406629463,1.0573751533968156,1.0868239366683223,-0.18738913190661327,0.8837831035946726
Guitarra,balanced_recommended,Brillo,0.7068174413428621,0.5990552473058977,0.4774129872724906,1.299277414736505,1.4580188116754123,1.8219006722175586,0.9954948822410187
Guitarra,subgrave_alternative,Subgraves,0.051148578127919994,0.03795626095402763,0.03795626095402763,0.12465091466915344,0.14906468916747784,-0.017095009421030302,0.9988142422883085
Guitarra,subgrave_alternative,Graves,0.7084004162846383,0.6057518430359562,-0.6056486991957205,1.1214464113971412,1.1557524071467364,-0.6174613105505066,0.9998015510158518
Guitarra,subgrave_alternative,Medios,0.6625956278888463,0.5573627493123214,-0.24448854847045837,1.124511832302957,1.152433186389426,0.6656225218578615,0.9911410625937277
Guitarra,subgrave_alternative,Presencia,0.6155533628750601,0.5652379404868071,-0.5647226639464282,0.9368143716915475,0.9663440891202004,-0.1756600602870817,0.897864483359408
Guitarra,subgrave_alternative,Brillo,0.6311225020574598,0.5400304888432816,0.4407676097282622,1.1406483321088114,1.284004391242787,1.5693622294330776,0.9952779945671802
Guitarra,global_rmse_audit,Subgraves,0.1073103466952724,0.06978497399820391,0.032322191275061245,0.2890192061736067,0.3379808159071982,-0.18586917295117408,0.9948352958938903
Guitarra,global_rmse_audit,Graves,0.13039682337581396,0.11883068708505887,-0.11883068708505887,0.2211453802690532,0.2517092354407575,-0.08682039074933166,0.9999798286809187
Guitarra,global_rmse_audit,Medios,0.3697368750866652,0.3220388897437837,0.17346028431244453,0.6099215122624604,0.6160963645866993,0.3012544934974466,0.9921121985116858
Guitarra,global_rmse_audit,Presencia,0.5691390459723275,0.517364230994075,-0.5161997561244946,0.8891918696030812,0.9192801195842435,-0.14507883415872774,0.8992190755788853
Guitarra,global_rmse_audit,Brillo,0.98813663974995,0.827131190970272,0.7791309118376158,1.7611872796744106,1.9424559492509488,2.1344316098131784,0.9962607807156533
Guitarra,minimax_regional_audit,Subgraves,0.30080436065419897,0.29549236317191974,0.29549236317191974,0.36634767196856477,0.3690563075502782,0.10048804633849621,0.9990251578062119
Guitarra,minimax_regional_audit,Graves,0.39759435915023034,0.3379224023451348,-0.20742342821560633,0.6819092752635546,0.7127702849979602,-0.5698016201800371,0.9998348042558831
Guitarra,minimax_regional_audit,Medios,0.6193231380885246,0.569161606700099,0.18562852638209262,0.906674658048948,0.9208105957165138,0.6234313796402519,0.9903219141611627
Guitarra,minimax_regional_audit,Presencia,0.5043923088117696,0.43865373070836944,-0.4068027077134697,0.8170734384721625,0.848070824483095,-0.3338730386939954,0.8838726149601874
Guitarra,minimax_regional_audit,Brillo,0.5671137984755694,0.48641514134431574,0.3838307654243638,1.0304979054954693,1.1686099459154775,1.4454465458148602,0.995516702412435
