setup,principal_global_db,best_offset_only_global_db,principal_worst,diagnostic_worst,principal_global_rmse,diagnostic_global_rmse
Bajo,3,3.0,0.574848952746941,0.574848952746941,0.4994893295607488,0.4994893295607488
Híbrido,3,3.0,0.7230722634446209,0.7230722634446209,0.593607850930531,0.593607850930531
Guitarra,3,3.0,0.6193231380885246,0.6193231380885246,0.49914586334446504,0.49914586334446504
