frequency_hz,eq_copy_db,source_variant,smoothing,pipeline_version
20.0,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
20.271729455407797,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
20.547150755662397,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
20.82631405991329,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
21.109270208795884,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
21.396070733690483,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
21.686767866107107,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
21.98141454719773,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
22.28006443739788,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
22.582771926199108,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
22.88959214205433,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
23.20058096241767,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
23.515795023920777,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
23.835291732687335,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
24.159129274787787,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
24.48736662683601,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
24.82006356673008,-1.900617880198607,v17_v15w_weighted_all,none,V17.0-operative
25.157280684538797,-1.708422287384678,v17_v15w_weighted_all,none,V17.0-operative
25.499079393536324,-1.6194206264036677,v17_v15w_weighted_all,none,V17.0-operative
25.845521941386608,-1.5974534155677365,v17_v15w_weighted_all,none,V17.0-operative
26.19667142147976,-1.5756440130833225,v17_v15w_weighted_all,none,V17.0-operative
26.55259178442254,-1.5539699651574823,v17_v15w_weighted_all,none,V17.0-operative
26.913347849684865,-1.5324501140189448,v17_v15w_weighted_all,none,V17.0-operative
27.27900531740463,-1.511058493145844,v17_v15w_weighted_all,none,V17.0-operative
27.649630780352854,-1.489803677301682,v17_v15w_weighted_all,none,V17.0-operative
28.025291736061448,-1.4637537941716243,v17_v15w_weighted_all,none,V17.0-operative
28.40605659911567,-1.4373048288440002,v17_v15w_weighted_all,none,V17.0-operative
28.791994713613697,-1.4256184554379097,v17_v15w_weighted_all,none,V17.0-operative
29.183176365795426,-1.4141150311378734,v17_v15w_weighted_all,none,V17.0-operative
29.57967279684278,-1.4028205845759194,v17_v15w_weighted_all,none,V17.0-operative
29.981556215854116,-1.3917031049488893,v17_v15w_weighted_all,none,V17.0-operative
30.38889981299472,-1.2808076625740794,v17_v15w_weighted_all,none,V17.0-operative
30.801777772826068,-1.083330686418154,v17_v15w_weighted_all,none,V17.0-operative
31.22026528781616,-1.080909293376526,v17_v15w_weighted_all,none,V17.0-operative
31.64443857203341,-1.0784410483246396,v17_v15w_weighted_all,none,V17.0-operative
32.074374875026606,-1.0759334382415195,v17_v15w_weighted_all,none,V17.0-operative
32.51015249589342,-1.0733817736018376,v17_v15w_weighted_all,none,V17.0-operative
32.951850797540104,-1.070792993172546,v17_v15w_weighted_all,none,V17.0-operative
33.399550221134824,-1.0681655906212448,v17_v15w_weighted_all,none,V17.0-operative
33.85333230075753,-1.0655015229082858,v17_v15w_weighted_all,none,V17.0-operative
34.31327967824872,-1.0670273410166131,v17_v15w_weighted_all,none,V17.0-operative
34.77947611826001,-1.066926807346154,v17_v15w_weighted_all,none,V17.0-operative
35.25200652350916,-1.066511762938397,v17_v15w_weighted_all,none,V17.0-operative
35.73095695024241,-0.966000572997267,v17_v15w_weighted_all,none,V17.0-operative
36.21641462390684,-0.9081969018988346,v17_v15w_weighted_all,none,V17.0-operative
36.70846795503569,-0.9079126663355256,v17_v15w_weighted_all,none,V17.0-operative
37.20720655534949,-0.9076103640572548,v17_v15w_weighted_all,none,V17.0-operative
37.71272125407601,-0.9072914187279344,v17_v15w_weighted_all,none,V17.0-operative
38.225104114491806,-0.9069543584110072,v17_v15w_weighted_all,none,V17.0-operative
38.74444845068865,-0.9065838182661696,v17_v15w_weighted_all,none,V17.0-operative
39.27084884456772,-0.9059867609274092,v17_v15w_weighted_all,none,V17.0-operative
39.80440116306452,-0.9053745905240004,v17_v15w_weighted_all,none,V17.0-operative
40.34520257560816,-0.9047468129498252,v17_v15w_weighted_all,none,V17.0-operative
40.893351571817504,-0.9041037014361778,v17_v15w_weighted_all,none,V17.0-operative
41.44894797943797,-0.9034465282980436,v17_v15w_weighted_all,none,V17.0-operative
42.01209298252189,-0.9027737914462768,v17_v15w_weighted_all,none,V17.0-operative
42.582889139856,-0.9020879012179074,v17_v15w_weighted_all,none,V17.0-operative
43.16144040363917,-0.9013871842154184,v17_v15w_weighted_all,none,V17.0-operative
43.747852138414025,-0.7803824191180605,v17_v15w_weighted_all,none,V17.0-operative
44.34223114025561,-0.6487960870688265,v17_v15w_weighted_all,none,V17.0-operative
44.94468565622102,-0.648764789373916,v17_v15w_weighted_all,none,V17.0-operative
45.55532540406298,-0.6487327384023753,v17_v15w_weighted_all,none,V17.0-operative
46.17426159221152,-0.64869977064442,v17_v15w_weighted_all,none,V17.0-operative
46.80160694002694,-0.6486659669164431,v17_v15w_weighted_all,none,V17.0-operative
47.43747569832809,-0.6486311496596538,v17_v15w_weighted_all,none,V17.0-operative
48.08198367019944,-0.6485953457678033,v17_v15w_weighted_all,none,V17.0-operative
48.73524823208092,-0.6485584618626449,v17_v15w_weighted_all,none,V17.0-operative
49.397388355144265,-0.6485203955861515,v17_v15w_weighted_all,none,V17.0-operative
50.068524626959785,-0.6484811814848616,v17_v15w_weighted_all,none,V17.0-operative
50.74877927345756,-0.6484405555712346,v17_v15w_weighted_all,none,V17.0-operative
