frequency_hz,operative_db,v15_recal_db,v15_published_db,v16_db,v12_db,v41_db
98,-1.7448044436067707,-1.3631919874657306,-1.3631919874657306,-1.2127030961874476,-0.20801309160011805,-0.76
515,1.7902700427295462,1.8243357472341397,1.82433574723414,1.4511379364564183,0.04203383914881,3.49
958,1.6073504356232298,1.8542433145090682,1.8542433145090682,1.727888469811945,2.082997365274984,3.49
1360,2.765094679814073,2.5224585786710634,2.5224585786710634,2.8536237125434294,3.5456606419564314,4.08
2630,5.641642902185231,4.804518294027,4.804518294027001,6.93261398029144,2.327469442125705,6.61
4120,3.3070914809948464,3.3624712493805373,3.3624712493805373,3.5480561517466374,1.4169764014222397,6.34
5190,3.656757192025343,4.06276743096028,4.062767430960281,5.242944680875943,1.0831689323148908,4.33
