held_out_register,n_observations,n_pairs,mae_db,rmse_db,p95_db
high,1613,2,5.642535748259618,6.909568749611801,14.50965064392138
low,4821,8,6.490476993214658,8.02574147174677,15.770996364125605
mid,9397,3,4.989541203784718,6.271974489316001,12.563505344403676
sub,7764,3,5.084434305952216,6.363886995954805,14.279168778432481
