held_out_exercise,n_observations,n_pairs,mae_db,rmse_db,p95_db
chromatic,4096,1,4.524094627428788,5.9929338771654965,12.84845646388488
fret12,8658,6,4.877533022917243,6.561868338157585,14.324955710083216
high,953,1,4.699468609379574,6.046133571564915,14.481727420534897
open,9888,6,4.431580177210406,5.775923790694724,11.602518903859327
