frequency_hz,attack_db,attack_n_eff,stabilization_db,stabilization_n_eff,body_db,body_n_eff,sustain_db,sustain_n_eff,decay_db,decay_n_eff,attack_minus_body_db,stabilization_minus_body_db,sustain_minus_body_db,decay_minus_body_db,pipeline_version
20.0,-4.1794293365902515,98.83129388248365,-4.464700249790352,98.37927599485761,-4.10711268183295,99.12507633667944,-4.023379404702681,98.26733508334515,-4.230898857836111,97.85509066961033,-0.07231665475730154,-0.35758756795740165,0.08373327713026857,-0.12378617600316133,V13.0
20.033765982017503,-4.179355603446613,98.83066558580077,-4.464618563812962,98.3786608906259,-4.107124692885328,99.12458497079732,-4.023381144750438,98.26676393138224,-4.230911933465991,97.85464240475872,-0.07223091056128439,-0.35749387092763385,0.08374354813489049,-0.12378724058066215,V13.0
20.067588971112087,-4.179281888698887,98.83003614529183,-4.464536855785326,98.37804440300344,-4.107136621412635,99.12409150948794,-4.0233828392158095,98.26619042866194,-4.230924962168324,97.85419108922794,-0.07214526728625259,-0.3574002343726912,0.08375378219682528,-0.12378834075568879,V13.0
20.101469063528747,-4.1540847385559205,98.82940801879266,-4.464455037242078,98.37742902787629,-4.107148466986022,99.12359597886413,-4.023384487862066,98.2656146042291,-4.230938011490579,97.85373175003573,-0.04693627156989866,-0.35730657025605606,0.0837639791239555,-0.12378954450455737,V13.0
20.13540635567497,-4.154048018223172,98.82877646240851,-4.464373281272964,98.3768099404351,-4.1071602291574285,99.12309840585488,-4.023386090442271,98.26503648798801,-4.230950980868539,97.85327184576128,-0.04688778906574331,-0.35721305211553567,0.0837741387151576,-0.12379075171111076,V13.0
20.16940094412101,-4.154011306645609,98.82814384291885,-4.464291502724084,98.37618954486561,-4.107171907458817,99.12259881823731,-4.023387693146011,98.26445864485116,-4.230963904041225,97.85280890467052,-0.04683939918679236,-0.35711959526526726,0.08378421431280536,-0.12379199658240836,V13.0
20.203452925600157,-4.153974603661123,98.8275101880314,-4.46420970144235,98.37556786683066,-4.1071835014013995,99.12209724466852,-4.023389250171656,98.26387862105807,-4.230976814639961,97.8523404617475,-0.04679110225972316,-0.3570262000409503,0.08379425122974382,-0.12379331323856135,V13.0
20.237562397009018,-4.1539379091018445,98.82687552648679,-4.464127877265681,98.37494493290195,-4.107195010474912,99.12159371471984,-4.023390716553085,98.26329401240974,-4.230989679584753,97.85186898740905,-0.04674289862693204,-0.3569328667907685,0.08380429392182709,-0.1237946691098406,V13.0
20.271729455407794,-4.1539012227939365,98.82623988809725,-4.4640460300226925,98.37432077059447,-4.1072064341467085,99.12108825891144,-4.023392135907765,98.2627072482419,-4.231002498755968,97.85139451451597,-0.04669478864722798,-0.356839595875984,0.08381429823894315,-0.12379606460925974,V13.0
20.30595419802054,-4.153864544557358,98.82560330378733,-4.463964159532324,98.37369540840209,-4.1072177718610385,99.12058090874866,-4.023393462106914,98.2621208615678,-4.231015272026843,97.85091707683505,-0.04664677269631934,-0.3567463876712855,0.08382430975412447,-0.12379750016580449,V13.0
20.34023672223547,-4.153827874205635,98.82496580563554,-4.4638822656034955,98.37306887583485,-4.107229023038084,99.1200716967596,-4.023394784663907,98.26152999184329,-4.231028033176516,97.85043921986171,-0.046598851167551025,-0.35665324256541187,0.0838342383741768,-0.12379901013843231,V13.0
20.374577125605207,-4.153791211545611,98.82432742691826,-4.46380034803475,98.37244120345731,-4.107240187073068,99.11956065653419,-4.02339605918566,98.26093707887765,-4.23104071552721,97.84995605366639,-0.04655102447254311,-0.3565601609616822,0.08384412788740825,-0.12380052845414191,V13.0
20.408975505847074,-4.153754556377208,98.8236882021547,-4.463718406613825,98.37181242292857,-4.107251263335341,99.11904782276474,-4.02339728533111,98.26034216122605,-4.231053351601002,97.84947003344396,-0.04650329304186673,-0.3564671432784845,0.08385397800423089,-0.12380208826566097,V13.0
20.443431960843377,-4.153717908493147,98.82304816715398,-4.463636441117281,98.37118256704343,-4.107262146108747,99.11853567272952,-4.023398462745004,98.25974527866809,-4.231065941241791,97.84898119708919,-0.04645576238439997,-0.3563742950085338,0.0838636833637425,-0.1238037951330444,V13.0
20.47794658864167,-4.1536812676786905,98.82240735906373,-4.463554451310078,98.37055166977585,-4.107273040619101,99.11801945769345,-4.023399591057372,98.25914647225466,-4.231078484285006,97.8484895835967,-0.04640822705958936,-0.3562814106909773,0.08387344956172882,-0.12380544366590485,V13.0
20.51251948745504,-4.153644633711347,98.82176581642048,-4.463472436945149,98.3699197663231,-4.107283845131048,99.1175015640959,-4.023400669882971,98.25854578435629,-4.231090946561229,97.8479977520102,-0.04636078858029968,-0.35618859181410123,0.08388317524807665,-0.12380710143018181,V13.0
20.547150755662393,-4.153608006360594,98.82112357920231,-4.463390397762922,98.36928689315224,-4.107294558893457,99.11698203162852,-4.023401698820698,98.25794325871361,-4.231103360189612,97.84750335111073,-0.046313447467136726,-0.3560958388694644,0.08389286007275931,-0.12380880129615512,V13.0
