frequency_hz,delta_db,n_eff
20.0,-4.023379404702681,98.26733508334515
20.033765982017503,-4.023381144750438,98.26676393138224
20.067588971112087,-4.0233828392158095,98.26619042866194
20.101469063528747,-4.023384487862066,98.2656146042291
20.13540635567497,-4.023386090442271,98.26503648798801
20.16940094412101,-4.023387693146011,98.26445864485116
20.203452925600157,-4.023389250171656,98.26387862105807
20.237562397009018,-4.023390716553085,98.26329401240974
20.271729455407794,-4.023392135907765,98.2627072482419
20.30595419802054,-4.023393462106914,98.2621208615678
20.34023672223547,-4.023394784663907,98.26152999184329
20.374577125605207,-4.02339605918566,98.26093707887765
20.408975505847074,-4.02339728533111,98.26034216122605
20.443431960843377,-4.023398462745004,98.25974527866809
20.47794658864167,-4.023399591057372,98.25914647225466
20.51251948745504,-4.023400669882971,98.25854578435629
20.547150755662393,-4.023401698820698,98.25794325871361
20.581840491808723,-4.023402677452995,98.25733894048975
20.6165887946054,-4.0234036053452185,98.25673287632421
20.65139576293044,-4.0234044820450015,98.25612511438946
20.686261495828813,-4.02340530708158,98.2555157044492
20.72118609251269,-4.023406079965087,98.25490469791879
20.75616965236174,-4.023406800185841,98.25429214792827
20.791212274923435,-4.023407467213576,98.25367810938758
20.82631405991329,-4.023408080496679,98.25306263905411
20.861475107215185,-4.023408639461378,98.25244579560301
20.896695516881625,-4.023409143510902,98.25182763969984
20.931975389134035,-4.023409592024584,98.2512082340765
20.967314824363047,-4.023409984357,98.25058764360935
21.002713923128784,-4.0234103198369935,98.24996593540078
21.03817278616114,-4.02341059776671,98.24934317886351
21.07369151436007,-4.023410817420595,98.2487194458084
21.109270208795884,-4.023410978044324,98.2480948105352
21.144908970709523,-4.023411078853736,98.24746934992693
21.180607901512857,-4.02341111903367,98.2468431435479
21.21636710278897,-4.02341109773682,98.246216273745
21.252186676292443,-4.023411014082497,98.24558882575344
21.288066723949655,-4.023410867155363,98.2449608878057
21.32400734785907,-4.023410656004127,98.24433255124548
21.360008650291512,-4.02341037964017,98.2437039106451
21.396070733690483,-4.023410037036135,98.24307506392762
21.432193700672432,-4.023409627124454,98.242446112494
21.46837765402706,-4.023409148795831,98.24181716135419
21.504622696717597,-4.0234086008976275,98.24118831926398
21.540928931881123,-4.023407982232273,98.24055969886632
21.577296462828844,-4.023407291555505,98.23993141683857
21.61372539304635,-4.02340652757462,98.23930359404471
21.650215826193993,-4.023405688946648,98.23867635569381
21.686767866107107,-4.023404774276421,98.23804983150394
21.723381616796342,-4.023403782114596,98.2374241558729
21.760057182447948,-4.023402710955623,98.23679946805454
21.796794667424063,-4.023401559235573,98.23617591234259
21.833594176263034,-4.023400325329949,98.23555363826065
21.87045581367969,-4.0233990075513875,98.23493280075986
21.907379684565655,-4.023397604147258,98.23431356042394
21.944365893989634,-4.023396113297182,98.23369608368152
21.98141454719773,-4.023394533110481,98.23308054302693
22.018525749613726,-4.0233928616234955,98.23246711724917
22.055699606839394,-4.023391096796815,98.23185599166953
22.092936224654792,-4.023389236512401,98.23124735838789
22.130235709018567,-4.023387278570596,98.23064141653849
22.167598166068256,-4.023385220687049,98.23003837255573
22.20502370212059,-4.02338306048947,98.22943844044907
22.24251242367179,-4.023380795514298,98.22884184208904
22.28006443739788,-4.023378423203253,98.22824880750375
22.317679850154974,-4.023375940899716,98.22765957518652
22.35535876897961,-4.023373345845018,98.2270743924152
22.39310130108902,-4.023370635174536,98.22649351558331
22.43090755388145,-4.0233678059137,98.22591721054403
22.46877763493648,-4.023364854973785,98.22534575296655
22.506711652015305,-4.02336177914762,98.22477942870648
22.544709713061057,-4.0233585751050365,98.22421853418986
22.582771926199108,-4.023355239388241,98.22366337681152
22.620898399737378,-4.023351768406955,98.22311427534872
22.65908924216664,-4.023348158433359,98.22257156039008
22.697344562160836,-4.023344405596905,98.22203557478095
22.735664468577387,-4.023340505878876,98.22150667408536
22.774049070457483,-4.023336455106766,98.22098522706533
22.81249847702642,-4.02333224894842,98.22047161617846
22.851012797693897,-4.023327882906005,98.21996623809379
22.88959214205433,-4.02332335230968,98.21946950422762
22.928236619887155,-4.023318652311087,98.21898184129928
22.96694634115716,-4.023313777876556,98.21850369190761
23.005721416014783,-4.023308723780073,98.21803551512949
23.044561954796425,-4.023303484595985,98.21757778714056
23.083468068024768,-4.023298054691381,98.21713100185976
23.122439866409092,-4.023292428218254,98.2166956716176
23.16147746084559,-4.023286599105307,98.21627232785018
23.20058096241767,-4.0232805610494955,98.2158615218185
23.239750482396303,-4.023274307507196,98.21546382535595
23.27898613224029,-4.023267831685076,98.21507983164294
23.318288023596637,-4.023261126530616,98.21471015601126
23.357656268300822,-4.023254184722262,98.21435543677867
23.397090978377143,-4.023246998659174,98.21401633611447
23.43659226603903,-4.023239560450668,98.21369354093845
23.476160243689357,-4.023231861905156,98.21338776385286
23.515795023920777,-4.023223894518737,98.21309974411007
23.555496719516025,-4.02321564946333,98.21283024861617
23.595265443448252,-4.023207117574351,98.21258007297294
23.63510130888133,-4.023198289337923,98.21235004255844
23.675004429170208,-4.023189154877619,98.21214101364868
23.71497491786119,-4.023179703940673,98.21195387458123
23.75501288869229,-4.023169925883678,98.21178954696323
23.795118455593546,-4.023159809657768,98.21164898692393
23.835291732687338,-4.023149343793168,98.21153318641504
23.87553283428873,-4.0231385163832405,98.21144317456013
23.915841874905773,-4.023127315067854,98.2113800190543
23.956218969239846,-4.023115727016177,98.21134482761705
23.99666423218598,-4.0231037389087705,98.21133874949936
24.037177778833183,-4.023091336919028,98.21136297704811
24.07775972446476,-4.023078506693909,98.21141874732866
24.11841018455866,-4.023065233333916,98.21150734380932
24.159129274787787,-4.023051501372337,98.21163009810842
24.199917111020337,-4.023037294753697,98.21178839180766
24.24077380932012,-4.023022596811372,98.21198365833378
24.281699485946913,-4.023007390244368,98.21221738491052
24.322694257356755,-4.022991657093198,98.21249111458471
24.363758240202312,-4.022975378714881,98.21280644832821
24.404891551333183,-4.022958535756947,98.21316504721896
24.44609430779625,-4.022941108130471,98.21356863470443
24.48736662683601,-4.022923074982093,98.21401899894988
24.528708625894897,-4.022904414664952,98.21451799527523
24.570120422613623,-4.022885104708531,98.21506754868396
24.611602134831514,-4.0228651217873574,98.21566965648616
24.653153880586842,-4.0228444416885,98.2163263910215
24.694775778117172,-4.022823039277833,98.2170399024841
24.736467945859694,-4.022800888465032,98.21781242185355
24.778230502451514,-4.02277796216722,98.21864626393652
24.820063566730077,-4.0227542322712395,98.2195438305229
24.86196725773345,-4.0227296695944865,98.22050761366036
24.903941694700666,-4.022704243844279,98.22154019905251
24.945986997072076,-4.022677923575631,98.22264426958442
24.98810328448967,-4.022650676147469,98.22382260898154
25.03029067679745,-4.022622467677159,98.22507810560555
25.07254929404173,-4.022593262993298,98.22641375639346
25.114879256471504,-4.022563025586742,98.22783267094455
25.157280684538794,-4.022531717559745,98.22933807576176
25.19975369889896,-4.022499299573161,98.23093331865152
25.242298420411085,-4.022465730791648,98.23262187329038
25.284914970138285,-4.022430968826811,98.23440734396219
25.327603469348073,-4.022394969678114,98.23629347047435
25.370364039512694,-4.022357687671645,98.23828413325855
25.413196802309475,-4.02231907539645,98.24038335866344
25.456101879621176,-4.0222790836385265,98.2425953244462
25.499079393536324,-4.022237661312247,98.24492436547094
25.542129466349575,-4.022194755389217,98.24737497962096
25.585252220562047,-4.022150310824412,98.24995183393362
25.628447778881682,-4.02210427047949,98.25265977096572
25.671716264223594,-4.022056575043209,98.25550381539814
25.7150577997104,-4.022007162948821,98.25848918088884
25.758472508672604,-4.021955970288292,98.2616212771833
25.80196051464891,-4.021902930723297,98.26490571749245
25.845521941386608,-4.021847975392802,98.26834832614765
25.889156912841898,-4.021791032817145,98.27195514654322
25.93286555318026,-4.021732028798481,98.27573244937773
25.97664798677681,-4.021670886317388,98.27968674120467
26.020504338216632,-4.021607525425616,98.28382477330423
26.06443473229516,-4.021541863134697,98.28815355088867
26.108439294018513,-4.021473813300338,98.2926803426529
26.152518148603853,-4.021403286502419,98.29741269068418
26.19667142147976,-4.021330189920429,98.30235842074354
26.240899238286566,-4.021254427204154,98.30752565293336
26.285201724876718,-4.021175898339442,98.31292281276535
26.329579007315147,-4.021094499508882,98.31855864264365
26.37403121187962,-4.02101012294717,98.32444221377922
26.418558465061086,-4.020922656790964,98.33058293855088
26.463160893564062,-4.020831984923048,98.33699058333022
26.507838624306977,-4.020737986810554,98.3436752817874
26.55259178442254,-4.020640537337013,98.35064754869583
26.59742050125808,-4.020539506628072,98.35791829425459
26.64232490237595,-4.020434759870518,98.3654988389473
26.687305115553855,-4.020326157124441,98.37340092895805
26.732361268785223,-4.020213553128268,98.38163675216477
26.777493490279582,-4.020096797096362,98.39021895473174
26.822701908462907,-4.019975732508907,98.39916065832327
26.867986651978004,-4.019850196893836,98.40847547796159
26.913347849684865,-4.019720021600417,98.41817754055359
