pair,event,window,band,delta_db,match_cost
B_open,9,5-10ms,500-2000,-7.913965978580187,1.532996569973463
B_open,9,5-10ms,2000-5000,-16.20258895177075,1.532996569973463
B_open,9,5-10ms,5000-10000,-25.95345750901332,1.532996569973463
B_open,9,10-20ms,20-60,-8.98891023963678,1.532996569973463
B_open,9,10-20ms,60-150,-10.206498870991219,1.532996569973463
B_open,9,10-20ms,150-500,-11.330928681294111,1.532996569973463
B_open,9,10-20ms,500-2000,-12.639457901076668,1.532996569973463
B_open,9,10-20ms,2000-5000,-18.287808456616204,1.532996569973463
B_open,9,10-20ms,5000-10000,-18.559237485752277,1.532996569973463
B_open,9,20-40ms,20-60,-27.022208573010076,1.532996569973463
B_open,9,20-40ms,60-150,-26.634848731377247,1.532996569973463
B_open,9,20-40ms,150-500,-26.87375070458338,1.532996569973463
B_open,9,20-40ms,500-2000,-9.168297364769636,1.532996569973463
B_open,9,20-40ms,2000-5000,-26.25115491016011,1.532996569973463
B_open,9,20-40ms,5000-10000,-32.05091348881665,1.532996569973463
B_open,9,40-80ms,20-60,-16.734053007193644,1.532996569973463
B_open,9,40-80ms,60-150,-18.81842669903052,1.532996569973463
B_open,9,40-80ms,150-500,-17.711161767981835,1.532996569973463
B_open,9,40-80ms,500-2000,5.13794800101428,1.532996569973463
B_open,9,40-80ms,2000-5000,-8.388231887225174,1.532996569973463
B_open,9,40-80ms,5000-10000,-8.715499756952013,1.532996569973463
B_open,9,80-160ms,20-60,-16.01117785792391,1.532996569973463
B_open,9,80-160ms,60-150,-19.411390111267572,1.532996569973463
B_open,9,80-160ms,150-500,-14.134359041095074,1.532996569973463
B_open,9,80-160ms,500-2000,9.73107064587694,1.532996569973463
B_open,9,80-160ms,2000-5000,-11.478587922313011,1.532996569973463
B_open,9,80-160ms,5000-10000,-11.311232993977853,1.532996569973463
B_open,10,0-5ms,20-60,-12.463948389438528,1.2129589296517296
B_open,10,0-5ms,60-150,-11.0754283865298,1.2129589296517296
B_open,10,0-5ms,150-500,-10.981056432912347,1.2129589296517296
B_open,10,0-5ms,500-2000,-8.291215722517322,1.2129589296517296
B_open,10,0-5ms,2000-5000,-0.429904391940795,1.2129589296517296
B_open,10,0-5ms,5000-10000,-11.00251672811541,1.2129589296517296
B_open,10,5-10ms,20-60,-22.36955473443698,1.2129589296517296
B_open,10,5-10ms,60-150,-23.614174764326044,1.2129589296517296
B_open,10,5-10ms,150-500,-22.033933445846223,1.2129589296517296
B_open,10,5-10ms,500-2000,-10.953959848043894,1.2129589296517296
B_open,10,5-10ms,2000-5000,-13.311112060568561,1.2129589296517296
B_open,10,5-10ms,5000-10000,-31.10804929560929,1.2129589296517296
B_open,10,10-20ms,20-60,-19.425387657912523,1.2129589296517296
B_open,10,10-20ms,60-150,-17.158901916530063,1.2129589296517296
B_open,10,10-20ms,150-500,-17.19330690246901,1.2129589296517296
B_open,10,10-20ms,500-2000,-3.1416344963595577,1.2129589296517296
B_open,10,10-20ms,2000-5000,-12.200017993328899,1.2129589296517296
B_open,10,10-20ms,5000-10000,-14.311959247687412,1.2129589296517296
B_open,10,20-40ms,20-60,-14.093959835730779,1.2129589296517296
B_open,10,20-40ms,60-150,-15.305104411055147,1.2129589296517296
B_open,10,20-40ms,150-500,-12.82010847155501,1.2129589296517296
B_open,10,20-40ms,500-2000,-0.11538730528853591,1.2129589296517296
B_open,10,20-40ms,2000-5000,-12.22121750766108,1.2129589296517296
B_open,10,20-40ms,5000-10000,-13.177990563247988,1.2129589296517296
B_open,10,40-80ms,20-60,-12.022276997393966,1.2129589296517296
B_open,10,40-80ms,60-150,-15.48744035342979,1.2129589296517296
B_open,10,40-80ms,150-500,-12.99432572895978,1.2129589296517296
B_open,10,40-80ms,500-2000,10.961254436385765,1.2129589296517296
B_open,10,40-80ms,2000-5000,-19.448122831679726,1.2129589296517296
B_open,10,40-80ms,5000-10000,-20.468412516085195,1.2129589296517296
B_open,10,80-160ms,20-60,-9.226966234330192,1.2129589296517296
B_open,10,80-160ms,60-150,-16.282258880149087,1.2129589296517296
B_open,10,80-160ms,150-500,-9.323501178123308,1.2129589296517296
B_open,10,80-160ms,500-2000,13.475398377316793,1.2129589296517296
B_open,10,80-160ms,2000-5000,-21.146344643790727,1.2129589296517296
B_open,10,80-160ms,5000-10000,-20.491682558097637,1.2129589296517296
B_open,11,0-5ms,20-60,-16.966753565940905,1.505664932960541
B_open,11,0-5ms,60-150,-15.984088979602333,1.505664932960541
B_open,11,0-5ms,150-500,-15.486559418308254,1.505664932960541
B_open,11,0-5ms,500-2000,-10.019567413962747,1.505664932960541
B_open,11,0-5ms,2000-5000,-6.789791854016627,1.505664932960541
