candidate,params,holdout,mae,rmse,p90,p95,sub_mae,high_mae
0,"(20, 5, 20, 0.7)",A_12,4.567987626955251,6.70829771365529,13.291386848721789,15.030012856281829,,
0,"(20, 5, 20, 0.7)",A_open,5.033537409482486,6.27469027638984,10.68412782722987,12.359450469169005,4.049614717500187,
0,"(20, 5, 20, 0.7)",B_12,5.447887388941245,7.197951767593653,13.38720277748315,15.61115121943005,,
0,"(20, 5, 20, 0.7)",B_open,5.689528958563737,7.308804196881329,14.083255618700488,14.08326014104146,3.548649012647005,
0,"(20, 5, 20, 0.7)",C_12,5.365246944949317,6.853341002092026,11.796816506657649,13.92610582137319,,5.842655784282363
0,"(20, 5, 20, 0.7)",C_24,4.579052196888497,6.2808248577135135,10.80661751884782,14.395443782307549,,13.517192209621472
0,"(20, 5, 20, 0.7)",C_chromatic,4.567117888356014,6.020261015517985,9.767464414453794,12.575976046252388,,7.265871326774105
0,"(20, 5, 20, 0.7)",C_open,4.0045541878016495,4.744944087254145,7.346148598383246,7.880732189202682,,
0,"(20, 5, 20, 0.7)",D_12,2.740608528742741,4.260902386088289,6.988960259078431,10.091772148157869,,4.184353723427752
0,"(20, 5, 20, 0.7)",D_open,3.373900999567902,4.294588319177928,7.442271376931657,8.782157639846528,0.44864432188472453,
0,"(20, 5, 20, 0.7)",E_12,4.578255866039494,6.763752070718681,13.582139296727666,15.114601571973589,,
0,"(20, 5, 20, 0.7)",E_open,4.160636271095494,5.381314406679251,8.956491231684817,10.912095365917104,3.1512182799052706,
0,"(20, 5, 20, 0.7)",G_12,4.508010656156585,5.606256986406869,8.512646908666131,11.906577726073108,,4.442803883000037
0,"(20, 5, 20, 0.7)",G_open,3.4542985940904796,4.713429364422327,8.12339599475849,9.549677449997693,,
1,"(50, 10, 40, 1)",A_12,4.6159929762918965,6.752569049477887,13.271585523305697,15.133410182639421,,
1,"(50, 10, 40, 1)",A_open,5.026623719242337,6.279262421339558,10.58236128067724,12.505006611013817,4.035420007719496,
1,"(50, 10, 40, 1)",B_12,5.373033129910214,7.160473234840491,13.35909623449893,15.607970009838915,,
1,"(50, 10, 40, 1)",B_open,5.693842637110114,7.334875176642921,14.399074359195208,14.400984904523872,3.553688363946899,
1,"(50, 10, 40, 1)",C_12,5.324140855788496,6.812683697190276,11.677925070191243,13.982458561919465,,6.096803107087144
1,"(50, 10, 40, 1)",C_24,4.652009895511441,6.358879931343887,10.990587225795869,14.619822672111594,,13.504605685552018
1,"(50, 10, 40, 1)",C_chromatic,4.520066925161253,5.9843905670024355,9.672351772538748,12.709737995628233,,7.387134839531998
1,"(50, 10, 40, 1)",C_open,4.184176525826123,4.927408275410036,7.572635139899139,8.119123587849378,,
1,"(50, 10, 40, 1)",D_12,2.719493775431505,4.29364101398615,7.345041317798911,10.427033528832425,,4.109731302311543
1,"(50, 10, 40, 1)",D_open,3.3363591648598705,4.241360953998673,7.287960459249857,8.672144509488469,0.5143735760946853,
1,"(50, 10, 40, 1)",E_12,4.495847982043424,6.726600252102713,13.565474010454933,15.149591830876677,,
1,"(50, 10, 40, 1)",E_open,4.1501213561982215,5.365059347435194,8.93984108197626,10.859745419983021,3.1510603546135725,
1,"(50, 10, 40, 1)",G_12,4.643812908405302,5.716050241969255,8.639514824813574,11.985335964534476,,4.596103416044869
1,"(50, 10, 40, 1)",G_open,3.6323303676741894,4.946476339811694,8.4739568869128,9.9027066417522,,
2,"(100, 20, 80, 1)",A_12,4.6061548496502756,6.722228497199066,13.067272584106616,15.163823086670275,,
2,"(100, 20, 80, 1)",A_open,5.027417964512853,6.2877833152852,10.423172875908822,12.499391494562474,4.026301675827602,
2,"(100, 20, 80, 1)",B_12,5.348422902322195,7.158047744387253,13.405022434653809,15.694640768748778,,
2,"(100, 20, 80, 1)",B_open,5.701954374814195,7.360300018306597,14.62795756976752,14.632087431442171,3.559045818243746,
2,"(100, 20, 80, 1)",C_12,5.293491643623032,6.783473858543456,11.517257432531588,13.971641897995498,,6.0231348149315025
2,"(100, 20, 80, 1)",C_24,4.66817403637957,6.372215416490507,11.086406390734476,14.69106879504981,,13.465604540758362
2,"(100, 20, 80, 1)",C_chromatic,4.486465731291618,5.966624270651423,9.587769542273623,12.548860099809902,,7.381569707793199
2,"(100, 20, 80, 1)",C_open,4.3933907416963915,5.143888187751201,7.854844120295344,8.366832820072784,,
2,"(100, 20, 80, 1)",D_12,2.6770343975695505,4.298653130171997,7.5266021232126405,10.577719190462084,,4.095158890322624
2,"(100, 20, 80, 1)",D_open,3.3166566965183826,4.206574572507515,7.196555123162573,8.509649305739256,0.512708838696624,
2,"(100, 20, 80, 1)",E_12,4.403857372020937,6.667228791479428,13.498722325545137,15.06283774513747,,
2,"(100, 20, 80, 1)",E_open,4.141251795139484,5.351560747400273,8.931826274767978,10.74651604086585,3.1507861065441314,
2,"(100, 20, 80, 1)",G_12,4.772813571208621,5.807087317655274,8.564423304654689,11.97431288801538,,4.643145769219476
2,"(100, 20, 80, 1)",G_open,3.831263176226738,5.186810127348731,8.824622656685777,10.256048307080901,,
3,"(200, 40, 150, 1.2)",A_12,4.6579769370308535,6.763731919331178,13.233994519308975,15.29213064899367,,
3,"(200, 40, 150, 1.2)",A_open,5.029813510859334,6.3054767159135725,10.255254641904191,12.617714789744452,4.016997665452111,
3,"(200, 40, 150, 1.2)",B_12,5.31819425487732,7.167500690876045,13.50431415205955,15.84900273871281,,
3,"(200, 40, 150, 1.2)",B_open,5.723099118675508,7.40235020528473,14.949730275751484,14.966034599320507,3.5836589320860637,
