pair,event,phase,f0_cafe_hz,f0_azul_hz,amplitude_cafe,amplitude_azul,delta_db,snr_cafe,snr_azul
B_open,0,attack,30.926930365847593,30.872411834588327,0.016869391506807833,0.003297928650704446,-14.177163237418043,-1.9987525503506087,-0.8668637808865629
B_open,0,stabilization,30.926930365847593,30.872411834588327,0.015274460231530885,0.003015159369213318,-14.093111999083462,-4.97173876921931,-2.8511355282679203
B_open,0,body,30.926930365847593,30.872411834588327,0.014565010399449378,0.0028060675324514525,-14.3042536049917,0.432808412937569,0.5212815072059219
B_open,0,sustain,30.926930365847593,30.872411834588327,0.013048464745102451,0.0026168618692357015,-13.955572348935576,0.5716041266305569,0.7548252325707827
B_open,0,decay,30.926930365847593,30.872411834588327,0.012476932133196492,0.0022234674929651724,-14.98154056679136,-6.3649867667403,0.059527107975147105
B_open,1,attack,30.8921185005722,30.86270102888305,0.01862293125312545,0.0031369780901520836,-15.470731092679308,-0.23913967396033758,-1.6835098338200372
B_open,1,stabilization,30.8921185005722,30.86270102888305,0.017907941622094643,0.0027470412951840256,-16.283609638304355,0.013153784940478499,-5.729447428466708
B_open,1,body,30.8921185005722,30.86270102888305,0.016097155265803412,0.0026706787905161388,-15.602549512892246,0.5073956671156901,0.5676145611516404
B_open,1,sustain,30.8921185005722,30.86270102888305,0.014721560620165273,0.002483607484198529,-15.457417834725312,0.7692638837827231,0.7825714902965903
B_open,1,decay,30.8921185005722,30.86270102888305,0.014967411488532317,0.0025160779397996953,-15.488452171665308,0.23578194598465863,0.10758973864902882
B_open,2,attack,30.95403109927482,31.113168969741597,0.012266167399736867,0.0009354250530959439,-22.353997801451087,-3.2886669815800866,-4.57249420250666
B_open,2,stabilization,30.95403109927482,31.113168969741597,0.011767177381741323,0.0006210221926492938,-25.551303598369003,-6.44485602371687,-8.133039048688543
B_open,2,body,30.95403109927482,31.113168969741597,0.010696138809156598,0.0004896238929536374,-26.787288554730516,0.5782562634313662,0.18603721749588145
B_open,2,sustain,30.95403109927482,31.113168969741597,0.009458244628914822,0.0002948664269391251,-30.123704304527678,0.4708459267023943,0.7086022531858505
B_open,2,decay,30.95403109927482,31.113168969741597,0.009361136769567863,9.635647616373967e-05,-39.74895362760286,0.542475204479403,-2.617386825931371
B_open,3,attack,30.895686908849328,30.825400553505947,0.007893370273289317,0.002291417836018659,-10.74316373062873,-4.07294523723869,-3.678040031173098
B_open,3,stabilization,30.895686908849328,30.825400553505947,0.005776631332788862,0.0017399027676689393,-10.422993452200288,-7.903281080777331,-8.427500641300878
B_open,3,body,30.895686908849328,30.825400553505947,0.005976304307581364,0.0017103922232337625,-10.866739799818738,0.42574660793630403,0.8080345372811987
B_open,3,sustain,30.895686908849328,30.825400553505947,0.005625479780764146,0.0013962185514463934,-12.104123278546659,0.6493232708892176,0.8961853294823886
B_open,3,decay,30.895686908849328,30.825400553505947,0.005406437450121439,0.0010794858157261063,-13.993884852616674,0.2396741431074477,-0.6554665575689029
B_open,4,attack,30.90550942746915,30.85000699140412,0.023496713915914343,0.0029836703284851435,-17.925125875072332,-1.04411936566961,-2.4241660023117912
B_open,4,stabilization,30.90550942746915,30.85000699140412,0.0212610832496932,0.0024032391316090346,-18.935768021308448,-2.3956660389343725,-7.613464444696793
B_open,4,body,30.90550942746915,30.85000699140412,0.02013761086202215,0.0022845862606843286,-18.904007673333886,0.502598713875718,0.6167855867918435
B_open,4,sustain,30.90550942746915,30.85000699140412,0.01817877088588621,0.001960368021293189,-19.3445381334273,0.658458763100162,0.8216214150992764
B_open,4,decay,30.90550942746915,30.85000699140412,0.01716329498064281,0.0017971523801333124,-19.60031528491985,0.4349061032691113,0.056833441564837064
B_open,5,attack,30.895282336094695,30.845491554973723,0.02047091671783952,0.0034127234490143256,-15.560723898278532,-0.9738250051520363,-1.793966031400155
B_open,5,stabilization,30.895282336094695,30.845491554973723,0.018817656984521466,0.002805049970126244,-16.53249890898892,-2.1512228639667548,-6.168469753927526
B_open,5,body,30.895282336094695,30.845491554973723,0.016966088589549424,0.002636628685422804,-16.170655153156886,0.49459056993549255,0.6213596367725419
B_open,5,sustain,30.895282336094695,30.845491554973723,0.01513036087013522,0.002323399951959949,-16.274506206905407,0.6024010872636344,0.8064258711520254
B_open,5,decay,30.895282336094695,30.845491554973723,0.014061531435185149,0.00240213381427223,-15.34870850698038,0.44002003587337646,0.16315600460694826
B_open,6,attack,30.863092565782466,30.89565920241303,0.007444830465521626,0.002200798364697245,-10.585491154418435,-3.4257777872264534,-2.626316876735133
B_open,6,stabilization,30.863092565782466,30.89565920241303,0.006072277190867158,0.0021917188921647002,-8.85133474185519,-8.567523512518354,-2.9878624543075656
B_open,6,body,30.863092565782466,30.89565920241303,0.006633329209541525,0.0020406456518935272,-10.239279070847118,0.7209766484184608,0.49153841705094187
B_open,6,sustain,30.863092565782466,30.89565920241303,0.006232642260958538,0.0019237413501231118,-10.210510400666038,0.8304564859733974,0.6610858037244884
B_open,6,decay,30.863092565782466,30.89565920241303,0.005376985941734722,0.0019984177113945172,-8.597052618640582,-0.5140691090630279,0.6473949139420577
B_open,7,attack,30.923506934472076,30.935952134546596,0.022717267047167335,0.004525406403397358,-14.013969925241021,-2.065270160242774,-0.8217548411278348
B_open,7,stabilization,30.923506934472076,30.935952134546596,0.0200172292266166,0.004030584373628425,-13.920718913771985,-4.833635531075377,-3.444358406581385
B_open,7,body,30.923506934472076,30.935952134546596,0.018968545805668778,0.00372679496058878,-14.133970761758867,0.5076988910917783,0.49309918749956444
B_open,7,sustain,30.923506934472076,30.935952134546596,0.016980116439681673,0.0032883896889005907,-14.259147725936643,0.6556854394404799,0.7526081302840288
