pair,event_cafe,event_azul,time_cafe,time_azul,lag_ms,match_cost,f0_cafe,f0_azul,note_error_cents,confidence,status
B_open,0,6,2.594829931972789,6.089433106575964,3494.603174603175,1.209791487491098,30.926930365847593,30.872411834588327,-3.054542613091103,medium,accepted
B_open,1,7,3.1375963718820863,6.675736961451247,3538.140589569161,1.12809385770946,30.8921185005722,30.86270102888305,-1.6493783923576528,medium,accepted
B_open,2,8,3.706485260770975,7.273650793650794,3567.1655328798192,1.6912885252330219,30.95403109927482,31.113168969741597,8.877652069290608,medium,accepted
B_open,3,10,4.307301587301588,8.489795918367347,4182.49433106576,1.3007010260255283,30.895686908849328,30.825400553505947,-3.9429695476083197,medium,accepted
B_open,4,11,4.884897959183673,9.073197278911564,4188.299319727891,1.3408857613853389,30.90550942746915,30.85000699140412,-3.1118752968255627,medium,accepted
B_open,6,12,6.124263038548753,9.68562358276644,3561.3605442176868,1.6795940006924723,30.895282336094695,30.845491554973723,-2.792304302671923,medium,accepted
B_open,7,13,6.759909297052154,10.277732426303855,3517.8231292517007,1.4064102122364088,30.863092565782466,30.89565920241303,1.8258294997889517,medium,accepted
B_open,8,14,7.340408163265306,10.864036281179139,3523.6281179138327,1.3094095927611444,30.923506934472076,30.935952134546596,0.6965969224885626,medium,accepted
B_open,9,15,7.894784580498866,11.470657596371883,3575.8730158730164,1.0941544453811514,30.902549060374863,30.87906390951824,-1.3161940200118467,medium,accepted
B_open,10,16,8.513015873015872,12.051156462585034,3538.140589569162,1.532996569973463,30.90505818253352,30.829904540765053,-4.215070426014905,medium,accepted
B_open,11,17,9.137052154195011,12.64326530612245,3506.2131519274385,1.2129589296517296,30.875941610458153,30.847333358997997,-1.6048267880530105,medium,accepted
B_open,12,18,9.714648526077097,13.255691609977324,3541.0430839002274,1.505664932960541,30.929380089741795,30.849018992807125,-4.5039673338559405,medium,accepted
B_open,13,19,10.318367346938775,13.885532879818594,3567.1655328798197,1.3511522863015175,30.893363873603914,30.9401432050903,2.619485477654434,medium,accepted
B_open,15,20,11.493877551020407,14.474739229024943,2980.861678004535,1.4904600090045015,30.896525748741574,30.75347604731831,-8.034158996131644,medium,accepted
B_open,17,21,12.718730158730159,15.107482993197278,2388.7528344671196,1.5249277299985444,30.91830254020206,30.82394222268658,-5.29167419735609,medium,accepted
B_open,18,22,13.290521541950113,15.714104308390022,2423.5827664399085,1.5073853428885169,30.88760555126945,30.83839619118246,-2.7603582075300204,medium,accepted
B_open,19,23,13.900045351473922,16.303310657596374,2403.265306122451,1.491402590441485,30.881238885802148,30.810084814045695,-3.9935731312287266,medium,accepted
B_open,20,24,14.524081632653061,16.869297052154195,2345.215419501134,1.3704069036495115,30.905769235287167,30.86514660248042,-2.277035859429928,medium,accepted
B_open,22,25,15.714104308390022,17.4875283446712,1773.4240362811793,1.3902491989582435,30.922443882808906,30.79570208468517,-7.110389379047726,medium,accepted
B_open,23,26,16.320725623582767,18.08544217687075,1764.7165532879826,1.1605616948091886,30.908555615790995,30.874704275336924,-1.8971028452778216,medium,accepted
