model,mae,rmse,p90,p95
V10_1,,,17.60817437912065,20.452714206852665
V10_2_CENTRAL,,,17.79576970466452,20.587454314835572
V10_2_NO_HIGH,,,17.79576970466452,20.587454314835572
V10_2_NO_SUB,,,17.790397147249926,20.581377481594107
V10_2_PARAMETRIC,,,17.670845221791193,20.424493278238323
V10_2_ROBUST,,,17.79576970466452,20.587454314835572
V10_2_SAFE,,,18.01260720829986,20.71452462621044
V9,,,17.65154527493748,20.485688372346306
