frequency_hz,baseline_central_db,repro_central_db,delta_db,baseline_effective_pairs,baseline_support
20.0,0.0014390216696238,-0.0002363501652728,-0.0016753718348966,0,No identificado
20.033765982017503,0.0015187140320719,-0.0002177812845499,-0.0017364953166218,0,No identificado
20.067588971112087,0.0015984063945199,-0.000199212403827,-0.0017976187983469,0,No identificado
20.101469063528747,0.0016780987569679,-0.0001806435231041,-0.0018587422800720001,0,No identificado
20.13540635567497,0.0017577911194159,-0.0001620746423812,-0.0019198657617971,0,No identificado
20.16940094412101,0.0018374834818639,-0.0001435057616582,-0.0019809892435221,0,No identificado
20.20345292560016,0.0019171758443119,-0.0001249368809353,-0.0020421127252472,0,No identificado
20.237562397009015,0.0019968682067599,-0.0001063680002124,-0.0021032362069723,0,No identificado
20.271729455407797,0.0020765605692079,-8.779911948956968e-05,-0.0021643596886974695,0,No identificado
20.30595419802054,0.0021562529316559,-6.923023876665929e-05,-0.002225483170422559,0,No identificado
20.34023672223547,0.0022359452941039,-5.066135804375379e-05,-0.002286606652147654,0,No identificado
20.374577125605207,0.0023156376565519,-3.209247732084339e-05,-0.0023477301338727433,0,No identificado
20.408975505847074,0.0023953300189999,-1.352359659793296e-05,-0.002408853615597833,0,No identificado
20.443431960843377,0.0024750223814479,5.045284124972536e-06,-0.0024699770973229274,0,No identificado
20.47794658864167,0.0025547147438959,2.3614164847882857e-05,-0.0025311005790480175,0,No identificado
20.51251948745504,0.0026344071063439,4.218304557078841e-05,-0.0025922240607731115,0,No identificado
20.547150755662397,0.0027140994687919,6.075192629369881e-05,-0.0026533475424982012,0,No identificado
20.581840491808723,0.00279379183124,7.932080701660913e-05,-0.0027144710242233906,0,No identificado
20.6165887946054,0.002873484193688,9.788968773951952e-05,-0.0027755945059484803,0,No identificado
20.65139576293044,0.002953176556136,0.0001164585684624,-0.0028367179876736003,0,No identificado
20.686261495828813,0.003032868918584,0.0001350274491853,-0.0028978414693987,0,No identificado
20.72118609251269,0.003112561281032,0.0001535963299082,-0.0029589649511238,0,No identificado
20.75616965236174,0.00319225364348,0.0001721652106311,-0.0030200884328489,0,No identificado
20.791212274923435,0.003271946005928,0.000190734091354,-0.003081211914574,0,No identificado
20.82631405991329,0.003351638368376,0.0002093029720769,-0.0031423353962991,0,No identificado
20.861475107215185,0.003431330730824,0.0002278718527998,-0.0032034588780242,0,No identificado
20.896695516881625,0.003511023093272,0.0002464407335227,-0.0032645823597493,0,No identificado
20.931975389134035,0.00359071545572,0.0002650096142456,-0.0033257058414743997,0,No identificado
20.967314824363047,0.003670407818168,0.0002835784949686,-0.0033868293231994,0,No identificado
21.002713923128784,0.003750100180616,0.0003021473756915,-0.0034479528049245,0,No identificado
21.03817278616114,0.003829792543064,0.0003207162564144,-0.0035090762866495998,0,No identificado
21.07369151436007,0.003909484905512,0.0003392851371373,-0.0035701997683747,0,No identificado
21.109270208795884,0.00398917726796,0.0003578540178602,-0.0036313232500998,0,No identificado
21.144908970709523,0.0040688696304081,0.0003764228985831,-0.003692446731825,0,No identificado
21.180607901512857,0.004148561992856,0.000394991779306,-0.00375357021355,0,No identificado
21.21636710278897,0.0042282543553041,0.0004135606600289,-0.0038146936952752003,0,No identificado
21.252186676292443,0.0043079467177521,0.0004321295407518,-0.0038758171770003,0,No identificado
21.28806672394965,0.0043876390802001,0.0004506984214747,-0.0039369406587254,0,No identificado
21.32400734785907,0.0044673314426481,0.0004692673021976,-0.0039980641404505,0,No identificado
21.360008650291512,0.0045470238050961,0.0004878361829206,-0.0040591876221755,0,No identificado
21.396070733690483,0.0046267161675441,0.0005064050636435,-0.0041203111039006,0,No identificado
21.432193700672432,0.0047064085299921,0.0005249739443664,-0.0041814345856257,0,No identificado
21.46837765402706,0.0047861008924401,0.0005435428250893,-0.0042425580673508,0,No identificado
21.5046226967176,0.0048657932548881,0.0005621117058122,-0.0043036815490759,0,No identificado
21.540928931881123,0.0049454856173361,0.0005806805865351,-0.004364805030801,0,No identificado
21.577296462828844,0.0050251779797841,0.000599249467258,-0.0044259285125261,0,No identificado
21.61372539304635,0.0051048703422321,0.0006178183479809,-0.0044870519942512,0,No identificado
21.650215826193996,0.0051845627046802,0.0006363872287038,-0.0045481754759764,0,No identificado
21.686767866107107,0.0052642550671282,0.0006549561094267,-0.0046092989577015,0,No identificado
21.723381616796345,0.0053439474295762,0.0006735249901496,-0.0046704224394266,0,No identificado
21.760057182447948,0.0054236397920242,0.0006920938708726,-0.0047315459211516,0,No identificado
21.796794667424063,0.0055033321544722,0.0007106627515955,-0.0047926694028767,0,No identificado
21.833594176263038,0.0055830245169202,0.0007292316323184,-0.0048537928846018,0,No identificado
21.87045581367969,0.0056627168793682,0.0007478005130413,-0.0049149163663268994,0,No identificado
21.90737968456565,0.0057424092418162,0.0007663693937642,-0.004976039848052,0,No identificado
21.944365893989637,0.0058221016042642,0.0007849382744871,-0.0050371633297771,0,No identificado
21.98141454719773,0.0059017939667122,0.00080350715521,-0.005098286811502199,0,No identificado
22.01852574961373,0.0059680529440588,0.0008218974607225,-0.005146155483336299,0,No identificado
22.055699606839397,0.0060208238728188,0.0008401084643617,-0.0051807154084570995,0,No identificado
22.092936224654792,0.0060735948015787,0.0008583194680009,-0.0052152753335778,0,No identificado
22.130235709018567,0.0061263657303386,0.0008765304716401,-0.0052498352586985006,0,No identificado
22.167598166068256,0.0061791366590986,0.0008947414752793,-0.005284395183819301,0,No identificado
22.20502370212059,0.0062319075878585,0.0009129524789185,-0.00531895510894,0,No identificado
22.24251242367179,0.0062846785166185,0.0009311634825577,-0.0053535150340608,0,No identificado
22.28006443739788,0.0063374494453784,0.0009493744861969,-0.0053880749591815,0,No identificado
22.31767985015497,0.0063902203741383,0.0009675854898361,-0.0054226348843022,0,No identificado
22.35535876897961,0.0064429913028983,0.0009857964934753,-0.005457194809422999,0,No identificado
22.39310130108902,0.0064957622316582,0.0010040074971144,-0.0054917547345438005,0,No identificado
22.43090755388145,0.0065485331604181,0.0010222185007536,-0.0055263146596645,0,No identificado
22.46877763493648,0.0066013040891781,0.0010404295043928,-0.0055608745847853,0,No identificado
22.506711652015305,0.006654075017938,0.001058640508032,-0.005595434509906,0,No identificado
22.544709713061057,0.0067068459466979,0.0010768515116712,-0.0056299944350267,0,No identificado
22.582771926199108,0.0067596168754579,0.0010950625153104,-0.0056645543601475,0,No identificado
22.620898399737374,0.0068123878042178,0.0011132735189496,-0.0056991142852682,0,No identificado
22.65908924216664,0.0068651587329778,0.0011314845225888,-0.005733674210389,0,No identificado
22.69734456216084,0.0069179296617377,0.001149695526228,-0.0057682341355096995,0,No identificado
22.735664468577387,0.0069707005904976,0.0011679065298672,-0.0058027940606304,0,No identificado
22.774049070457483,0.0070234715192576,0.0011861175335064,-0.0058373539857512,0,No identificado
22.81249847702642,0.0070762424480175,0.0012043285371455,-0.005871913910872,0,No identificado
22.851012797693897,0.0071290133767774,0.0012225395407847,-0.0059064738359927,0,No identificado
22.88959214205433,0.0071817843055374,0.0012407505444239,-0.0059410337611135,0,No identificado
22.928236619887155,0.0072345552342973,0.0012589615480631,-0.005975593686234199,0,No identificado
22.96694634115716,0.0072873261630573,0.0012771725517023,-0.0060101536113549995,0,No identificado
23.005721416014783,0.0073400970918172,0.0012953835553415,-0.0060447135364757,0,No identificado
23.044561954796425,0.0073928680205771,0.0013135945589807,-0.0060792734615964005,0,No identificado
23.083468068024768,0.0074456389493371,0.0013318055626199,-0.006113833386717201,0,No identificado
23.12243986640909,0.007498409878097,0.0013500165662591,-0.0061483933118378995,0,No identificado
23.16147746084559,0.0075511808068569,0.0013682275698983,-0.0061829532369586,0,No identificado
23.20058096241767,0.0076039517356169,0.0013864385735375,-0.0062175131620794,0,No identificado
23.239750482396303,0.0076567226643768,0.0014046495771766,-0.0062520730872002,0,No identificado
23.27898613224029,0.0077094935931368,0.0014228605808158,-0.006286633012321,0,No identificado
23.31828802359664,0.0077622645218967,0.001441071584455,-0.0063211929374417004,0,No identificado
23.357656268300826,0.0078150354506566,0.0014592825880942,-0.0063557528625624,0,No identificado
23.397090978377143,0.0078678063794166,0.0014774935917334,-0.0063903127876832,0,No identificado
23.43659226603903,0.0079205773081765,0.0014957045953726,-0.0064248727128039,0,No identificado
23.47616024368936,0.0079733482369364,0.0015139155990118,-0.0064594326379246,0,No identificado
23.515795023920777,0.0080261191656964,0.001532126602651,-0.006493992563045399,0,No identificado
23.555496719516025,0.0080788900944563,0.0015503376062902,-0.0065285524881661,0,No identificado
23.59526544344825,0.0081316610232163,0.0015685486099294,-0.006563112413286901,0,No identificado
23.63510130888133,0.0081844319519762,0.0015867596135686,-0.006597672338407599,0,No identificado
23.675004429170208,0.0082372028807361,0.0016049706172077,-0.0066322322635284,0,No identificado
23.71497491786119,0.0082899738094961,0.0016231816208469,-0.0066667921886492,0,No identificado
23.75501288869229,0.008342744738256,0.0016413926244861,-0.0067013521137699004,0,No identificado
23.795118455593546,0.0083955156670159,0.0016596036281253,-0.0067359120388906,0,No identificado
23.835291732687335,0.0084482865957759,0.0016778146317645,-0.0067704719640114,0,No identificado
23.87553283428873,0.0085010575245358,0.0016960256354037,-0.006805031889132099,0,No identificado
23.915841874905773,0.0085538284532957,0.0017142366390429,-0.0068395918142528005,0,No identificado
23.95621896923985,0.0086065993820557,0.0017324476426821,-0.006874151739373601,0,No identificado
23.99666423218598,0.0086593703108156,0.0017506586463213,-0.0069087116644943,0,No identificado
