frequency_hz,bass_pink_db,bass_sweep_aligned_db,bass_recommended_analog_db,bass_uncertainty_db,hybrid_pink_db,hybrid_sweep_aligned_db,hybrid_recommended_analog_db,hybrid_uncertainty_db,guitar_pink_db,guitar_sweep_aligned_db,guitar_recommended_analog_db,guitar_uncertainty_db
20.0,15.046992290715913,15.021305806307454,15.044786654034972,0.0886024343191842,2.6905628040179863,2.568366834614572,2.5922001677027033,0.08932740463255757,-2.823712453089584,-2.9640908084817394,-2.9403168907233863,0.10368037818594106
20.036134018073074,14.983457568927768,15.0235171402156,15.046337099635446,0.08857102150193724,2.6603086409729713,2.5704693711506934,2.593632878914109,0.08953197706601233,-2.8552895072827766,-2.9622725628848867,-2.9389417771055806,0.10397146542399725
20.072333319509255,14.97672227572879,15.025967837135013,15.047988839785297,0.08856490641832383,2.6576409250513393,2.5728008789472954,2.595160854447508,0.08980985362177671,-2.860337969390258,-2.9602478580352147,-2.9374688597512533,0.10429999150283716
20.108598022256054,15.010087711174272,15.028649085333049,15.049742498897515,0.08846864888216804,2.6553994886194516,2.5753533672111466,2.596784850736765,0.08997893501934882,-2.866106886385097,-2.958020866581352,-2.9358964743659417,0.1046902836281702
20.14492824447408,15.044607441923823,15.031547343453225,15.051598158245895,0.08856702679436207,2.653585200371552,2.5781143577524537,2.5985051151977685,0.0902722059207566,-2.8726742518331605,-2.9555993882701377,-2.9342234183762677,0.10511540356997147
20.181324104537413,15.080146462958986,15.034645119066473,15.053555349630235,0.08867256082228374,2.6521886969701285,2.5810676083857977,2.600321378112612,0.09051764920908101,-2.880123376600494,-2.952994296414493,-2.9324489680084778,0.10528538496887112
20.21778572103401,15.116551407871533,15.037921941852195,15.05561305697611,0.0887779263047686,2.65118165431511,2.5841940225165185,2.6022328522432847,0.09077741154100173,-2.8885357191642527,-2.9502188351892773,-2.9305728885187348,0.1053663264479499
20.254313212766082,15.153652505067804,15.041355436762263,15.057769725839162,0.08885459528728394,2.650519275241635,2.5874726524475005,2.604238240260734,0.0910665170535215,-2.897992180607602,-2.947287842060969,-2.9285954372859058,0.10538702748290851
20.29090669875047,15.163500433968949,15.044922399552378,15.060023280600658,0.08887200106694682,2.650139719937428,2.5908817089082974,2.6063357499053663,0.0913354791246029,-2.9085715803406913,-2.944216965200551,-2.9265173596417116,0.1055481846521785
20.32756629821906,15.125813358556996,15.048599788596123,15.062371148971074,0.08887635730367077,2.6490814045978226,2.5943994924207976,2.608523116614215,0.09149466978190987,-2.920348457186279,-2.9410219433745524,-2.924339877472984,0.10581253386299717
20.364292130619134,15.088081201110093,15.052365564804033,15.064810293251943,0.08887545952111314,2.619315492332319,2.598005185223622,2.6107976331850637,0.09161366922465689,-2.961435114980887,-2.9377179974440906,-2.9220646707933144,0.10598017696959186
