setup,run,frequency_hz,transfer_db,median_snr_db
Bajo,1,20.0,15.34826133020163,33.47374584363854
Bajo,1,20.072333319509255,15.352697056394694,33.49688114236398
Bajo,1,20.14492824447408,15.358023699693634,33.52060669753111
Bajo,1,20.21778572103401,15.364132430333896,33.54554543587612
Bajo,1,20.29090669875047,15.37087067540089,33.55759948877048
Bajo,1,20.364292130619134,15.378073058515575,33.56007172721726
Bajo,1,20.437942973082333,15.385587856521399,33.56668747034321
Bajo,1,20.51186018604153,15.39329260926587,33.569724102756005
Bajo,1,20.58604473286984,15.40109798058156,33.56252345709027
Bajo,1,20.66049758042457,15.408943147704269,33.558395354861794
Bajo,1,20.735219699059822,15.416787398419423,33.554249471582864
Bajo,1,20.81021206263916,15.424601731061653,33.54187341286415
Bajo,1,20.885475648548276,15.432362554105115,33.52799090544629
Bajo,1,20.96101143770774,15.440048070891846,33.51925367549185
Bajo,1,21.03682041458579,15.447636966638147,33.50399338602456
Bajo,1,21.11290356721114,15.455108688705678,33.481632775754804
Bajo,1,21.189261887185907,15.462444564643974,33.463345506489304
Bajo,1,21.265896369698464,15.469629379857352,33.44325896528288
Bajo,1,21.342808013536473,15.476652492203343,33.41879654302029
Bajo,1,21.41999782109987,15.483508670506499,33.40031498636719
Bajo,1,21.497466798413928,15.49019843752153,33.385389595316894
Bajo,1,21.575215955142397,15.496727923701874,33.36679161568553
Bajo,1,21.653246304600625,15.503108328276458,33.353180219946765
Bajo,1,21.73155886376879,15.509355076944152,33.34645928404535
Bajo,1,21.810154653305155,15.51548671518182,33.33704443344218
Bajo,1,21.889034697559346,15.521523604729435,33.327952324996886
Bajo,1,21.968200024585734,15.5274865015995,33.32737741497586
Bajo,1,22.047651666156817,15.533395106929822,33.3242541959377
Bajo,1,22.127390657776665,15.539266692851665,33.32778932445018
Bajo,1,22.207418038694424,15.545114867185426,33.34457210611324
Bajo,1,22.287734851917847,15.550948543279336,33.367251924308874
Bajo,1,22.368342144226922,15.556771211103932,33.39602598997196
Bajo,1,22.44924096618746,15.562580565343143,33.44214170962243
Bajo,1,22.53043237216484,15.568368576247677,33.4952296515467
Bajo,1,22.611917420337715,15.574122121675122,33.55318509463443
Bajo,1,22.693697172711826,15.57982413621216,33.62329212891651
Bajo,1,22.77577269513383,15.585455214347776,33.690726971385104
Bajo,1,22.8581450573052,15.590995627701275,33.752362669703004
Bajo,1,22.940815332796156,15.59642757063492,33.819448756370576
Bajo,1,23.023784599059653,15.601737468509114,33.877351743676925
Bajo,1,23.107053937445457,15.606918216747761,33.92286933307601
Bajo,1,23.190624433214207,15.611971033765666,33.96742893101438
Bajo,1,23.27449717555155,15.61690661496084,34.00116789213527
Bajo,1,23.358673257582375,15.621745414264954,34.02054265041424
Bajo,1,23.44315377638503,15.626516874139474,34.038699318487566
Bajo,1,23.527939833005625,15.631257666280227,34.04538447250457
Bajo,1,23.613032532472396,15.636009248779105,34.03596647820087
Bajo,1,23.698432983810086,15.64081497940552,34.025813888995074
Bajo,1,23.78414230005442,15.645717049462005,34.00476763568147
Bajo,1,23.870161598266595,15.65075341196925,33.96536474654201
Bajo,1,23.95649199954785,15.655954754075047,33.920472939270894
Bajo,1,24.043134629054062,15.661341656652434,33.863319599017274
Bajo,1,24.130090616010435,15.666922236443778,33.792421040052865
Bajo,1,24.2173610937262,15.672690621268929,33.725579733286665
Bajo,1,24.30494719960938,15.678626599412365,33.65676580813256
Bajo,1,24.392850075181627,15.684696542296617,33.5888009851909
Bajo,1,24.481070866093106,15.690855420120862,33.53485317027741
Bajo,1,24.5696107221374,15.697049490662263,33.486016132565986
Bajo,1,24.65847079726652,15.703219138095724,33.444168210412684
Bajo,1,24.74765224960594,15.709301540724255,33.418357700110896
Bajo,1,24.83715624146968,15.715233008451087,33.39512686824636
Bajo,1,24.92698393937546,15.720951102027756,33.37567122275518
Bajo,1,25.01713651405991,15.726396888324373,33.361224183266565
Bajo,1,25.10761514049382,15.731517509005094,33.341653089294304
Bajo,1,25.198420997897465,15.736269143357484,33.31533583878462
Bajo,1,25.28955526975595,15.740620101395725,33.27757149292112
Bajo,1,25.381019143834664,15.744553311498779,33.22258949191381
Bajo,1,25.472813812194744,15.748067597160926,33.15780610668706
Bajo,1,25.56494047120861,15.751177322436256,33.082155708745944
Bajo,1,25.657400321575565,15.753910511023161,33.00200042899601
Bajo,1,25.750194568337438,15.756306308036185,32.92496896073809
Bajo,1,25.843324420894294,15.75841268896017,32.8537524065036
Bajo,1,25.936791093020194,15.76028512590533,32.79221741249759
Bajo,1,26.03059580287901,15.761986316128512,32.74196183582008
Bajo,1,26.12473977304031,15.763586184628613,32.70952750641548
Bajo,1,26.21922423049529,15.765161175005735,32.702166006179525
Bajo,1,26.314050406672752,15.766791953716622,32.71272431033381
Bajo,1,26.409219537455183,15.768559185214706,32.727708863412445
Bajo,1,26.504732863194825,15.770537821987539,32.74230972342339
Bajo,1,26.600591628729873,15.772790659575659,32.75036754061727
Bajo,1,26.69679708340069,15.775362117941302,32.75519487266172
Bajo,1,26.793350481066057,15.778273098993381,32.75420083369269
Bajo,1,26.890253080119585,15.781517678112255,32.74816895836325
Bajo,1,26.987506143506042,15.785062293047401,32.742797905229196
Bajo,1,27.085110938737852,15.788847870838271,32.73600664595792
Bajo,1,27.183068737911626,15.79279499820997,32.72897156117571
Bajo,1,27.281380817724703,15.796811579388303,32.72037243036851
Bajo,1,27.38004845949181,15.800801955700111,32.71064367847176
Bajo,1,27.479072949161782,15.80467604426363,32.71317905041464
Bajo,1,27.57845557733428,15.808357068449585,32.72480850633183
Bajo,1,27.67819763927664,15.811787076886034,32.744642021498805
Bajo,1,27.778300434940746,15.814929915495602,32.77330964166937
Bajo,1,27.87876526897999,15.81777214933853,32.80543851227877
Bajo,1,27.979593450766224,15.820322545993172,32.846739654284974
Bajo,1,28.080786294406895,15.822610446072543,32.88065550745853
Bajo,1,28.18234511876212,15.824683042182512,32.90255332099369
Bajo,1,28.284271247461902,15.826600923507877,32.91355002361075
Bajo,1,28.38656600892336,15.828431581602382,32.92007947606305
Bajo,1,28.489230736368064,15.830241008927938,32.93732569459959
Bajo,1,28.5922667678394,15.832084377921667,32.95591973964197
Bajo,1,28.695675446220005,15.83399760631218,32.9939788843205
Bajo,1,28.799458119249273,15.835991587921246,33.05310970993203
Bajo,1,28.903616139540933,15.8380506086697,33.12209633908995
Bajo,1,29.00815086460065,15.840135456139164,33.20105284708869
Bajo,1,29.113063656843746,15.84219074243445,33.262771713479374
Bajo,1,29.21835588361294,15.844155070862815,33.30712576596298
Bajo,1,29.32402891719617,15.845972132348283,33.327803983722305
Bajo,1,29.430084134844485,15.847600675435102,33.32547071216541
Bajo,1,29.536522918789988,15.849021724907645,33.30970170196935
Bajo,1,29.643346656263855,15.8502420799718,33.27867331740845
Bajo,1,29.750556739514415,15.851293971252302,33.24238787544698
Bajo,1,29.858154565825295,15.852231534333441,33.197620494691535
Bajo,1,29.96614153753363,15.853124922210514,33.15633065335732
Bajo,1,30.07451906204833,15.854053145079789,33.1212157309099
Bajo,1,30.183288551868458,15.855096222407397,33.10813433018384
Bajo,1,30.29245142460158,15.856327274070821,33.14162828015769
Bajo,1,30.402009102982298,15.857804916623596,33.20732180751854
Bajo,1,30.511963014890764,15.859566476176322,33.30352966926243
Bajo,1,30.622314593371303,15.861622777208355,33.4041697858343
Bajo,1,30.73306527665107,15.86395519073259,33.497752666860606
Bajo,1,30.844216508158816,15.866515875640484,33.560257029563004
Bajo,1,30.955769736543687,15.869231607835193,33.565510181660244
Bajo,1,31.067726415694107,15.87201133561656,33.515896510964986
Bajo,1,31.18008800475674,15.874756673678839,33.40114814739317
Bajo,1,31.292855968155486,15.877373915670663,33.236759458582114
Bajo,1,31.406031775610572,15.879785535733088,33.03740480417015
Bajo,1,31.51961690215773,15.881939155325522,32.84098005146797
Bajo,1,31.63361282816739,15.883812455472414,32.6652370059151
Bajo,1,31.748021039363987,15.885413537334815,32.511497517140924
Bajo,1,31.862843026845336,15.886777186023057,32.391927694145565
Bajo,1,31.978080287102046,15.887958343211732,32.31782097409384
Bajo,1,32.09373432203703,15.88902409396046,32.295951932201575
Bajo,1,32.209806638985086,15.890045408054176,32.303903039272356
Bajo,1,32.32629875073255,15.89108923959853,32.324796363852435
Bajo,1,32.443212175536964,15.892211522893215,32.35091263385797
Bajo,1,32.560548437146956,15.893451581835498,32.370406477819564
Bajo,1,32.678309064821995,15.89482880122597,32.37505389795457
Bajo,1,32.7964955933524,15.896342572892054,32.36256648637348
Bajo,1,32.9151095630793,15.897976091403986,32.33433235331938
Bajo,1,33.03415251991472,15.89970388272367,32.297029672350234
Bajo,1,33.153626015361745,15.901501474120339,32.257523601511025
Bajo,1,33.273531606534725,15.903354762407806,32.24163713017397
Bajo,1,33.393870856179575,15.905265833274926,32.24014194771988
Bajo,1,33.514645332694116,15.90725288646744,32.246731323923925
Bajo,1,33.63585661014858,15.909343420246628,32.25647616673667
Bajo,1,33.75750626830606,15.911562487001962,32.294221329310616
Bajo,1,33.87959589264312,15.913919704093866,32.39249257556297
Bajo,1,34.00212707437047,15.91639960148898,32.48350870959705
Bajo,1,34.12510141045371,15.918958776626724,32.54220248983205
Bajo,1,34.24852050363412,15.921530945577224,32.55927602483021
Bajo,1,34.372385962449556,15.924038304746059,32.54076598821335
Bajo,1,34.49669940125543,15.92640559702308,32.52825952841663
Bajo,1,34.62146244024572,15.928573045052696,32.528728341429535
Bajo,1,34.74667670547412,15.930505090520606,32.56192031875445
Bajo,1,34.87234382887522,15.932193759808264,32.62875181305013
Bajo,1,34.99846544828576,15.933656784776908,32.72769003530722
Bajo,1,35.12504320746599,15.93493182966331,32.84299641971043
Bajo,1,35.2520787561211,15.936068280193151,32.993251352786714
Bajo,1,35.3795737499227,15.937118395290874,33.1547888150979
Bajo,1,35.507529850530425,15.938129251035638,33.33362943915088
Bajo,1,35.635948725613574,15.939137043642386,33.501683356856546
Bajo,1,35.76483204887283,15.940164747939862,33.68419421938161
Bajo,1,35.894181500062146,15.941223785244393,33.837823388923795
Bajo,1,36.02399876501051,15.942319156970385,33.97765866120842
Bajo,1,36.154285535644036,15.943456539172463,34.09194836207075
Bajo,1,36.285043510007974,15.944648705174533,34.188639242287636
Bajo,1,36.41627439228881,15.945918590941142,34.2487888638705
Bajo,1,36.54797989283652,15.947297132731368,34.389277926148985
Bajo,1,36.680161728186846,15.948815960754182,34.618815679251426
Bajo,1,36.812821621083664,15.950497352403884,34.83235179067917
Bajo,1,36.945961300501416,15.952345328890585,34.97401031090887
Bajo,1,37.07958250166771,15.954342027006497,35.095425132595366
Bajo,1,37.21368696608587,15.95645150749984,35.189176177909204
Bajo,1,37.34827644155763,15.958630497037763,35.303020847518894
