setup,run,frequency_hz,normalized_transfer_db,snr_db
bass,1,20.0,15.36014792588785,33.209060546443744
bass,1,20.036134018073074,15.362249415137722,33.2181164752495
bass,1,20.072333319509255,15.364581087719813,33.22360199942799
bass,1,20.108598022256054,15.367135539333432,33.22929789139218
bass,1,20.14492824447408,15.369900990282344,33.23665332288331
bass,1,20.181324104537413,15.372862004586281,33.242626767940166
bass,1,20.21778572103401,15.376000389328999,33.24769612844409
bass,1,20.254313212766082,15.379296184386428,33.24882363466789
bass,1,20.29090669875047,15.382728651308929,33.244522112927335
bass,1,20.32756629821906,15.386277183512346,33.23807679381837
bass,1,20.364292130619134,15.389922072532324,33.2308504248273
bass,1,20.401084315613794,15.393645095893158,33.22645556757359
bass,1,20.437942973082333,15.397429906462303,33.22261992074175
bass,1,20.474868223120627,15.401262233289376,33.21933801294624
bass,1,20.51186018604153,15.405129910490965,33.213112372918935
bass,1,20.548918982375277,15.409022771892406,33.20531390734375
bass,1,20.58604473286984,15.412932446626707,33.19589825582972
bass,1,20.623237558491375,15.416852100168226,33.188287007383295
bass,1,20.66049758042457,15.420776151277337,33.18432160629502
bass,1,20.69782492007306,15.424699996041902,33.18130647171632
bass,1,20.735219699059822,15.42861975385991,33.17768392309472
bass,1,20.772682039227576,15.432532049158276,33.17426243311064
bass,1,20.81021206263916,15.43643383332062,33.16849841819328
bass,1,20.84780989157796,15.440322249256138,33.163001745893325
bass,1,20.885475648548276,15.444194539950784,33.161167445138275
bass,1,20.92320945627575,15.44804799397799,33.16077539162113
bass,1,20.96101143770774,15.451879923798035,33.16275504406093
bass,1,20.998881716013745,15.455687668049485,33.16371434155403
bass,1,21.03682041458579,15.459468610434572,33.16267242461309
bass,1,21.07482765703882,15.463220165565012,33.157716940028756
bass,1,21.11290356721114,15.466939934488106,33.1535394037701
bass,1,21.151048269164782,15.47062567736233,33.150767698157736
bass,1,21.189261887185907,15.474275363592952,33.14798320156505
bass,1,21.227544545785243,15.477887216800246,33.14622001761177
bass,1,21.265896369698464,15.481459751409746,33.141773426562025
bass,1,21.304317483886607,15.484991799248288,33.13491872380384
bass,1,21.342808013536473,15.488482531939495,33.12834261256529
bass,1,21.38136808406104,15.491931477180731,33.12200504205825
bass,1,21.41999782109987,15.495338525501248,33.11758817881193
bass,1,21.45869735051951,15.498703929982005,33.11239291902549
bass,1,21.497466798413928,15.50202829598603,33.106834993134015
bass,1,21.536306291104893,15.505312563348228,33.09880648267374
bass,1,21.575215955142397,15.508557986013315,33.09061834321526
bass,1,21.614195917305075,15.511766108315996,33.08291408135793
bass,1,21.653246304600625,15.514938740622663,33.07855724859253
bass,1,21.692367244266183,15.518077928514499,33.07533574612948
bass,1,21.73155886376879,15.521185916764642,33.07347924517082
bass,1,21.77082129080577,15.524265106047027,33.070050769891296
bass,1,21.810154653305155,15.52731800996645,33.066320313116286
bass,1,21.849559079426108,15.530347210544981,33.06141488567527
bass,1,21.889034697559346,15.533355317403258,33.05993681949324
bass,1,21.928581636327536,15.536344924279833,33.06169951008611
bass,1,21.968200024585734,15.539318563913016,33.06357953851038
bass,1,22.007889991421802,15.542278660856242,33.06514479034135
bass,1,22.047651666156817,15.545227484468016,33.065419241318246
bass,1,22.087485178345506,15.548167108583803,33.06828097106279
bass,1,22.127390657776665,15.551099375550494,33.073437387994574
bass,1,22.167368234473575,15.554025864374859,33.08205563119618
bass,1,22.207418038694424,15.556947861102808,33.091958287133025
bass,1,22.24754020093275,15.55986633083765,33.10415556221029
bass,1,22.287734851917847,15.56278189326504,33.11565583699036
bass,1,22.32800212261521,15.565694804914427,33.127578488856386
bass,1,22.368342144226922,15.568604952881238,33.1435553929117
bass,1,22.408755048192134,15.571511857480516,33.163513668282334
bass,1,22.44924096618746,15.574414679111353,33.185241674270934
bass,1,22.489800030127412,15.57731223277554,33.209661936731834
bass,1,22.53043237216484,15.5802030073994,33.23342006390337
bass,1,22.57113812469134,15.583085200994882,33.2572078745899
bass,1,22.611917420337715,15.585956759002853,33.284486067228066
bass,1,22.652770391974386,15.588815426501034,33.31453860031726
bass,1,22.693697172711826,15.591658804660913,33.34753321459719
bass,1,22.734697895901014,15.5944844093053,33.379058459606945
bass,1,22.77577269513383,15.597289735889486,33.408641953304546
bass,1,22.816921704243548,15.60007232689673,33.43513163307933
bass,1,22.8581450573052,15.602829845476212,33.46304290502883
bass,1,22.899442888636084,15.605560149106404,33.49262769853351
bass,1,22.940815332796156,15.608261363294734,33.52435463539465
bass,1,22.98226252458847,15.610931952882932,33.55391982562117
bass,1,23.023784599059653,15.613570789283619,33.580660799316256
bass,1,23.065381691500306,15.616177212750733,33.60506222847303
bass,1,23.107053937445457,15.618751087725755,33.62904613443997
bass,1,23.14880147267502,15.62129284667145,33.655204051421656
bass,1,23.190624433214207,15.623803522146622,33.68069974636866
bass,1,23.23252295533399,15.62628476225802,33.70393092406662
bass,1,23.27449717555155,15.628738832647942,33.72408385903513
bass,1,23.316547230630707,15.631168600663864,33.73889399708304
bass,1,23.358673257582375,15.63357750309438,33.75305557250496
bass,1,23.400875393665004,15.635969497268905,33.76782961911216
bass,1,23.44315377638503,15.638348996758362,33.78331778096588
bass,1,23.485508543497318,15.64072079599136,33.79355303901913
bass,1,23.527939833005625,15.643089990266912,33.79868333435479
bass,1,23.570447783163033,15.645461888028164,33.797770955712124
bass,1,23.613032532472396,15.647841916279258,33.793520836371435
bass,1,23.655694219686822,15.650235524853985,33.78869921828486
bass,1,23.698432983810086,15.652648084724984,33.782678148157274
bass,1,23.741248964097114,15.655084794883356,33.77391077940846
bass,1,23.78414230005442,15.657550590617761,33.759924278219174
bass,1,23.827113131440562,15.660050050410968,33.742226348590435
bass,1,23.870161598266595,15.66258730031893,33.7216350262732
bass,1,23.913287840796546,15.665165918783227,33.70242253557514
bass,1,23.95649199954785,15.667788850439413,33.68231407376217
bass,1,23.999774215291808,15.670458323787193,33.6606262420378
bass,1,24.043134629054062,15.673175785995905,33.63373000931854
bass,1,24.086573382115045,15.675941848195015,33.60036894995501
bass,1,24.130090616010435,15.6787562385823,33.56534790689871
bass,1,24.17368647253163,15.681617776498845,33.5297358170171
bass,1,24.2173610937262,15.684524371657787,33.49514036298161
bass,1,24.261114621898344,15.687473043895222,33.45891750670704
bass,1,24.30494719960938,15.690459970079761,33.420682533626554
bass,1,24.34885896967817,15.693480541138568,33.382299603634856
bass,1,24.392850075181627,15.6965294312326,33.3455559622917
bass,1,24.436920659455154,15.699600676690867,33.313326589548645
bass,1,24.481070866093106,15.702687766029937,33.28301505531474
bass,1,24.525300838949285,15.705783735908437,33.253859613753164
bass,1,24.5696107221374,15.708881264632472,33.225254794436864
bass,1,24.614000660031508,15.711972756515392,33.195957105546235
bass,1,24.65847079726652,15.715050417655624,33.17289340453542
bass,1,24.703021278738664,15.71810632650926,33.15368407398324
bass,1,24.74765224960594,15.721132505004542,33.13765404952708
bass,1,24.792363855288613,15.724120989282513,33.1222495641764
bass,1,24.83715624146968,15.727063893855236,33.10539019065486
bass,1,24.882029554095336,15.729953477280317,33.08797326800584
bass,1,24.92698393937546,15.732782203425012,33.07071616818426
bass,1,24.972019543784096,15.735542823369176,33.053035586891376
bass,1,25.01713651405991,15.738228461017345,33.03429606539596
bass,1,25.06233499720669,15.740832707186023,33.014954158279195
bass,1,25.10761514049382,15.74334971900092,32.99577964178713
bass,1,25.152977091456744,15.745774312197135,32.977030649405165
bass,1,25.198420997897465,15.748102062247874,32.9609404545938
bass,1,25.243947007885016,15.750329391075844,32.94506865168043
bass,1,25.28955526975595,15.752453649292645,32.927148822453276
bass,1,25.33524593211482,15.754473168380027,32.907005106648455
bass,1,25.381019143834664,15.756387288033809,32.88550279392895
bass,1,25.426875054057486,15.758196359110684,32.8622746344319
bass,1,25.472813812194744,15.75990171738437,32.83930792794883
bass,1,25.51883556792784,15.761505635474176,32.81461381351923
bass,1,25.56494047120861,15.76301125351398,32.791312410656005
bass,1,25.6111286722598,15.76442249327516,32.767325802031515
bass,1,25.657400321575565,15.765743973024698,32.745495917688444
bass,1,25.703755569921963,15.766980926529309,32.72349776218389
bass,1,25.750194568337438,15.768139135158334,32.70272914860425
bass,1,25.796717468133316,15.769224874705804,32.68043294626798
bass,1,25.843324420894294,15.770244880108667,32.65808230767787
bass,1,25.89001557847894,15.771206330108694,32.63319856365352
bass,1,25.936791093020194,15.772116849894438,32.6083229396868
bass,1,25.983651116925834,15.77298451514033,32.58094321578128
bass,1,26.03059580287901,15.773817855283301,32.552736031094895
bass,1,26.077625303838715,15.774625840539303,32.52610036220929
bass,1,26.12473977304031,15.775417852654382,32.50048920566038
bass,1,26.171939363995982,15.776203635471203,32.4790968870457
bass,1,26.21922423049529,15.77699320904552,32.46128548978647
bass,1,26.266594526605623,15.777796753765609,32.446549305458134
bass,1,26.314050406672752,15.77862445843175,32.43505899759612
bass,1,26.36159202532128,15.77948635154996,32.42440525870571
bass,1,26.409219537455183,15.780392113013509,32.41573623107498
bass,1,26.456933098258297,15.781350875891695,32.41113484174251
bass,1,26.504732863194825,15.7823710226103,32.40956200453513
bass,1,26.552618988009865,15.78345997288059,32.40748158356228
bass,1,26.600591628729873,15.784623987896707,32.40638510125896
bass,1,26.64865094166323,15.785868000681697,32.407165480868336
bass,1,26.69679708340069,15.787195464076092,32.412711368076856
bass,1,26.74503021081593,15.788608228660864,32.41812730526727
bass,1,26.793350481066057,15.79010644578524,32.42302735356566
bass,1,26.841758051592116,15.791688511133204,32.43080697283817
bass,1,26.890253080119585,15.793351064155393,32.443041636363
bass,1,26.938835724658915,15.795089035542992,32.459435126903585
bass,1,26.987506143506042,15.796895739306017,32.48169780050177
bass,1,27.036264495242875,15.798763007974381,32.50507889979441
bass,1,27.085110938737852,15.800681374741242,32.52683588571868
bass,1,27.134045633146435,15.802640304429739,32.54814813356883
bass,1,27.183068737911626,15.80462846247097,32.56681393389326
bass,1,27.232180412764496,15.806634002961697,32.58303264823529
bass,1,27.281380817724703,15.808644860647105,32.59334965775156
bass,1,27.330670113101007,15.810649042848313,32.599817478260334
bass,1,27.38004845949181,15.81263491332696,32.60326699766957
bass,1,27.429516017785662,15.814591463169458,32.60511780057043
bass,1,27.479072949161782,15.816508540958377,32.60677383631811
bass,1,27.528719415090602,15.818377041028812,32.60424138942031
bass,1,27.57845557733428,15.820189047390611,32.59829770369555
bass,1,27.628281597947225,15.821937948233797,32.58736143514433
bass,1,27.67819763927664,15.82361851252744,32.57406527242547
bass,1,27.728203863963028,15.82522693244152,32.55922718275875
bass,1,27.778300434940746,15.826760832554923,32.54163780630775
bass,1,27.828487515438525,15.828219254098252,32.525022490142625
bass,1,27.87876526897999,15.82960263033717,32.50954927663781
bass,1,27.9291338593842,15.83091274734684,32.498846304386404
bass,1,27.979593450766224,15.832152689520964,32.49227149094409
bass,1,28.03014420753759,15.833326762538725,32.488087385818496
bass,1,28.080786294406895,15.834440395455358,32.48627784402812
bass,1,28.13151987638031,15.835500022560895,32.48662555545002
bass,1,28.18234511876212,15.83651293249419,32.49291103155797
bass,1,28.233262187155272,15.837487080872734,32.50489035142225
bass,1,28.284271247461902,15.838430869270036,32.52186737826204
bass,1,28.335372465883882,15.839352892307762,32.5437512179326
bass,1,28.38656600892336,15.840261657374084,32.57087759949792
bass,1,28.437852043383312,15.841165290011798,32.60503628974385
bass,1,28.489230736368064,15.842071231671628,32.64043543112355
bass,1,28.54070225528386,15.842985957283542,32.678089061337175
