setup,gains_db,mc_worst_mean,mc_worst_p95,mc_global_mean,mc_global_p95,mc_p95_error_p95,mc_max_reliable_p95,prob_p95_gt_0_5,prob_p95_gt_1,prob_p95_gt_2
Bajo,"[16.0, 2.0, -2.5, 16.0, -4.0]",0.691097791290987,0.8971494484805519,0.5404744855002193,0.6268960041734946,1.151188415171184,1.3404576586734689,1.0,0.23958333333333334,0.0
Bajo,"[15.5, 2.5, -2.5, 15.5, -3.5]",0.7094398370970065,0.9087574576248163,0.5190448126588784,0.628935569178652,1.14360973211954,1.4350820723533595,1.0,0.2604166666666667,0.0
Bajo,"[15.0, 3.0, -2.5, 15.5, -3.5]",0.714777752313891,0.9308937020154856,0.5204114433716789,0.618412021352847,1.202293335699564,1.459836028803598,1.0,0.4375,0.0
Bajo,"[15.5, 2.5, -2.0, 15.0, -3.0]",0.7205306250724403,0.9013486576561411,0.5177564450960588,0.6328489926792633,1.2284808034322239,1.6142433058002306,1.0,0.4583333333333333,0.0
Bajo,"[15.5, 2.0, -2.0, 15.5, -3.5]",0.7701979630774028,1.0159278503626288,0.5766568771070143,0.7006951968039268,1.3000793030928968,1.4991747540583193,1.0,0.5104166666666666,0.0
Bajo,"[15.0, 3.0, -3.0, 16.0, -4.0]",0.7055263797119822,0.8817818222230579,0.5182131614767574,0.5958787602232264,1.0873206553987813,1.2977035908501418,1.0,0.23958333333333334,0.0
Bajo,"[15.5, 2.0, -1.0, 14.0, -2.5]",0.7738503823136602,0.9360818781538615,0.546320877559289,0.6263874730813441,1.2126975669799416,1.5180090164319686,1.0,0.59375,0.0
Bajo,"[15.0, 3.0, -2.5, 15.0, -3.0]",0.758741648952574,0.9893755290159408,0.4942267296686451,0.6008556171446201,1.1629030822050193,1.5506089358324642,1.0,0.3541666666666667,0.0
Bajo,"[15.0, 3.5, -3.5, 16.0, -3.5]",0.7796400924966198,0.9271193472846648,0.49087899391238315,0.5906872645058553,1.164521375384866,1.6382722197603217,1.0,0.3645833333333333,0.0
Bajo,"[14.5, 4.0, -3.5, 16.0, -3.5]",0.7607726706951251,0.9150571250719609,0.49551172063212773,0.5952221837614067,1.1351330960580968,1.6301511249925258,1.0,0.3645833333333333,0.0
