frequency_hz,pair_first_db,pair_mad_db,n_pairs,attack_db,sustain_db,attack_sustain_disagreement_db
25.0,-0.765760629227935,3.239162667674493,14,-1.300055658807697,-0.5094959170450107,0.7905597417626863
25.215369952966757,-0.766206000505856,3.237238995833671,14,-1.3000288421255677,-0.5089576175370369,0.7910712245885307
25.43259527459916,-0.7666136447154179,3.2353744872848464,14,-1.3000020120679103,-0.5084211450423026,0.7915808670256077
25.651691948523673,-0.7669837291394461,3.2335688886118623,14,-1.299975168640108,-0.5078864116446241,0.7920887569954839
25.872676096062516,-0.7673164146470041,3.231821955916663,14,-1.2999483118475292,-0.5073533299629003,0.792594981884629
26.09556397741985,-0.7676118557544108,3.23013345472909,14,-1.2999214416955487,-0.5068218131329733,0.7930996285625754
26.32037199287816,-0.767870200685008,3.228503159917916,14,-1.2998945581895156,-0.5062917747896091,0.7936027833999065
26.54711668400512,-0.7680915914279516,3.2269308556039364,14,-1.2998676613347921,-0.5057631290485992,0.7941045322861929
26.775814734870597,-0.768276163795732,3.2254163350745877,14,-1.299840751136721,-0.5052357904889783,0.7946049606477427
27.00648297327442,-0.7684240474807216,3.223959400699937,14,-1.299813827600638,-0.5047096741353518,0.7951041534652861
27.23913837198449,-0.7685353661106362,3.222559863850734,14,-1.2997868907318735,-0.5041846954403337,0.7956021952915397
27.473798049985657,-0.7686102373029247,3.2212175448174576,14,-1.299759940535751,-0.5036607702670857,0.7960991702686653
27.710479273739395,-0.7686487727181492,3.2204677196553444,14,-1.2997329770175918,-0.503137814871958,0.7965951621456339
27.949199458454267,-0.7686510781123266,3.2203167604942218,14,-1.2997060001826943,-0.5026157458872236,0.7970902542954708
28.18997616936729,-0.7686172533883124,3.2202194311126413,14,-1.2996790100363675,-0.5020944803039078,0.7975845297324597
28.432827123036525,-0.7685473926461799,3.220175592085987,14,-1.299652006583904,-0.4979813665987603,0.8016706399851437
