region,mean_delta_db,rmse_db,rmse_shape_db
20-60,-1.7657136446241872,1.7809056288595881,0.232121054822123
60-250,0.003643679109287092,1.0304605902411017,1.0304541482485228
250-1000,1.6072728953040125,1.789170442897773,0.7860055430848251
1000-2000,3.1347033876031896,3.4782135362750823,1.5071841545333147
2000-4000,8.413120468711384,8.468456773276742,0.9665216499418336
4000-8000,8.331156610524893,8.350939938464984,0.5744801012715118
8000-18000,9.74460351813615,9.753780857824474,0.42301689894340055
