frequency_hz,diagnostic_db,energy_neutral_db,pipeline_version
20.0,0.00036130505014093304,0.964814717615075,V14.0-phase-mix-fit
20.033765982017503,0.00044124599448958296,0.9648946585594236,V14.0-phase-mix-fit
20.067588971112087,0.0005211869388382328,0.9649745995037722,V14.0-phase-mix-fit
20.101469063528747,0.0006011278831868827,0.9650545404481209,V14.0-phase-mix-fit
20.13540635567497,0.0006810688275355116,0.9651344813924695,V14.0-phase-mix-fit
20.16940094412101,0.0007610097718841616,0.9652144223368182,V14.0-phase-mix-fit
20.203452925600157,0.0008409507162328115,0.9652943632811668,V14.0-phase-mix-fit
20.237562397009018,0.0009208916605814403,0.9653743042255154,V14.0-phase-mix-fit
20.271729455407794,0.0010008326049300903,0.9654542451698641,V14.0-phase-mix-fit
20.30595419802054,0.0010807735492787403,0.9655341861142127,V14.0-phase-mix-fit
20.34023672223547,0.0011607144936273692,0.9656141270585614,V14.0-phase-mix-fit
20.374577125605207,0.001240655437976019,0.96569406800291,V14.0-phase-mix-fit
20.408975505847074,0.001320596382324669,0.9657740089472586,V14.0-phase-mix-fit
20.443431960843377,0.0014005373266732977,0.9658539498916073,V14.0-phase-mix-fit
20.47794658864167,0.0014804782710219479,0.9659338908359559,V14.0-phase-mix-fit
20.51251948745504,0.0015604192153705766,0.9660138317803045,V14.0-phase-mix-fit
20.547150755662393,0.0016403601597192266,0.9660937727246532,V14.0-phase-mix-fit
20.581840491808723,0.0017203011040678763,0.9661737136690018,V14.0-phase-mix-fit
20.6165887946054,0.0018002420484165263,0.9662536546133506,V14.0-phase-mix-fit
20.65139576293044,0.0018801829927651552,0.9663335955576992,V14.0-phase-mix-fit
20.686261495828813,0.001960123937113805,0.9664135365020478,V14.0-phase-mix-fit
20.72118609251269,0.002040064881462455,0.9664934774463965,V14.0-phase-mix-fit
20.75616965236174,0.002120005825811084,0.9665734183907451,V14.0-phase-mix-fit
20.791212274923435,0.0021999467701597337,0.9666533593350938,V14.0-phase-mix-fit
20.82631405991329,0.002279887714508384,0.9667333002794424,V14.0-phase-mix-fit
20.861475107215185,0.002359828658857013,0.966813241223791,V14.0-phase-mix-fit
20.896695516881625,0.0024397696032056626,0.9668931821681397,V14.0-phase-mix-fit
20.931975389134035,0.0025197105475543123,0.9669731231124883,V14.0-phase-mix-fit
20.967314824363047,0.0025996514919029413,0.9670530640568369,V14.0-phase-mix-fit
21.002713923128784,0.0026795924362515914,0.9671330050011856,V14.0-phase-mix-fit
21.03817278616114,0.0027595333806002416,0.9672129459455342,V14.0-phase-mix-fit
21.07369151436007,0.0028394743249488697,0.9672928868898829,V14.0-phase-mix-fit
21.109270208795884,0.00291941526929752,0.9673728278342315,V14.0-phase-mix-fit
21.144908970709523,0.0029993562136461697,0.9674527687785802,V14.0-phase-mix-fit
21.180607901512857,0.003079297157994798,0.9675327097229288,V14.0-phase-mix-fit
21.21636710278897,0.0031592381023434484,0.9676126506672774,V14.0-phase-mix-fit
21.252186676292443,0.003239179046692098,0.9676925916116261,V14.0-phase-mix-fit
21.288066723949655,0.0033191199910407275,0.9677725325559747,V14.0-phase-mix-fit
21.32400734785907,0.0033990609353893773,0.9678524735003233,V14.0-phase-mix-fit
21.360008650291512,0.0034790018797380274,0.967932414444672,V14.0-phase-mix-fit
21.396070733690483,0.003558942824086656,0.9680123553890206,V14.0-phase-mix-fit
21.432193700672432,0.003638883768435306,0.9680922963333694,V14.0-phase-mix-fit
21.46837765402706,0.003718824712783956,0.968172237277718,V14.0-phase-mix-fit
21.504622696717597,0.0037987656571325853,0.9682521782220666,V14.0-phase-mix-fit
21.540928931881123,0.003878706601481235,0.9683321191664153,V14.0-phase-mix-fit
21.577296462828844,0.003958647545829906,0.9684120601107639,V14.0-phase-mix-fit
21.61372539304635,0.004038588490178534,0.9684920010551126,V14.0-phase-mix-fit
21.650215826193993,0.004118529434527184,0.9685719419994612,V14.0-phase-mix-fit
21.686767866107107,0.0041984703788758345,0.9686518829438099,V14.0-phase-mix-fit
21.723381616796342,0.004278411323224463,0.9687318238881585,V14.0-phase-mix-fit
21.760057182447948,0.004358352267573113,0.9688117648325071,V14.0-phase-mix-fit
21.796794667424063,0.0044382932119217625,0.9688917057768558,V14.0-phase-mix-fit
21.833594176263034,0.004518234156270392,0.9689716467212044,V14.0-phase-mix-fit
21.87045581367969,0.004598175100619042,0.969051587665553,V14.0-phase-mix-fit
21.907379684565655,0.004678116044967691,0.9691315286099017,V14.0-phase-mix-fit
21.944365893989634,0.004758056989316321,0.9692114695542503,V14.0-phase-mix-fit
21.98141454719773,0.00483799793366497,0.969291410498599,V14.0-phase-mix-fit
22.018525749613726,0.00490683868113084,0.9693602512460648,V14.0-phase-mix-fit
22.055699606839394,0.004964534062499723,0.9694179466274337,V14.0-phase-mix-fit
22.092936224654792,0.005022229443868621,0.9694756420088027,V14.0-phase-mix-fit
22.130235709018567,0.0050799248252375185,0.9695333373901716,V14.0-phase-mix-fit
22.167598166068256,0.005137620206606402,0.9695910327715404,V14.0-phase-mix-fit
22.20502370212059,0.005195315587975299,0.9696487281529093,V14.0-phase-mix-fit
22.24251242367179,0.005253010969344198,0.9697064235342782,V14.0-phase-mix-fit
22.28006443739788,0.00531070635071308,0.9697641189156471,V14.0-phase-mix-fit
22.317679850154974,0.005368401732081978,0.969821814297016,V14.0-phase-mix-fit
22.35535876897961,0.005426097113450876,0.9698795096783849,V14.0-phase-mix-fit
22.39310130108902,0.005483792494819759,0.9699372050597538,V14.0-phase-mix-fit
22.43090755388145,0.0055414878761886575,0.9699949004411227,V14.0-phase-mix-fit
22.46877763493648,0.005599183257557555,0.9700525958224916,V14.0-phase-mix-fit
22.506711652015305,0.005656878638926438,0.9701102912038604,V14.0-phase-mix-fit
22.544709713061057,0.005714574020295336,0.9701679865852293,V14.0-phase-mix-fit
22.582771926199108,0.005772269401664233,0.9702256819665982,V14.0-phase-mix-fit
22.620898399737378,0.005829964783033117,0.9702833773479671,V14.0-phase-mix-fit
22.65908924216664,0.005887660164402014,0.970341072729336,V14.0-phase-mix-fit
22.697344562160836,0.005945355545770912,0.9703987681107049,V14.0-phase-mix-fit
22.735664468577387,0.006003050927139796,0.9704564634920738,V14.0-phase-mix-fit
22.774049070457483,0.006060746308508693,0.9705141588734427,V14.0-phase-mix-fit
22.81249847702642,0.006118441689877591,0.9705718542548116,V14.0-phase-mix-fit
22.851012797693897,0.006176137071246474,0.9706295496361804,V14.0-phase-mix-fit
22.88959214205433,0.006233832452615372,0.9706872450175493,V14.0-phase-mix-fit
22.928236619887155,0.006291527833984255,0.9707449403989182,V14.0-phase-mix-fit
22.96694634115716,0.006349223215353153,0.9708026357802871,V14.0-phase-mix-fit
23.005721416014783,0.00640691859672205,0.970860331161656,V14.0-phase-mix-fit
23.044561954796425,0.006464613978090949,0.970918026543025,V14.0-phase-mix-fit
23.083468068024768,0.006522309359459831,0.9709757219243939,V14.0-phase-mix-fit
23.122439866409092,0.0065800047408287295,0.9710334173057628,V14.0-phase-mix-fit
