frequency_hz,support_score,effective_score,snr_proxy_score,repeatability,bootstrap_score,loo_score,phase_score,codec_prior,reliability
25.0,1.0,0.5828295837071948,0.6670466246675075,0.5828295837071948,0.6542967447478965,0.9856293409335707,0.8765513798852104,1.0,0.7473986503017527
25.215369952966757,1.0,0.5830164758085458,0.6672070413045935,0.5830164758085458,0.6544615961003392,0.9856434299829345,0.8764766595739717,1.0,0.747429581935816
25.43259527459916,1.0,0.5831976771619188,0.6673625610809302,0.5831976771619188,0.6546214170219632,0.9856582837833447,0.8764022144522448,1.0,0.747461680067947
25.651691948523673,1.0,0.5833732070639691,0.6675132016994079,0.5833732070639691,0.654776225537455,0.9856739020796408,0.876328031609633,1.0,0.7474946393116324
25.872676096062516,1.0,0.5835430840812326,0.6676589801949706,0.5835430840812326,0.6549260389911727,0.9856902471574759,0.8762540982184777,1.0,0.747528048364107
26.09556397741985,1.0,0.5837073260554579,0.6677999129398857,0.5837073260554579,0.6550708740524582,0.9857072624648564,0.8761804015311363,1.0,0.7475613805312135
26.32037199287816,1.0,0.583865950108965,0.6679360156490071,0.583865950108965,0.655210746720946,0.9857249172690731,0.8761069288772887,1.0,0.7475939900220163
26.54711668400512,1.0,0.5840189726499465,0.6680673033849599,0.5840189726499465,0.6553456723317974,0.9857430775495424,0.8760336676612538,1.0,0.7476251163735365
26.775814734870597,1.0,0.5841664093777608,0.6681937905632919,0.5841664093777608,0.6554756655609019,0.9857618294818736,0.8759606053593385,1.0,0.7476538990135217
27.00648297327442,1.0,0.5843082752882304,0.6683154909575985,0.5843082752882304,0.6556007404300592,0.9857811089448804,0.8758877295171975,1.0,0.7476794030811137
27.23913837198449,1.0,0.5844445846788735,0.668432417704567,0.5844445846788735,0.6557209103120791,0.9858008368283895,0.8758150277472159,1.0,0.7477006561985257
27.473798049985657,1.0,0.5845753511541738,0.6685445833090234,0.5845753511541738,0.6558361879358895,0.9858209172699997,0.8757424877259085,1.0,0.7477166940823397
27.710479273739395,1.0,0.5846484106038043,0.6686072476895055,0.5846484106038043,0.6559005913324254,0.9858412357832051,0.875670097191338,1.0,0.7477266115085257
27.949199458454267,1.0,0.5846631204611219,0.6686198643571968,0.5846631204611219,0.6559135581634457,0.9858616572832046,0.8755978439405527,1.0,0.7477296121711935
28.18997616936729,1.0,0.5846726046880374,0.6686279989514189,0.5846726046880374,0.6559219185315948,0.9858820240194431,0.8755257158270331,1.0,0.7477250519522067
