region,low_hz,high_hz,width_octaves,held_out_mae_db,best_mae_db,candidates_tried,parsimony_db
subgrave,25,120,0.25,1.9575401375008228,1.925509489009957,4,0.08
grave,120,350,0.25,2.6048651972167813,2.6048651972167813,4,0.08
medio_bajo,350,900,0.125,5.910514850723429,5.865504578323442,4,0.08
medio,900,2500,0.125,10.451713137809197,10.451713137809197,4,0.08
presencia,2500,6000,0.125,10.912017796545605,10.912017796545605,4,0.08
agudo,6000,10000,0.125,11.763833727035369,11.763833727035369,4,0.08
aire,10000,18000,0.5,12.3811284925047,12.328018174735142,4,0.08
