frequency_hz,v12_neutral_db,v14_neutral_db,v14_recommended_db,v41_reported_db,v14_neutral_minus_v41,v12_neutral_minus_v41
515,0.04203383914881,3.1394777034227577,1.6334030441192529,3.49,-0.35052229657724254,-3.4479661608511902
958,2.082997365274984,2.868084725802601,1.4098643133439845,3.49,-0.621915274197399,-1.4070026347250164
1360,3.5456606419564314,6.483392835314209,2.513714722544523,4.08,2.403392835314209,-0.5343393580435687
2630,2.327469442125705,11.657770996031683,2.013485933493605,6.61,5.047770996031683,-4.282530557874296
4120,1.4169764014222397,8.808081241865825,2.3895077922489487,6.34,2.468081241865825,-4.92302359857776
5190,1.0831689323148908,9.590767894559317,2.543429136116682,4.33,5.260767894559317,-3.2468310676851093
