pair,event,event_confidence_v18,class_weight,note_weight,lag_weight
A_12,0,0.8184280671978895,1.0,0.8687948910780662,0.8804347826086776
A_12,1,0.7530349288825243,1.0,0.8340716784335891,0.7282608695652011
A_12,2,0.7420831925528683,1.0,0.8574225666907309,0.44565217391300616
A_12,3,0.6989011811400457,1.0,0.8713697809886435,0.4239130434782209
A_12,4,0.7912688538312187,1.0,0.8851317031010424,0.5543478260869257
A_12,5,0.7447390779192898,1.0,0.889095381813924,0.6630434782608452
A_12,6,0.8015379610727553,1.0,0.8792237594743999,0.8152173913043218
A_12,7,0.7905761597069539,1.0,0.8584331936008165,0.9891304347825903
A_12,8,0.7312685905933898,1.0,0.8432023118943083,0.5760869565217042
A_12,9,0.7756774424643744,1.0,0.860447434744976,0.7499999999999727
A_12,10,0.8335629409020809,1.0,0.8864543239061364,0.9673913043478187
A_12,11,0.7785930278479466,1.0,0.8972552770171973,0.8804347826086776
A_12,12,0.8019763574669053,1.0,0.9134514359839118,0.7282608695651875
A_12,13,0.7846951192072548,1.0,0.9135273261417427,0.7499999999999659
A_12,14,0.8185144245129321,1.0,0.9018009119657548,0.8152173913043422
A_12,15,0.6658973011430375,1.0,0.8955214956557698,0.9673913043478187
A_12,16,0.8348520534338194,1.0,0.9010997127037393,0.9456521739130198
A_12,17,0.8191216099646783,1.0,0.9130819075335039,0.9239130434782685
A_12,18,0.8188023966286758,1.0,0.9014123641844427,0.836956521739141
A_12,19,0.7911774891290149,1.0,0.9000645674536235,0.7500000000000137
A_12,20,0.8403682720874045,1.0,0.8991739071008764,0.9673913043478187
A_12,21,0.8193346338727312,1.0,0.9036666468310252,0.9456521739130674
A_12,22,0.8438573497037072,1.0,0.896979136768237,0.9891304347826175
A_12,23,0.7573059220803874,1.0,0.8984088272455363,0.6847826086956373
A_12,24,0.8232362013207406,1.0,0.9020394804113108,0.8369565217391275
A_12,25,0.8311164341850439,1.0,0.9221343256829454,0.8586956521738923
A_12,26,0.8430086670470328,1.0,0.8973475713419314,0.9891304347826108
A_12,27,0.796661686782777,1.0,0.8997670662029279,0.75
A_12,28,0.8466663657006663,1.0,0.9020298463213366,0.9673913043478187
A_12,29,0.8022726620550924,1.0,0.9093933194069783,0.8152173913043627
A_12,30,0.814853390992634,1.0,0.9102297037672844,0.75
A_12,31,0.7653063276946186,1.0,0.9149352689633244,0.6413043478261009
A_12,32,0.8296083572921766,1.0,0.9168625437438167,0.9021739130434901
A_12,33,0.8218133993442859,1.0,0.9260502887172033,0.8369565217391275
A_12,34,0.7857460955679109,1.0,0.9289171364282264,0.7282608695651738
A_12,35,0.7454511746815685,1.0,0.926227510528965,0.7934782608695637
A_12,36,0.8166227519858085,1.0,0.9254137745149481,0.8152173913043627
A_12,37,0.8388485382464914,1.0,0.9279866328588403,0.9021739130434901
A_12,39,0.7021704604980631,1.0,0.9155467512555334,0.4
A_12,40,0.7252170176926355,1.0,0.9152534508962287,0.4
A_12,41,0.7057537130477,1.0,0.9180374498555719,0.4
A_12,42,0.7320184410028939,1.0,0.9246830675980982,0.4
A_12,43,0.6979428310697448,1.0,0.9157326626546508,0.4
A_12,45,0.718890915915163,1.0,0.916166977866537,0.4
A_12,46,0.7621254916799433,1.0,0.9169322160166682,0.4
A_12,47,0.7025608079374773,1.0,0.9238774823462195,0.4
A_12,49,0.6947331767043878,0.7,0.9217913097895762,0.4
A_12,50,0.7131120833598283,0.7,0.9264696467002569,0.4
A_12,51,0.7039647894224912,0.7,0.9291095125517764,0.4
A_12,52,0.7038701358355626,0.7,0.9188711281618933,0.4
A_open,0,0.7066392634274654,1.0,0.8554180640904411,0.7344913151364761
A_open,1,0.825737348727652,1.0,0.9965216772471168,0.745037220843672
A_open,2,0.797523274625937,1.0,0.9164053208997053,0.745037220843672
A_open,3,0.7795087168369943,1.0,0.8932092759345359,0.7400744416873444
A_open,4,0.762915860241446,1.0,0.9072120254879865,0.7382133995037217
A_open,5,0.8174455110858181,1.0,0.9201654041965959,0.7394540942928036
A_open,6,0.766980993262431,1.0,0.8740986127129657,0.7431761786600493
A_open,7,0.7848913313330568,1.0,0.8820854117852626,0.7462779156327538
A_open,8,0.7268969640253488,1.0,0.8431595442587569,0.7425558312655084
A_open,9,0.7894643170956279,1.0,0.9086632759995555,0.7425558312655084
A_open,10,0.7666872431024228,1.0,0.8950643896137845,0.7512406947890815
A_open,11,0.7990704867999545,1.0,0.9552026474331471,0.7493796526054588
A_open,12,0.7690798621750227,1.0,0.8884650887808605,0.7506203473945405
A_open,13,0.806743053361917,1.0,0.8969399244904618,0.7468982630272947
A_open,14,0.7314637358874162,1.0,0.8753261073656315,0.7531017369727047
A_open,16,0.7232796388075756,1.0,0.8949493196696799,0.7419354838709675
A_open,17,0.7803148530396997,1.0,0.8923828692696643,0.7406947890818852
A_open,18,0.7705029519787453,1.0,0.8767024874429362,0.7456575682382129
A_open,19,0.7894161539950855,1.0,0.8919487050371183,0.7437965260545901
A_open,20,0.7746261412919857,1.0,0.9100548747677342,0.7468982630272951
A_open,21,0.7991530342592255,1.0,0.9260243135941955,0.7462779156327546
A_open,22,0.7980270509629,1.0,0.9329862112724719,0.736972704714639
A_open,23,0.7982687474021201,1.0,0.9277500669848825,0.7413151364764266
A_open,24,0.7863773710090892,1.0,0.9109429653644717,0.7375930521091804
A_open,25,0.791846159977352,1.0,0.8968406040901663,0.7400744416873439
A_open,26,0.7249975788097989,1.0,0.887934258716137,0.7406947890818852
A_open,27,0.8010983646327888,1.0,0.906152132808261,0.7499999999999992
A_open,28,0.7480612238504739,1.0,0.8788812365432752,0.7475186104218356
A_open,29,0.7613662092243195,1.0,0.8621724659563632,0.732630272952854
A_open,32,0.7989283764242774,1.0,0.8822949827638313,0.9968982630272943
A_open,33,0.815208946112905,1.0,0.8485595733534153,0.9944168734491314
A_open,34,0.7720321884042444,1.0,0.8794375179701086,0.9944168734491307
A_open,35,0.8382446833602196,1.0,0.8960259991061852,0.9981389578163776
A_open,36,0.8000181112802606,1.0,0.8881575137627302,0.9981389578163776
A_open,37,0.8511641884864968,1.0,0.9400788172515311,0.9975186104218371
A_open,38,0.7994736935179881,1.0,0.9171488784071471,0.9999999999999992
A_open,39,0.7943188698661274,1.0,0.876866562352107,0.9968982630272959
A_open,40,0.7744276984567379,1.0,0.9132270730963543,0.9981389578163768
A_open,41,0.8375990388920594,1.0,0.9396098786595015,0.9962779156327546
A_open,42,0.8006101881317393,1.0,0.910862061986289,0.9987593052109189
A_open,43,0.8270160800680849,1.0,0.9436195169266527,0.9956575682382125
