s12,s24,hold,bias,cal,gain
0.85,0.85,4.041229679087427,-0.04715066457755879,4.045041509794737,-12.194639198585127
0.85,1.05,4.124107559977057,0.4357990230110407,3.9891996948303126,-11.994639198585128
0.85,1.1,4.124147252958922,0.5104629543346766,3.9620074843344044,-11.994639198585128
0.85,1.15,4.124187839938698,0.5867203421317144,3.9429175074805967,-11.994639198585128
0.85,1.2,4.124229690110165,0.6645822305660116,3.922133693655746,-11.994639198585128
0.85,1.25,4.124272336032849,0.7440573462702919,3.90418778556631,-11.994639198585128
0.8999999999999999,1.25,4.1245563873155415,0.7417417532481195,3.892554739292921,-11.994639198585128
0.95,1.25,4.124843932035541,0.73939623741245,3.883991824661509,-11.994639198585128
0.85,1.0,4.127182706213471,0.3627180679978885,4.018805751028108,-11.994639198585128
1.0,1.0,4.132049373686419,0.3551974128478339,3.994364082222887,-11.994639198585128
0.85,1.25,4.210216687982349,0.9440578118274311,3.8990482778770144,-11.794639198585129
0.85,1.2,4.210844215429685,0.8645825012864629,3.9179335552956482,-11.794639198585129
0.85,1.15,4.2114627094479005,0.7867207769251662,3.932615773432678,-11.794639198585129
0.85,1.1,4.212071905511718,0.710463060982127,3.961316757381979,-11.794639198585129
0.85,1.05,4.212672425545767,0.6357995090773051,3.9829374745843316,-11.794639198585129
0.85,1.0,4.2132642428018485,0.5627182259181518,4.007215562062595,-11.794639198585129
0.85,0.95,4.213847147944666,0.4912076751218071,4.033971621226105,-11.794639198585129
