frequency_hz,eq_copy_db,eq_before_air_taper_db,source_variant,air_policy,smoothing,pipeline_version
20.0,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.033765982017503,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.067588971112087,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.101469063528747,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.13540635567497,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.16940094412101,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.203452925600157,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.237562397009018,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.271729455407794,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.30595419802054,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.34023672223547,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.374577125605207,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.408975505847074,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.443431960843377,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.47794658864167,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.51251948745504,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.547150755662393,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.581840491808723,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.6165887946054,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.65139576293044,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.686261495828813,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.72118609251269,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.75616965236174,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.791212274923435,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.82631405991329,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.861475107215185,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.896695516881625,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.931975389134035,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
20.967314824363047,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.002713923128784,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.03817278616114,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.07369151436007,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.109270208795884,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.144908970709523,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.180607901512857,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.21636710278897,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.252186676292443,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.288066723949655,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.32400734785907,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
21.360008650291512,-1.6037702091074681,-1.6037702091074681,v22_winsor_fretted_tight_floor+v22_hard_10k,v22_hard_10k,none,V22.0-operative
