variant,holdout_critical_rmse_db,bias_2k4k_db,bias_1k2k_db,gain_db,eq_2k6,eq_4k,eq_6k,eq_8k,eq_10k,eq_15k,cliff_2k6_8k_db,min_4k8k_db,air_step_8k_10k_db,shape_bad,shape_penalty,presence_scale
v22_winsor_weighted,4.577764982993008,-0.519717124501227,-1.5979739053452473,-12.616200990687675,3.1862908413784954,0.005392029761083981,-2.561788048156674,-5.223574523023959,-3.148879635633809,-2.184781584333061,8.409865364402455,-5.223574523023959,2.0746948873901503,True,9.633439887426414,0.36
v22_winsor_weighted_floor,4.569604540419077,-0.519571632767881,-1.5979768996775094,-12.616200929294678,3.186290779985497,0.005391968368085618,-0.5000000613929994,-0.5119666762519406,-3.1488796970268074,-2.1847816457260594,3.698257456237438,-0.5119666762519406,2.636913020774867,False,0.698257456237438,0.36
v22_winsor_robust,4.577764982993008,-0.519717124501227,-1.5979739053452473,-12.616200990687675,3.1862908413784954,0.005392029761083981,-2.561788048156674,-5.223574523023959,-3.148879635633809,-2.184781584333061,8.409865364402455,-5.223574523023959,2.0746948873901503,True,9.633439887426414,0.36
v22_winsor_robust_floor,4.569604540419077,-0.519571632767881,-1.5979768996775094,-12.616200929294678,3.186290779985497,0.005391968368085618,-0.5000000613929994,-0.5119666762519406,-3.1488796970268074,-2.1847816457260594,3.698257456237438,-0.5119666762519406,2.636913020774867,False,0.698257456237438,0.36
v22_winsor_tight,4.5907806769287545,-0.6627045706196534,-1.9257448563189223,-12.616281636948951,3.182415532413115,-0.2051862317888251,-2.561931255765877,-5.364785088173282,-3.3532346263538,-2.184700938071787,8.547200620586398,-5.364785088173282,2.0115504618194824,True,9.91198570875968,0.36
v22_winsor_tight_floor,4.581623797326735,-0.6625625654375719,-1.9257479531968098,-12.616281572933998,3.1824154683981614,-0.2051862958037787,-0.5000000640149536,-0.5123177285435345,-3.3532346903687538,-2.1847010020867406,3.694733196941696,-0.5123177285435345,2.8409169618252195,False,0.6947331969416961,0.36
v22_winsor_fretted_tight,4.333210724901431,-0.5071677754444498,-1.5807564128007243,-12.93893454913159,2.945056813208472,0.014183848951097708,-1.8549431867915278,-4.985692336943833,-3.03058171417116,-1.862048025889147,7.930749150152305,-4.985692336943833,1.955110622772673,True,8.916441487096138,0.3
v22_winsor_fretted_tight_floor,4.33319534584478,-0.507127669850348,-1.5807584226949825,-12.938934507503346,2.945056771580228,0.01418380732285361,-0.5000000416282441,-0.5116119604937327,-3.030581755799404,-1.8620480675173912,3.4566687320739606,-0.5116119604937327,2.5189697953056713,False,0.45666873207396064,0.3
v22_stitch_low_tight,4.590143584320739,-0.6626752835890335,-1.916717908477073,-12.616272806887453,3.1824307078707266,-0.20517105633121352,-2.561916080308265,-5.364789402512475,-3.3532434564152966,-2.1847097681332834,8.5472201103832,-5.364789402512475,2.0115459460971783,True,9.912009512895676,0.36
v22_stitch_low_tight_floor,4.58099080052029,-0.6625330220428883,-1.9167209848458353,-12.616272742873152,3.182430643856426,-0.20517112034551427,-0.5000000640143007,-0.5123177478570654,-3.353243520429597,-2.184709832147584,3.6947483917134916,-0.5123177478570654,2.8409257725725316,False,0.6947483917134916,0.36
v22_stitch_low_robust,4.577764982993008,-0.519717124501227,-1.5979739053452473,-12.616200990687675,3.1862908413784954,0.005392029761083981,-2.561788048156674,-5.223574523023959,-3.148879635633809,-2.184781584333061,8.409865364402455,-5.223574523023959,2.0746948873901503,True,9.633439887426414,0.36
v22_stitch_low_robust_floor,4.569604540419077,-0.519571632767881,-1.5979768996775094,-12.616200929294678,3.186290779985497,0.005391968368085618,-0.5000000613929994,-0.5119666762519406,-3.1488796970268074,-2.1847816457260594,3.698257456237438,-0.5119666762519406,2.636913020774867,False,0.698257456237438,0.36
v21_current,4.297617574826196,0.12653596909520082,-0.942469924770178,-12.903711407362223,5.769122989039871,-0.17986210317797066,-2.836862725802678,-4.966305728796933,-0.0018431033890201533,0.0,10.735428717836804,-4.966305728796933,4.964462625407913,True,11.701734446633736,
v22_stitch_v20_highs,4.500400391948185,0.005301993997746779,0.9709885609869731,-12.379316019429297,3.8591217965346334,3.355862830292843,4.342900118859406,4.756991443281813,0.23032698241983612,0.2274053746636848,-0.8978696467471798,3.355862830292843,4.526664460861977,False,0.0,
v20_baseline_ref,4.099865980502868,0.05569122540886906,-0.4259178302798804,-12.011933081005813,3.631716421870949,3.1284574556291584,4.115494744195721,4.529586068618128,0.0029216077561513435,0.0,-0.8978696467471794,3.1284574556291584,4.526664460861977,False,0.0,
