variant,holdout_critical_rmse_db,bias_2k4k_db,bias_8k12k_db,rmse_8k12k_db,gain_db,eq_at_10k_db,eq_at_15k_db,eq_at_18k_db,eq_2k6,eq_4k,eq_6k,eq_8k,eq_10k,eq_15k,cliff_2k6_8k_db,min_4k8k_db,air_step_8k_10k_db,shape_bad
v22_no_taper,4.33319534584478,-0.507127669850348,0.3188161027272143,3.3613715049230333,-12.938934507503346,-3.030581755799404,-1.8620480675173912,-0.7714826066787733,2.945056771580228,0.01418380732285361,-0.5000000416282441,-0.5116119604937327,-3.030581755799404,-1.8620480675173912,3.4566687320739606,-0.5116119604937327,2.5189697953056713,False
v22_soft_8_15,4.3331947946208995,-0.5071195379822522,0.34506695993024983,3.3650023047839035,-12.938934507503346,-1.954803004214917,-0.0012407104569063965,0.0,2.945056771580228,0.01418380732285361,-0.5000000416282441,-0.5114011784713011,-1.954803004214917,-0.0012407104569063965,3.456457950051529,-0.5114011784713011,1.4434018257436159,False
v22_hard_10k,4.3331917334252115,-0.5071150259747337,0.3870410956461505,3.3708222058577455,-12.938934507503346,-0.001956755525274738,0.0,0.0,2.945056771580228,0.01418380732285361,-0.5000000416282441,-0.511018174996591,-0.001956755525274738,0.0,3.456074946576819,-0.511018174996591,0.5090614194713162,False
v22_aac_then_soft,4.333196113724191,-0.5071209223481953,0.3366783636304098,3.363840349567024,-12.938934507503346,-2.7318454370171086,-0.14765835491171586,0.0,2.945056771580228,0.01418380732285361,-0.5000000416282441,-0.4782074777739446,-2.7318454370171086,-0.14765835491171586,3.4232642493541725,-0.5000000416282441,2.253637959243164,False
