frequency_hz,target_db,uncertainty_db,mooer_db,error_db
20.0,-25.662344562465364,0.5570974543675197,-13.535603351207532,12.126741211257832
20.07233331950925,-25.665389789665262,0.5570826157434248,-13.56297627919616,12.102413510469102
20.14492824447408,-25.668843537464948,0.5571013068504527,-13.590337219982382,12.078506317482566
20.21778572103401,-25.67270410183815,0.5571090942745961,-13.617686046392778,12.055018055445371
20.29090669875047,-25.67696103251246,0.5571110072232528,-13.645022630801392,12.031938401711066
20.36429213061913,-25.68159556326364,0.5571279778490414,-13.67234684512828,12.009248718135362
20.437942973082333,-25.68658150216696,0.5571432779850889,-13.699658560838042,11.986922941328917
20.51186018604153,-25.691886503169613,0.5571463437609272,-13.726957648938487,11.964928854231125
20.58604473286984,-25.697473610729894,0.5571391608464769,-13.754243979979325,11.943229630750569
20.66049758042457,-25.703302952787933,0.5571272719288336,-13.78151742405091,11.921785528737022
20.735219699059822,-25.70933345480143,0.5571398015386547,-13.808777850783077,11.900555604018354
20.81021206263916,-25.715524457748476,0.5571557078760062,-13.836025129344005,11.87949932840447
20.88547564854828,-25.721837143179304,0.5571624749634755,-13.863259128439147,11.858578014740157
20.96101143770774,-25.72823569498484,0.5571678366049007,-13.890479716310242,11.837755978674597
21.03682041458579,-25.734688156725532,0.5571645968072598,-13.91768676073438,11.817001395991152
21.11290356721114,-25.74116697172949,0.5571688285812084,-13.944880129023097,11.796286842706394
21.189261887185907,-25.74764921808959,0.5571725961528188,-13.972059688021575,11.775589530068016
21.265896369698464,-25.754116570505857,0.557173052425991,-13.99922530410789,11.754891266397967
21.342808013536477,-25.76055503487343,0.5571855260506045,-14.026376843192303,11.734178191681128
21.41999782109987,-25.76695450962904,0.5571832872384084,-14.053514170716639,11.713440338912402
21.497466798413928,-25.773308230692415,0.5571910812547844,-14.080637151653713,11.692671079038702
21.5752159551424,-25.779612155193206,0.5571971021658004,-14.107745650506823,11.671866504686383
21.653246304600625,-25.785864334036642,0.5572014305284749,-14.134839531309307,11.651024802727335
21.73155886376879,-25.792064315628306,0.5572077126221164,-14.161918657624177,11.630145658004128
21.810154653305155,-25.79821261362821,0.5572104357487552,-14.188982892543773,11.609229721084436
21.889034697559342,-25.804310261252617,0.5572096123068453,-14.216032098689519,11.588278162563098
