frequency_hz,target_db,uncertainty_db,mooer_db,error_db
20.0,-10.590055528061075,0.55,-8.398457712291036,2.1915978157700398
20.072333319509255,-10.589884975636972,0.55,-8.414894619276632,2.1749903563603397
20.14492824447408,-10.58971442321287,0.55,-8.43132154486132,2.1583928783515507
20.21778572103401,-10.589543870788766,0.55,-8.44773841644486,2.1418054543439062
20.29090669875047,-10.589373318364663,0.55,-8.464145160057857,2.125228158306806
20.364292130619134,-10.589202765940561,0.55,-8.480541700363483,2.1086610655770777
20.437942973082333,-10.589032213516457,0.55,-8.496927960659523,2.0921042528569345
20.51186018604153,-10.588861661092354,0.55,-8.513303862880711,2.0755577982116424
20.58604473286984,-10.588691108668252,0.55,-8.52966932760135,2.0590217810669014
20.66049758042457,-10.588520556244148,0.55,-8.546024274038198,2.042496282205951
20.735219699059822,-10.588350003820045,0.55,-8.562368620053665,2.0259813837663803
20.81021206263916,-10.588179451395943,0.55,-8.578702282159261,2.009477169236682
20.885475648548276,-10.58800889897184,0.55,-8.595025175519377,1.992983723452463
20.96101143770774,-10.587838346547736,0.55,-8.611337213955284,1.9765011325924515
21.03682041458579,-10.587667794123634,0.55,-8.62763830994945,1.9600294841741839
21.11290356721114,-10.58749724169953,0.55,-8.643928374650145,1.943568867049386
21.189261887185907,-10.587326689275427,0.55,-8.660207317876276,1.9271193713991508
21.265896369698464,-10.587156136851325,0.55,-8.676475048122544,1.910681088728781
21.342808013536473,-10.586985584427222,0.55,-8.692731472564851,1.8942541118623701
21.41999782109987,-10.586815032003118,0.55,-8.708976497065983,1.8778385349371352
21.497466798413928,-10.586644479579016,0.55,-8.725210026181564,1.861434453397452
21.575215955142397,-10.586473927154913,0.55,-8.741431963166281,1.8450419639886313
21.653246304600625,-10.58630337473081,0.55,-8.757642209980373,1.8286611647504376
21.73155886376879,-10.586132822306707,0.55,-8.773840667296374,1.8122921550103328
21.810154653305155,-10.585962269882604,0.55,-8.790027234506162,1.7959350353764414
21.889034697559346,-10.585791717458502,0.55,-8.806201809728204,1.7795899077302977
21.968200024585734,-10.585621165034398,0.55,-8.822364289815111,1.7632568752192874
22.047651666156817,-10.585485142933466,0.55,-8.838514570361436,1.74697057257203
22.127390657776665,-10.585372206015226,0.55,-8.854652545711721,1.7307196603035049
22.207418038694424,-10.585259269096985,0.55,-8.870778108968793,1.7144811601281926
22.287734851917847,-10.585146332178745,0.55,-8.886891152002331,1.6982551801764139
22.368342144226922,-10.585033395260504,0.55,-8.902991565457684,1.6820418298028201
22.44924096618746,-10.584920458342266,0.55,-8.919079238764873,1.665841219577393
22.53043237216484,-10.584807521424025,0.55,-8.935154060147946,1.6496534612760794
22.611917420337715,-10.584694584505785,0.55,-8.951215916634451,1.6334786678713336
22.693697172711826,-10.584581647587544,0.55,-8.967264694065273,1.6173169535222716
22.77577269513383,-10.584468710669304,0.55,-8.983300277104602,1.6011684335647018
22.8581450573052,-10.584355773751064,0.55,-8.999322549250193,1.5850332245008705
22.940815332796156,-10.584242836832823,0.55,-9.015331392843843,1.5689114439889806
23.023784599059653,-10.584129899914583,0.55,-9.031326689082102,1.5528032108324812
23.107053937445457,-10.584016962996342,0.55,-9.047308318027198,1.5367086449691438
23.190624433214207,-10.583904026078102,0.55,-9.063276158618192,1.5206278674599094
23.27449717555155,-10.583791089159861,0.55,-9.079230088682364,1.5045610004774979
23.358673257582375,-10.583678152241621,0.55,-9.095169984946802,1.4885081672948193
23.44315377638503,-10.58356521532338,0.55,-9.111095723050207,1.4724694922731736
23.527939833005625,-10.58345227840514,0.55,-9.12700717755493,1.4564451008502104
23.613032532472396,-10.5833393414869,0.55,-9.142904221959181,1.4404351195277183
23.698432983810086,-10.58322640456866,0.55,-9.158786728709492,1.4244396758591673
23.78414230005442,-10.583113467650419,0.55,-9.174654569213336,1.4084588984370825
23.870161598266595,-10.583000530732178,0.55,-9.190507613851985,1.3924929168801938
23.95649199954785,-10.582887593813938,0.55,-9.206345731993537,1.3765418618204013
24.043134629054062,-10.582774656895698,0.55,-9.22216879200615,1.360605864889548
24.130090616010435,-10.582661719977457,0.55,-9.237976661271464,1.344685058705993
24.2173610937262,-10.582548783059217,0.55,-9.253769206198227,1.32877957686099
24.30494719960938,-10.582435846140976,0.55,-9.269546292236065,1.3128895539049115
24.392850075181627,-10.582322909222736,0.55,-9.285307783889474,1.297015125333262
24.481070866093106,-10.582209972304495,0.55,-9.301053544731987,1.2811564275725082
24.5696107221374,-10.582097035386255,0.55,-9.316783437420456,1.2653135979657986
24.65847079726652,-10.581984098468014,0.55,-9.332497323709607,1.2494867747584077
24.74765224960594,-10.581871161549776,0.55,-9.348195064466674,1.2336760970831016
24.83715624146968,-10.581758224631535,0.55,-9.363876519686247,1.2178817049452881
24.92698393937546,-10.581645287713295,0.55,-9.379541548505244,1.2021037392080505
25.01713651405991,-10.581551718176076,0.55,-9.395190009218082,1.1863617089579943
25.10761514049382,-10.581519215674318,0.55,-9.41082175929197,1.1706974563823476
25.198420997897465,-10.581490159502874,0.55,-9.426436655382375,1.1550535041204988
