frequency_hz,eq_copy_db,eq_before_air_taper_db,source_variant,air_policy,smoothing,pipeline_version
20.0,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.033765982017503,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.067588971112087,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.101469063528747,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.13540635567497,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.16940094412101,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.203452925600157,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.237562397009018,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.271729455407794,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.30595419802054,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.34023672223547,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.374577125605207,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.408975505847074,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.443431960843377,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.47794658864167,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
20.51251948745504,-1.8833239977779237,-1.8833239977779237,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
