held_out_string,n_observations,mae_db,rmse_db
A,2482,4.8808467522199255,6.384149305049611
B,4111,6.575751189107935,7.870094007753146
C,9308,4.663292341623221,6.012025637583494
D,1109,3.193863882109958,4.338958007792353
E,3603,5.440690683597907,6.815876000364525
G,2982,3.48224513430791,4.6523741756800385
