region,rmse_db,max_abs_db,mean_db,rmse_valid_db,valid_fraction
20-60,0.012282755941752377,0.027701957120894738,0.009058963056541816,0.02578129776480067,0.0736196319018405
60-250,0.03628524594714655,0.06581975436854748,0.03058684095498057,0.036716619943102095,0.9550827423167849
250-1k,0.038507965093008,0.05636471654721287,0.018315697878326615,0.038507965093008,1.0
1k-2k,0.05541449606483505,0.0631886658211771,-0.05533284646701719,0.05541449606483505,1.0
2k-4k,0.04438656620386296,0.06352207924402342,-0.04061371765331627,0.04438656620386296,1.0
4k-8k,0.0034885035815147483,0.010854068322138755,-0.0014620748059798862,0.005591375509118272,0.3260340632603406
8k-20k,0.00011071861388141257,0.0003902041649106666,5.200282886799639e-05,8.062681659468447e-05,0.20810313075506445
