setup,range,rmse_difference_db,median_difference_db,p95_abs_difference_db,max_abs_difference_db
bass,20-15500 high/medium confidence,0.0410022524788568,-0.025867125033338212,0.08691722266472204,0.1594783124932615
bass,15500-18000 low confidence,0.526266796841911,0.37175975517447135,0.9008368463088068,0.915584389767286
bass,20-18000 total,0.08840048296949324,-0.02580866644071733,0.09807641943870564,0.915584389767286
hybrid,20-15500 high/medium confidence,0.04467742957171799,-0.010021286476007418,0.11104327588458882,0.15672847215279972
hybrid,15500-18000 low confidence,0.33292939268579735,0.19952063114955543,0.5849012304770623,0.5964429949039438
hybrid,20-18000 total,0.06649275580056684,-0.00998821310769582,0.12470742456485659,0.5964429949039438
guitar,20-15500 high/medium confidence,0.047619931917725275,-0.02054828671826714,0.08321224705241553,0.27471437326418346
guitar,15500-18000 low confidence,0.18326142745351648,-0.025567665006712037,0.4254031456346072,0.4795370781298063
guitar,20-18000 total,0.05445584721211634,-0.02056649863866422,0.0868308867418797,0.4795370781298063
