frequency_hz,eq_db,ci95_low,ci95_high,pairs,strings,families,tonal_observations,residual_observations,attack_median,body_median,sustain_median,max_pair_influence
630,-1.2934222462945901,-1.956358409641609,1.2914359880016577,3,3,2,109,65,7.429014184702279,-0.1733658422246833,0.2700968958679297,0.8863171830612657
800,-0.13343784039589313,-0.8504127059045252,0.9595335565004349,6,5,2,551,0,2.1593481352482407,-0.3479858468805545,-2.451951133229656,0.4616507323691314
1000,1.3262019250572403,-0.3367337035184088,1.678384412180372,5,4,2,502,167,3.0730735608989015,8.143732651963525,0.9429331023727804,0.42879718374878284
1250,2.8371947220958442,-0.14402204449256892,3.077174432219611,5,4,2,434,277,-0.4768542833265492,3.405239682456582,5.461318233383121,0.7467060626443401
1600,4.0603143607628995,-0.14455342789113954,4.194233102717778,5,3,3,560,382,3.538703744822385,7.5814381236605755,8.488310429319943,0.8500914205147644
2000,3.93658679112182,-0.14510598988587858,4.117107002248755,5,3,3,398,222,3.6609223840390612,9.15113290899491,10.805210474695507,0.8758232485476048
