pair,lag_s,gain_db,duration_cafe,duration_azul
B_open,1.7443990929705218,-10.5914945497307,66.61804988662132,68.82394557823129
E_open,-1.1406802721088454,-10.5914945497307,67.17532879818594,65.54993197278911
A_open,0.26412698412698177,-10.5914945497307,65.94467120181406,65.96789115646258
D_open,7.813514739229028,-10.5914945497307,66.36263038548753,75.37197278911565
G_open,3.5265306122449047,-10.5914945497307,64.66757369614513,70.5190022675737
C_open,6.379682539682537,-10.5914945497307,64.85333333333334,71.72643990929706
B_12,4.971972789115646,-10.5914945497307,38.05750566893424,36.385668934240364
E_12,1.65297052154195,-10.5914945497307,38.22004535147392,36.31600907029478
A_12,2.359727891156462,-10.5914945497307,38.05750566893424,41.07609977324263
D_12,1.593469387755102,-10.5914945497307,50.1318820861678,37.430566893424036
G_12,-0.7241723356009081,-10.5914945497307,38.196825396825396,35.131791383219955
C_12,-0.8214058956916102,-10.5914945497307,37.755646258503404,34.528072562358275
C_24,-4.062040816326531,-10.5914945497307,35.10857142857143,34.06367346938776
C_chromatic,0.8141496598639453,-10.5914945497307,35.99092970521542,35.131791383219955
Am7,-3.111473922902494,-10.5914945497307,35.9677097505669,33.18131519274377
Cmaj7,-8.141496598639455,-10.5914945497307,38.26648526077098,32.46149659863946
