pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base,harmonic,frequency_cafe,frequency_azul
A_12,fret12,A,low,0,attack,440.0848388671875,109.67608095586627,18.9639629732748,10.812112366603863,2.2025399205375518,tonal_harmonic,0.00410262295083124,4,440.0848388671875,440.0848388671875
A_12,fret12,A,low,0,attack,549.7691804657868,109.67608095586627,9.700780574285456,12.63852204176822,2.2025399205375518,tonal_harmonic,0.012393475435105062,5,549.0966796875,550.4425048828125
A_12,fret12,A,low,0,attack,769.81201171875,109.67608095586627,14.38386855261384,13.699423115562183,2.2025399205375518,tonal_harmonic,0.002,7,769.81201171875,769.81201171875
A_12,fret12,A,low,0,attack,881.5144755816115,109.67608095586627,33.19681285151739,11.310590466959319,2.2025399205375518,tonal_harmonic,0.002,8,880.169677734375,882.861328125
A_12,fret12,A,low,0,attack,991.1982006043911,109.67608095586627,50.33432653338736,14.877132592000308,2.2025399205375518,tonal_harmonic,0.002,9,989.1815185546875,993.218994140625
A_12,fret12,A,low,0,attack,1101.5560725714474,109.67608095586627,47.006027743783854,21.649224417694654,2.2025399205375518,tonal_harmonic,0.002,10,1099.5391845703125,1103.57666015625
A_12,fret12,A,low,0,attack,1210.5650875728575,109.67608095586627,42.137394463980264,24.125730374293923,2.2025399205375518,tonal_harmonic,0.002,11,1207.2052001953125,1213.934326171875
A_12,fret12,A,low,0,attack,1322.2717133724173,109.67608095586627,28.344158538724024,21.69861118282796,2.2025399205375518,tonal_harmonic,0.002,12,1320.2545166015625,1324.2919921875
A_12,fret12,A,low,0,attack,1432.629498095364,109.67608095586627,14.786339981328943,14.81777580838748,2.2025399205375518,tonal_harmonic,0.002,13,1430.6121826171875,1434.649658203125
A_12,fret12,A,low,0,attack,1652.6711479445842,109.67608095586627,28.400670486807222,15.988009281892971,2.2025399205375518,tonal_harmonic,0.002,15,1649.981689453125,1655.364990234375
A_12,fret12,A,low,0,stabilization,440.0848388671875,109.67608095586627,21.47286620946595,10.33332889664129,2.2025399205375518,tonal_harmonic,0.0050980290929571155,4,440.0848388671875,440.0848388671875
A_12,fret12,A,low,0,stabilization,549.7691804657868,109.67608095586627,18.121208784537124,12.198139719852094,2.2025399205375518,tonal_harmonic,0.00783208916917628,5,549.0966796875,550.4425048828125
A_12,fret12,A,low,0,stabilization,991.1982006043911,109.67608095586627,51.433774660888666,11.59586008417854,2.2025399205375518,tonal_harmonic,0.0035000000000000005,9,989.1815185546875,993.218994140625
A_12,fret12,A,low,0,stabilization,1101.5560725714474,109.67608095586627,53.91503998027758,11.063273585885298,2.2025399205375518,tonal_harmonic,0.0035000000000000005,10,1099.5391845703125,1103.57666015625
A_12,fret12,A,low,0,stabilization,1211.2396850549014,109.67608095586627,31.684623330915706,11.057245066570346,2.2025399205375518,tonal_harmonic,0.0035000000000000005,11,1208.551025390625,1213.934326171875
A_12,fret12,A,low,0,body,330.06345766395526,109.67608095586627,27.06886361043557,10.430460126913431,2.2025399205375518,tonal_harmonic,0.011242879772431394,3,330.40008544921875,329.7271728515625
A_12,fret12,A,low,0,body,440.0848388671875,109.67608095586627,22.179402513344165,12.748545583927992,2.2025399205375518,tonal_harmonic,0.013126044122545059,4,440.0848388671875,440.0848388671875
A_12,fret12,A,low,0,body,550.1059456921403,109.67608095586627,40.891228388834655,13.675184559324933,2.2025399205375518,tonal_harmonic,0.010000000000000002,5,549.7695922851562,550.4425048828125
A_12,fret12,A,low,0,body,769.1379216703278,109.67608095586627,28.879736701899965,11.742981648052208,2.2025399205375518,tonal_harmonic,0.010000000000000002,7,767.7932739257812,770.4849243164062
A_12,fret12,A,low,0,sustain,440.0848388671875,109.67608095586627,37.327479785937676,11.864012508508672,2.2025399205375518,tonal_harmonic,0.0075,4,440.0848388671875,440.0848388671875
A_12,fret12,A,low,0,sustain,550.1059456921403,109.67608095586627,40.05245728207561,10.916428327952787,2.2025399205375518,tonal_harmonic,0.0075,5,549.7695922851562,550.4425048828125
A_12,fret12,A,low,0,sustain,769.1364498543356,109.67608095586627,32.66158710970259,10.634976962025092,2.2025399205375518,tonal_harmonic,0.0075,7,767.120361328125,771.1578369140625
A_12,fret12,A,low,1,attack,661.4727412210318,109.72029174686196,17.398446614120253,17.660211102282638,2.254221963763953,tonal_harmonic,0.003638185746273461,6,660.8001708984375,662.14599609375
