model,cv_mae,cv_rmse,q31,q41,q55
FREQUENCY,4.334700877407409,5.717501691294631,-0.008606050197235676,-0.08554137037625971,-0.30075804774455983
STRING,4.666661357515737,6.184997092823925,0.0,0.0,0.0
JOINT,4.435745399029416,5.896816564091845,0.002615566884680275,-0.07339672966217822,-0.2901661022178585
