model,pairs,MAE,RMSE,Median_MAE,P90,P95,worst_pair
V10_2_SAFE,14,3.8360413945475473,5.68412419026738,3.1714308650220726,8.199281696234547,11.469661874574015,8.191589448761427
V10_2_CENTRAL,14,3.869500535076774,5.696205082711266,3.21602948303466,8.212443885016796,11.477172541747994,8.060698443557246
V10_2_NO_HIGH,14,3.869500568910098,5.696205112138841,3.21602948303466,8.212451227290106,11.477172541747994,8.06069850070108
V10_2_ROBUST,14,3.8731017179712692,5.695311487342913,3.219335068991797,8.223113920068247,11.456607338127595,8.06171841932438
V10_2_NO_SUB,14,3.873683733866803,5.699437754268181,3.21602948303466,8.21126460216489,11.50595630492281,8.060064282668431
V10_2_PARAMETRIC,14,3.9255412533053824,5.736557852224085,3.487694278733752,8.304407329518414,11.595791423925705,8.076102805631521
V10_1,14,3.983585102439894,4.896924255522081,4.154815324470782,7.527385914497995,8.882350959060462,6.506973679878077
V9,14,4.142250824875232,5.083179469783318,4.141553727258061,7.836602691633551,9.238167691605,7.147552135274647
