pair,event,ioi_cafe_s,ioi_azul_s,nominal_period_s,silence_cafe_s,overlap_cafe_s,classification
B_open,0,0.5427664399092973,0.5863038548752835,0.6,0.014766439909297269,0.0,clean
B_open,1,0.5688888888888886,0.5979138321995467,0.6,0.04088888888888853,0.0,clean
B_open,2,0.6008163265306128,0.6124263038548747,0.6,0.07281632653061276,0.0,clean
B_open,3,0.5775963718820858,0.583401360544217,0.6,0.049596371882085766,0.0,clean
B_open,4,0.5834013605442179,0.6124263038548747,0.6,0.05540136054421785,0.0,clean
B_open,5,0.6356462585034013,0.5921088435374156,0.6,0.10764625850340126,0.0,clean
B_open,6,0.5804988662131523,0.5863038548752844,0.6,0.05249886621315225,0.0,clean
B_open,7,0.5543764172335601,0.6066213151927435,0.6,0.0263764172335601,0.0,clean
B_open,8,0.6182312925170059,0.5804988662131514,0.6,0.0902312925170059,0.0,clean
B_open,9,0.6240362811791389,0.5921088435374156,0.6,0.09603628117913887,0.0,clean
B_open,10,0.5775963718820858,0.6124263038548747,0.6,0.049596371882085766,0.0,clean
B_open,11,0.6037188208616779,0.6298412698412701,0.6,0.07571882086167792,0.0,clean
B_open,12,0.5195464852607721,0.5892063492063482,0.6,0.0,0.008453514739227952,clean
B_open,13,0.5717913832199546,0.6327437641723357,0.6,0.04379138321995457,0.0,clean
B_open,14,0.5717913832199546,0.6066213151927435,0.6,0.04379138321995457,0.0,clean
B_open,15,0.6095238095238091,0.5892063492063517,0.6,0.08152380952380911,0.0,clean
B_open,16,0.6240362811791389,0.5659863945578216,0.6,0.09603628117913887,0.0,clean
B_open,17,0.5514739229024936,0.6182312925170059,0.6,0.023473922902493616,0.0,clean
B_open,18,0.6066213151927453,0.5979138321995485,0.6,0.07862131519274529,0.0,clean
B_open,19,0.6153287981859421,0.6095238095238074,0.6,0.08732879818594208,0.0,clean
B_open,20,0.6240362811791371,0.568888888888889,0.6,0.0960362811791371,0.0,clean
B_open,21,0.6182312925170059,0.5979138321995485,0.6,0.0902312925170059,0.0,clean
B_open,22,0.568888888888889,0.5659863945578216,0.6,0.040888888888888975,0.0,clean
B_open,23,0.6037188208616797,0.6008163265306123,0.6,0.07571882086167969,0.0,clean
B_open,24,0.568888888888889,0.6153287981859421,0.6,0.040888888888888975,0.0,clean
B_open,25,0.577596371882084,0.6095238095238074,0.6,0.04959637188208399,0.0,clean
B_open,26,0.6037188208616797,0.6037188208616797,0.6,0.07571882086167969,0.0,clean
B_open,27,0.5950113378684811,0.5630839002267578,0.6,0.06701133786848112,0.0,clean
B_open,28,0.6327437641723357,0.6211337868480733,0.6,0.10474376417233566,0.0,clean
B_open,29,0.597913832199545,0.5863038548752826,0.6,0.06991383219954495,0.0,clean
B_open,30,0.5746938775510202,0.5863038548752826,0.6,0.04669387755102017,0.0,clean
B_open,31,0.6269387755102045,0.5950113378684811,0.6,0.09893877551020447,0.0,clean
B_open,32,0.6008163265306123,0.6385487528344669,0.6,0.07281632653061232,0.0,clean
B_open,33,0.6066213151927435,0.6153287981859421,0.6,0.07862131519274351,0.0,clean
B_open,34,0.597913832199545,0.6211337868480697,0.6,0.06991383219954495,0.0,clean
B_open,35,0.5950113378684811,0.5950113378684811,0.6,0.06701133786848112,0.0,clean
B_open,36,0.5834013605442188,0.5834013605442188,0.6,0.055401360544218736,0.0,clean
B_open,37,0.6211337868480733,0.6211337868480733,0.6,0.09313378684807327,0.0,clean
B_open,38,0.597913832199545,0.5921088435374138,0.6,0.06991383219954495,0.0,clean
B_open,39,0.6124263038548747,0.6153287981859421,0.6,0.0844263038548747,0.0,clean
B_open,40,0.6211337868480733,0.58920634920635,0.6,0.09313378684807327,0.0,clean
B_open,41,0.58920634920635,0.6298412698412683,0.6,0.06120634920634993,0.0,clean
B_open,42,0.5863038548752826,0.597913832199545,0.6,0.05830385487528256,0.0,clean
B_open,43,0.5921088435374138,0.5572789115646302,0.6,0.06410884353741375,0.0,clean
B_open,44,0.6153287981859421,0.5746938775510202,0.6,0.08732879818594208,0.0,clean
B_open,45,0.5950113378684847,0.6269387755102045,0.6,0.06701133786848468,0.0,clean
B_open,46,0.5863038548752826,0.6182312925170024,0.6,0.05830385487528256,0.0,clean
B_open,47,0.5921088435374102,0.5863038548752826,0.6,0.0641088435374102,0.0,clean
B_open,48,0.6153287981859421,0.6037188208616797,0.6,0.08732879818594208,0.0,clean
B_open,49,0.5950113378684847,0.6008163265306123,0.6,0.06701133786848468,0.0,clean
B_open,50,0.6037188208616726,0.597913832199545,0.6,0.07571882086167259,0.0,clean
B_open,51,0.6182312925170095,0.5746938775510202,0.6,0.09023129251700945,0.0,clean
B_open,52,0.5543764172335628,0.6124263038548818,0.6,0.026376417233562766,0.0,clean
B_open,53,0.6095238095238074,0.60662131519274,0.6,0.08152380952380733,0.0,clean
B_open,54,0.5921088435374173,0.6066213151927471,0.6,0.0641088435374173,0.0,clean
B_open,55,0.5834013605442152,0.615328798185935,0.6,0.055401360544215184,0.0,clean
B_open,56,0.6269387755102045,0.6037188208616797,0.6,0.09893877551020447,0.0,clean
B_open,57,0.6327437641723321,0.5863038548752826,0.6,0.10474376417233211,0.0,clean
B_open,58,0.5834013605442223,0.6037188208616797,0.6,0.05540136054422229,0.0,clean
B_open,59,0.597913832199545,0.597913832199545,0.6,0.06991383219954495,0.0,clean
B_open,60,0.5514739229024954,0.6153287981859421,0.6,0.023473922902495392,0.0,clean
B_open,61,0.5921088435374102,0.6008163265306123,0.6,0.0641088435374102,0.0,clean
B_open,62,0.6153287981859421,0.5775963718820876,0.6,0.08732879818594208,0.0,clean
B_open,63,0.5514739229024954,0.6095238095238074,0.6,0.023473922902495392,0.0,clean
B_open,64,0.6298412698412719,0.5746938775510202,0.6,0.10184126984127184,0.0,clean
B_open,65,0.5834013605442152,0.6356462585033995,0.6,0.055401360544215184,0.0,clean
B_open,66,0.5834013605442152,0.6037188208616797,0.6,0.055401360544215184,0.0,clean
B_open,67,0.6356462585034066,0.58920634920635,0.6,0.10764625850340659,0.0,clean
B_open,68,0.6385487528344669,0.6182312925170095,0.6,0.11054875283446686,0.0,clean
B_open,69,0.5804988662131478,0.5950113378684776,0.6,0.05249886621314781,0.0,clean
B_open,70,0.6182312925170095,0.6008163265306123,0.6,0.09023129251700945,0.0,clean
B_open,71,0.60662131519274,0.6066213151927471,0.6,0.07862131519273996,0.0,clean
B_open,72,0.5804988662131549,0.5950113378684776,0.6,0.052498866213154916,0.0,clean
B_open,73,0.5834013605442152,0.6066213151927471,0.6,0.055401360544215184,0.0,clean
B_open,74,0.5921088435374173,0.58920634920635,0.6,0.0641088435374173,0.0,clean
B_open,75,0.58920634920635,0.6037188208616726,0.6,0.06120634920634993,0.0,clean
B_open,76,0.5804988662131549,0.5688888888888926,0.6,0.052498866213154916,0.0,clean
B_open,77,0.6240362811791371,0.6182312925170024,0.6,0.0960362811791371,0.0,clean
B_open,78,0.5950113378684776,0.6269387755102045,0.6,0.06701133786847757,0.0,clean
B_open,79,0.6182312925170095,0.539863945578233,0.6,0.09023129251700945,0.0,clean
B_open,80,0.6153287981859421,0.5863038548752826,0.6,0.08732879818594208,0.0,clean
B_open,81,0.5863038548752826,0.5834013605442223,0.6,0.05830385487528256,0.0,clean
B_open,82,0.6240362811791371,0.6298412698412648,0.6,0.0960362811791371,0.0,clean
B_open,83,0.58920634920635,0.6037188208616797,0.6,0.06120634920634993,0.0,clean
B_open,84,0.597913832199545,0.5834013605442152,0.6,0.06991383219954495,0.0,clean
B_open,85,0.5804988662131549,0.6153287981859421,0.6,0.052498866213154916,0.0,clean
B_open,86,0.5543764172335557,0.6124263038548747,0.6,0.02637641723355566,0.0,clean
B_open,87,0.58920634920635,0.5834013605442223,0.6,0.06120634920634993,0.0,clean
B_open,88,0.5863038548752826,0.5514739229024954,0.6,0.05830385487528256,0.0,clean
B_open,89,0.6414512471655343,0.6530612244897895,0.6,0.11345124716553423,0.0,clean
B_open,90,0.58920634920635,0.6153287981859421,0.6,0.06120634920634993,0.0,clean
B_open,91,0.5834013605442152,0.5601814058956904,0.6,0.055401360544215184,0.0,clean
B_open,92,0.5746938775510202,0.6124263038548818,0.6,0.04669387755102017,0.0,clean
B_open,93,0.6240362811791371,0.5775963718820805,0.6,0.0960362811791371,0.0,clean
B_open,94,0.655963718820864,0.6095238095238074,0.6,0.127963718820864,0.0,clean
B_open,95,0.5921088435374173,0.6008163265306194,0.6,0.0641088435374173,0.0,clean
E_open,0,0.6501587301587302,0.5543764172335601,0.6,0.12215873015873013,0.0,clean
E_open,1,0.5921088435374151,0.6124263038548747,0.6,0.06410884353741508,0.0,clean
E_open,2,0.5804988662131518,0.5921088435374147,0.6,0.05249886621315181,0.0,clean
E_open,3,0.60952380952381,0.5921088435374156,0.6,0.08152380952381,0.0,clean
E_open,4,0.5572789115646257,0.6124263038548747,0.6,0.029278911564625698,0.0,clean
