frequency_hz,Q,gain_db
31.0,1.5,-0.08687132025903072
55.0,1.5,0.4986705517992169
120.0,0.8,-2.5106849556197792
300.0,0.7,-0.07818280244553041
700.0,0.7,-2.1779346228731673
1400.0,0.8,4.3717093549634445
3200.0,0.9,1.5296852298845223
