pair,event,phase,start_cafe,end_cafe,start_azul,end_azul,duration_cafe_ms,duration_azul_ms,cycles_cafe,cycles_azul,resolution_hz_cafe
B_open,0,attack,2.594829931972789,2.669829931972789,6.089433106575964,6.164433106575964,74.98866213151928,74.98866213151928,2.319169131969569,2.315080860249061,2.691650390625
B_open,0,stabilization,2.669829931972789,2.749829931972789,6.164433106575964,6.244433106575964,80.0,80.0,2.4741544292678075,2.469792946767066,2.691650390625
B_open,0,body,2.749829931972789,2.914829931972789,6.244433106575964,6.409433106575964,164.98866213151928,165.01133786848072,5.102592864895852,5.094297980052137,1.3458251953125
B_open,0,sustain,2.914829931972789,3.0848299319727888,6.409433106575964,6.579433106575964,170.0,170.0,5.257578162194091,5.248310011880016,1.3458251953125
B_open,0,decay,3.034829931972789,3.1255963718820863,6.529433106575964,6.649433106575964,90.74829931972789,120.0,2.806566333880319,3.7046894201505993,2.691650390625
B_open,1,attack,3.1375963718820863,3.2125963718820865,6.675736961451247,6.750736961451247,74.98866213151928,74.98866213151928,2.3165586367662643,2.314352659921003,2.691650390625
B_open,1,stabilization,3.2125963718820865,3.292596371882086,6.750736961451247,6.830736961451247,80.0,80.0,2.471369480045776,2.469016082310644,2.691650390625
B_open,1,body,3.292596371882086,3.457596371882086,6.830736961451247,6.9957369614512475,165.01133786848072,165.01133786848072,5.097549803371063,5.092695587010928,1.3458251953125
B_open,1,sustain,3.457596371882086,3.6275963718820865,6.9957369614512475,7.165736961451247,170.0,170.0,5.251660145097274,5.246659174910119,1.3458251953125
B_open,1,decay,3.5775963718820862,3.694485260770975,7.115736961451248,7.235736961451247,116.87074829931973,120.0,3.610385005713132,3.703524123465966,1.3458251953125
B_open,2,attack,3.706485260770975,3.781485260770975,7.273650793650794,7.348650793650794,74.98866213151928,74.98866213151928,2.32120137971206,2.3331349157128223,2.691650390625
B_open,2,stabilization,3.781485260770975,3.8614852607709746,7.348650793650794,7.428650793650794,80.0,80.0,2.4763224879419856,2.489053517579328,2.691650390625
B_open,2,body,3.8614852607709746,4.026485260770975,7.428650793650794,7.593650793650794,164.98866213151928,165.01133786848072,5.107064178646794,5.134025637025161,1.3458251953125
B_open,2,sustain,4.026485260770975,4.196485260770975,7.593650793650794,7.763650793650794,170.0,170.0,5.262185286876719,5.289238724856071,1.3458251953125
B_open,2,decay,4.146485260770975,4.266485260770975,7.713650793650794,7.8336507936507935,120.0,120.0,3.7144837319129786,3.733580276368992,1.3458251953125
B_open,3,attack,4.307301587301588,4.382301587301588,8.489795918367347,8.564795918367347,74.98866213151928,74.98866213151928,2.3168262269289057,2.3115555471756046,2.691650390625
B_open,3,stabilization,4.382301587301588,4.462301587301588,8.564795918367347,8.644795918367347,80.0,80.0,2.471654952707946,2.466032044280476,2.691650390625
B_open,3,body,4.462301587301588,4.627301587301588,8.644795918367347,8.809795918367348,165.01133786848072,165.01133786848072,5.098138631194933,5.086540585665823,1.3458251953125
B_open,3,sustain,4.627301587301588,4.797301587301588,8.809795918367348,8.979795918367348,170.0,170.0,5.252266774504386,5.240318094096011,1.3458251953125
B_open,3,decay,4.747301587301588,4.867301587301588,8.929795918367347,9.049795918367348,120.0,120.0,3.7074824290619195,3.699048066420714,1.3458251953125
B_open,4,attack,4.884897959183673,4.959897959183674,9.073197278911564,9.148197278911564,74.98866213151928,74.98866213151928,2.3175628044589676,2.3134007510334107,2.691650390625
B_open,4,stabilization,4.959897959183674,5.039897959183674,9.148197278911564,9.228197278911564,80.0,80.0,2.4724407541975317,2.4680005593123293,2.691650390625
B_open,4,body,5.039897959183674,5.204897959183674,9.228197278911564,9.393197278911565,165.01133786848072,165.01133786848072,5.099759458133628,5.090600926903577,1.3458251953125
B_open,4,sustain,5.204897959183674,5.374897959183674,9.393197278911565,9.563197278911565,170.0,170.0,5.253936602669755,5.244501188538701,1.3458251953125
B_open,4,decay,5.324897959183674,5.444897959183674,9.513197278911564,9.633197278911565,120.0,120.0,3.708661131296298,3.7020008389684946,1.3458251953125
B_open,5,attack,6.124263038548753,6.199263038548753,9.68562358276644,9.760623582766438,74.98866213151928,75.01133786848072,2.3167958885593007,2.313761588749503,2.691650390625
B_open,5,stabilization,6.199263038548753,6.279263038548753,9.760623582766438,9.840623582766439,80.0,80.0,2.4716225868875754,2.4676393243978976,2.691650390625
B_open,5,body,6.279263038548753,6.444263038548753,9.840623582766439,10.00562358276644,165.01133786848072,165.01133786848072,5.098071872103426,5.0898558286971385,1.3458251953125
B_open,5,sustain,6.444263038548753,6.614263038548753,10.00562358276644,10.17562358276644,170.0,170.0,5.252197997136099,5.243733564345533,1.3458251953125
B_open,5,decay,6.564263038548753,6.684263038548753,10.125623582766439,10.24562358276644,120.0,120.02267573696145,3.7074338803313633,3.702158430849794,1.3458251953125
B_open,6,attack,6.759909297052154,6.834909297052154,10.277732426303855,10.352732426303854,74.98866213151928,74.98866213151928,2.3143820207492656,2.316824149260315,2.691650390625
B_open,6,stabilization,6.834909297052154,6.914909297052154,10.352732426303854,10.432732426303854,80.0,80.0,2.4690474052625975,2.4716527361930423,2.691650390625
B_open,6,body,6.914909297052154,7.079909297052154,10.432732426303854,10.597732426303855,165.01133786848072,165.01133786848072,5.092760195038526,5.098134059318812,1.3458251953125
