frequency_hz,v11_db,v12_neutral_db,v12_recommended_db,v41_reported_db,v12_neutral_minus_v41
515,-0.8539646423690505,0.04203383914881,0.14464361812799267,3.49,-3.4479661608511902
958,1.251003523465492,2.082997365274984,1.012993852562135,3.49,-1.4070026347250164
1360,2.6562900865673598,3.5456606419564336,0.5740860090190691,4.08,-0.5343393580435665
2630,1.1574235556157646,2.327469442125705,0.1721283721727097,6.61,-4.282530557874296
4120,0.32684601624711845,1.4169764014222395,0.038542605307859204,6.34,-4.92302359857776
5190,0.07678937121633342,1.0831689323148908,0.12637658285554468,4.33,-3.2468310676851093
