frequency_hz,support_score,effective_score,snr_score,bootstrap_score,codec_prior,reliability
20.0,0.0,0.0,0.0,0.9985963565870926,1.0,2.0887393332467063e-05
20.033765982017503,0.0,0.0,0.0,0.9986275974239524,1.0,2.088737615093381e-05
20.067588971112087,0.0,0.0,0.0,0.9986567042596024,1.0,2.088735815144145e-05
20.101469063528747,0.0,0.0,0.0,0.998685380072468,1.0,2.088733931110261e-05
20.13540635567497,0.0,0.0,0.0,0.9987140567087418,1.0,2.088731960636965e-05
20.16940094412101,0.0,0.0,0.0,0.9987427341684477,1.0,2.0887299013421637e-05
20.203452925600157,0.0,0.0,0.0,0.9987714124516092,1.0,2.0887277508779863e-05
20.237562397009018,0.0,0.0,0.0,0.9988000915582498,1.0,2.0887255068132172e-05
20.271729455407794,0.0,0.0,0.0,0.9988193444742512,1.0,2.0887231666951856e-05
20.30595419802054,0.0,0.0,0.0,0.9988349989010736,1.0,2.088720728051615e-05
20.34023672223547,0.0,0.0,0.0,0.9988506535732469,1.0,2.088718188393815e-05
20.374577125605207,0.0,0.0,0.0,0.9988602100366708,1.0,2.0887155452194416e-05
20.408975505847074,0.0,0.0,0.0,0.9988807740532395,1.0,2.088712796015423e-05
20.443431960843377,0.0,0.0,0.0,0.9988956806659645,1.0,2.088709938261061e-05
20.47794658864167,0.0,0.0,0.0,0.9989111867810493,1.0,2.0887069694077998e-05
20.51251948745504,0.0,0.0,0.0,0.998921258951209,1.0,2.088703886881648e-05
20.547150755662393,0.0,0.0,0.0,0.9989275681719864,1.0,2.0887006881539407e-05
20.581840491808723,0.0,0.0,0.0,0.9989340920542231,1.0,2.0886973707017745e-05
20.6165887946054,0.0,0.0,0.0,0.9989516527305305,1.0,2.088693932011908e-05
20.65139576293044,0.0,0.0,0.0,0.9989940379488257,1.0,2.0886903695847995e-05
20.686261495828813,0.0,0.0,0.0,0.9990230634694035,1.0,2.0886866809472933e-05
20.72118609251269,0.0,0.0,0.0,0.9990408688010678,1.0,2.0886828636432098e-05
20.75616965236174,0.0,0.0,0.0,0.9990564691781519,1.0,2.0886789152408222e-05
20.791212274923435,0.0,0.0,0.0,0.9990630837710901,1.0,2.0886748333300054e-05
20.82631405991329,0.0,0.0,0.0,0.9990787653528324,1.0,2.0886706155279002e-05
20.861475107215185,0.0,0.0,0.0,0.9990946220073347,1.0,2.0886662595111122e-05
20.896695516881625,0.0,0.0,0.0,0.9991104789135024,1.0,2.0886617630132374e-05
20.931975389134035,0.0,0.0,0.0,0.9991050271258901,1.0,2.0886571238059696e-05
20.967314824363047,0.0,0.0,0.0,0.9990986635432031,1.0,2.088652339716657e-05
21.002713923128784,0.0,0.0,0.0,0.9990852968400415,1.0,2.0886474086333582e-05
21.03817278616114,0.0,0.0,0.0,0.9990719169942963,1.0,2.08864232850992e-05
21.07369151436007,0.0,0.0,0.0,0.9990609388133299,1.0,2.08863709737106e-05
21.109270208795884,0.0,0.0,0.0,0.9990524355590452,1.0,2.088631713317419e-05
21.144908970709523,0.0,0.0,0.0,0.9990413551627724,1.0,2.0886261745305937e-05
21.180607901512857,0.0,0.0,0.0,0.9990267192615364,1.0,2.088620479278088e-05
21.21636710278897,0.0,0.0,0.0,0.9990120835747156,1.0,2.088614625918189e-05
21.252186676292443,0.0,0.0,0.0,0.9990012764846506,1.0,2.088608612904733e-05
21.288066723949655,0.0,0.0,0.0,0.9989944593224986,1.0,2.0886024387917405e-05
21.32400734785907,0.0,0.0,0.0,0.9989735608142063,1.0,2.0885961022378854e-05
21.360008650291512,0.0,0.0,0.0,0.9989521434685779,1.0,2.0885896020107954e-05
21.396070733690483,0.0,0.0,0.0,0.9989363568322265,1.0,2.0885829369911345e-05
21.432193700672432,0.0,0.0,0.0,0.9989219913418282,1.0,2.088576106176455e-05
21.46837765402706,0.0,0.0,0.0,0.9988911626361013,1.0,2.0885691086848027e-05
21.504622696717597,0.0,0.0,0.0,0.9988565965653204,1.0,2.0885619437580288e-05
21.540928931881123,0.0,0.0,0.0,0.9988220389335899,1.0,2.088554610764808e-05
21.577296462828844,0.0,0.0,0.0,0.9987874824974563,1.0,2.0885471092033314e-05
21.61372539304635,0.0,0.0,0.0,0.998751303132721,1.0,2.0885394387036467e-05
21.650215826193993,0.0,0.0,0.0,0.9987143744733908,1.0,2.0885315990296376e-05
21.686767866107107,0.0,0.0,0.0,0.9986774471794916,1.0,2.088523590062908e-05
21.723381616796342,0.0,0.0,0.0,0.9986405212509727,1.0,2.0885154118322397e-05
21.760057182447948,0.0,0.0,0.0,0.9986035966877838,1.0,2.088507064508255e-05
21.796794667424063,0.0,0.0,0.0,0.9985666734898742,1.0,2.0884985483990076e-05
21.833594176263034,0.0,0.0,0.0,0.9985297516571936,1.0,2.0884898639498662e-05
21.87045581367969,0.0,0.0,0.0,0.9984928311896916,1.0,2.0884810117429484e-05
21.907379684565655,0.0,0.0,0.0,0.9984607119247588,1.0,2.0884719924961004e-05
21.944365893989634,0.0,0.0,0.0,0.9984332942951115,1.0,2.0884628070614216e-05
21.98141454719773,0.0,0.0,0.0,0.9984058774183495,1.0,2.088453456423336e-05
22.018525749613726,0.0,0.0,0.0,0.9983820932704959,1.0,2.0884439416962047e-05
22.055699606839394,0.0,0.0,0.0,0.9983619596930131,1.0,2.0884342641214977e-05
22.092936224654792,0.0,0.0,0.0,0.9983418272253318,1.0,2.088424425064519e-05
22.130235709018567,0.0,0.0,0.0,0.9983185285739646,1.0,2.0884144260107117e-05
22.167598166068256,0.0,0.0,0.0,0.9982776359638554,1.0,2.0884042685615454e-05
22.20502370212059,0.0,0.0,0.0,0.9982367450287685,1.0,2.0883939544314985e-05
22.24251242367179,0.0,0.0,0.0,0.9981958557686348,1.0,2.088383485448683e-05
22.28006443739788,0.0,0.0,0.0,0.9981549681833861,1.0,2.0883728635424084e-05
22.317679850154974,0.0,0.0,0.0,0.9981140822729535,1.0,2.0883620907379758e-05
22.35535876897961,0.0,0.0,0.0,0.9980763467992976,1.0,2.0883511691458864e-05
22.39310130108902,0.0,0.0,0.0,0.9980459257961655,1.0,2.0883401009957692e-05
22.43090755388145,0.0,0.0,0.0,0.998015841340516,1.0,2.0883288885915362e-05
22.46877763493648,0.0,0.0,0.0,0.9979861663620421,1.0,2.0883175342849882e-05
22.506711652015305,0.0,0.0,0.0,0.9979564922659233,1.0,2.0883060404925328e-05
22.544709713061057,0.0,0.0,0.0,0.9979268309981622,1.0,2.088294409689113e-05
22.582771926199108,0.0,0.0,0.0,0.9978971742243676,1.0,2.0882826443862815e-05
22.620898399737378,0.0,0.0,0.0,0.9978675480356012,1.0,2.0882707471211613e-05
22.65908924216664,0.0,0.0,0.0,0.9978381688615903,1.0,2.0882587204966835e-05
22.697344562160836,0.0,0.0,0.0,0.9978059603856317,1.0,2.0882465671456583e-05
22.735664468577387,0.0,0.0,0.0,0.9977763694548484,1.0,2.0882342897216393e-05
22.774049070457483,0.0,0.0,0.0,0.9977468205007701,1.0,2.0882218908165772e-05
22.81249847702642,0.0,0.0,0.0,0.9977172724217784,1.0,2.0882093731381886e-05
22.851012797693897,0.0,0.0,0.0,0.9976877252178473,1.0,2.0881967393963532e-05
22.88959214205433,0.0,0.0,0.0,0.997658178888951,1.0,2.088183992265944e-05
22.928236619887155,0.0,0.0,0.0,0.9976286334350635,1.0,2.0884438572861925e-05
22.96694634115716,0.0,0.0,0.0,0.9975990888561588,1.0,2.0887366352784394e-05
23.005721416014783,0.0,0.0,0.0,0.9975695451522111,1.0,2.0890660990814073e-05
23.044561954796425,0.0,0.0,0.0,0.9975393027141917,1.0,2.0894364122246996e-05
23.083468068024768,0.0,0.0,0.0,0.9975054899056354,1.0,2.089852165068827e-05
23.122439866409092,0.0,0.0,0.0,0.9974716782432055,1.0,2.0903676956176496e-05
23.16147746084559,0.0,0.0,0.0,0.9974411238904218,1.0,2.0909481361540867e-05
23.20058096241767,0.0,0.0,0.0,0.9974108844476028,1.0,2.091597771057546e-05
23.239750482396303,0.0,0.0,0.0,0.9973806459215537,1.0,2.0923241114950515e-05
23.27898613224029,0.0,0.0,0.0,0.9973504083122466,1.0,2.093135402330378e-05
23.318288023596637,0.0,0.0,0.0,0.9973201716196537,1.0,2.0940406854243945e-05
23.357656268300822,0.0,0.0,0.0,0.9972899358437471,1.0,2.0950498668665732e-05
23.397090978377143,0.0,0.0,0.0,0.9972597009844993,1.0,2.0961737887862443e-05
23.43659226603903,0.0,0.0,0.0,0.9972294670418823,1.0,2.0974243045694413e-05
23.476160243689357,0.0,0.0,0.0,0.9971992340158684,1.0,2.0988143625725594e-05
